COMID,CAT_SOILS_A_P,ACC_SOILS_A_P,TOT_SOILS_A_P,CAT_SOILS_C_P,ACC_SOILS_C_P,TOT_SOILS_C_P,CAT_SOILS_GMU_A_P,ACC_SOILS_GMU_A_P,TOT_SOILS_GMU_A_P,CAT_SOILS_GMU_C_P,ACC_SOILS_GMU_C_P,TOT_SOILS_GMU_C_P,ACC_SRL25AG,ACC_SRL35AG,ACC_SRL45AG,ACC_SRL55AG,CAT_SRL25AG,CAT_SRL35AG,CAT_SRL45AG,CAT_SRL55AG,TOT_SRL25AG,TOT_SRL35AG,TOT_SRL45AG,TOT_SRL55AG,CAT_SALINAVE,ACC_SALINAVE,TOT_SALINAVE,CAT_PH,ACC_PH,TOT_PH,ACC_HGA,ACC_HGAC,ACC_HGAD,ACC_HGB,ACC_HGBC,ACC_HGBD,ACC_HGC,ACC_HGCD,ACC_HGD,ACC_HGVAR,CAT_HGA,CAT_HGAC,CAT_HGAD,CAT_HGB,CAT_HGBC,CAT_HGBD,CAT_HGC,CAT_HGCD,CAT_HGD,CAT_HGVAR,TOT_HGA,TOT_HGAC,TOT_HGAD,TOT_HGB,TOT_HGBC,TOT_HGBD,TOT_HGC,TOT_HGCD,TOT_HGD,TOT_HGVAR,ACC_KFACT,ACC_KFACT_UP,ACC_NO10AVE,ACC_NO200AVE,ACC_NO4AVE,ACC_OM,ACC_PERMAVE,ACC_RFACT,ACC_ROCKDEP,ACC_BDAVE,ACC_AWCAVE,ACC_WTDEP,CAT_KFACT,CAT_KFACT_UP,CAT_NO10AVE,CAT_NO200AVE,CAT_NO4AVE,CAT_OM,CAT_PERMAVE,CAT_RFACT,CAT_ROCKDEP,CAT_BDAVE,CAT_AWCAVE,CAT_WTDEP,TOT_KFACT,TOT_KFACT_UP,TOT_NO10AVE,TOT_NO200AVE,TOT_NO4AVE,TOT_OM,TOT_PERMAVE,TOT_RFACT,TOT_ROCKDEP,TOT_BDAVE,TOT_AWCAVE,TOT_WTDEP,ACC_SILTAVE,ACC_CLAYAVE,ACC_SANDAVE,CAT_SILTAVE,CAT_CLAYAVE,CAT_SANDAVE,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,...1,CAT_PMAP,ACC_PMAP,TOT_PMAP
3917070,969.44,969.44,969.44,868.89,868.89,868.89,1067.54,1067.54,1067.54,859.16,859.16,859.16,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,47.06,47.06,47.06,6.13,6.13,6.13,43.67,0,0,41.82,0,0,9.67,0,4.84,0,43.67,0,0,41.82,0,0,9.67,0,4.84,0,43.67,0,0,41.82,0,0,9.67,0,4.84,0,0.26,0.16,64.15,29.71,69.77,0.77,6.04,330,54.32,1.23,0.08,5.98,0.26,0.16,64.15,29.71,69.77,0.77,6.04,330,54.32,1.23,0.08,5.98,0.26,0.16,64.15,29.71,69.77,0.77,6.04,330,54.32,1.23,0.08,5.98,31.97,14.06,53.97,31.97,14.06,53.97,31.97,14.06,53.97,406322,1068.98,1068.98,1068.98
3917072,960.35,960.35,960.35,860.33,860.33,860.33,997.17,997.17,997.17,840.33,840.33,840.33,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,0,0,0,6.06,6.06,6.06,7,0,0,69,0,0,17,0,7,0,7,0,0,69,0,0,17,0,7,0,7,0,0,69,0,0,17,0,7,0,0.3,0.19,64.93,40.8,70.22,1.07,1.91,330,50.32,1.24,0.1,6,0.3,0.19,64.93,40.8,70.22,1.07,1.91,330,50.32,1.24,0.1,6,0.3,0.19,64.93,40.8,70.22,1.07,1.91,330,50.32,1.24,0.1,6,40.43,22.4,37.16,40.43,22.4,37.16,40.43,22.4,37.16,406323,1193.03,1193.03,1193.03
3917082,989.69,989.69,989.69,875.32,875.32,875.32,1079.06,1079.06,1079.06,862.25,862.25,862.25,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,100,100,100,6.31,6.31,6.31,92,0,0,6,0,0,0,0,2,0,92,0,0,6,0,0,0,0,2,0,92,0,0,6,0,0,0,0,2,0,0.17,0.13,63.13,15.08,69.16,0.39,11.49,235,59.6,1.21,0.06,5.95,0.17,0.13,63.13,15.08,69.16,0.39,11.49,235,59.6,1.21,0.06,5.95,0.17,0.13,63.13,15.08,69.16,0.39,11.49,235,59.6,1.21,0.06,5.95,20.82,3.07,76.11,20.82,3.07,76.11,20.82,3.07,76.11,406328,1071.66,1071.66,1071.66
3917084,996.21,996.21,996.21,886.9,886.9,886.9,1084.76,1084.76,1084.76,863.77,863.77,863.77,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,97.52,97.52,97.52,6.44,6.44,6.44,78.57,0,0,6.83,0,0,3.05,0,11.55,0,78.57,0,0,6.83,0,0,3.05,0,11.55,0,78.57,0,0,6.83,0,0,3.05,0,11.55,0,0.2,0.14,64.35,20.07,70.11,0.59,10.03,273.69,57.31,1.24,0.07,5.74,0.2,0.14,64.35,20.07,70.11,0.59,10.03,273.69,57.31,1.24,0.07,5.74,0.2,0.14,64.35,20.07,70.11,0.59,10.03,273.69,57.31,1.24,0.07,5.74,24.93,5.53,69.53,24.93,5.53,69.53,24.93,5.53,69.53,406329,1052.66,1052.66,1052.66
3917106,975.76,988.03,988.03,864.34,877.63,877.63,1040.07,1067.36,1067.36,851.81,859.12,859.12,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,71.64,87.76,87.76,6.23,6.36,6.36,75.3,0,0,13.25,0,0,3.55,0,7.91,0,68.07,0,0,23.74,0,0,4.79,0,3.41,0,75.3,0,0,13.25,0,0,3.55,0,7.91,0,0.2,0.14,64.01,20.65,69.81,0.58,9.64,264.83,57.31,1.23,0.07,5.84,0.21,0.15,63.63,22.32,69.46,0.58,8.8,256.14,56.98,1.22,0.07,5.96,0.2,0.14,64.01,20.65,69.81,0.58,9.64,264.83,57.31,1.23,0.07,5.84,25.24,6.53,68.22,26.34,8.51,65.15,25.24,6.53,68.22,406340,1182.63,1103.4,1103.4
3917114,970.32,970.32,970.32,867.8,867.8,867.8,1000.19,1000.19,1000.19,841.14,841.14,841.14,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,0,0,0,6.06,6.06,6.06,7,0,0,69,0,0,17,0,7,0,7,0,0,69,0,0,17,0,7,0,7,0,0,69,0,0,17,0,7,0,0.3,0.19,64.93,40.8,70.22,1.07,1.91,312,50.32,1.24,0.1,6,0.3,0.19,64.93,40.8,70.22,1.07,1.91,312,50.32,1.24,0.1,6,0.3,0.19,64.93,40.8,70.22,1.07,1.91,312,50.32,1.24,0.1,6,40.43,22.4,37.16,40.43,22.4,37.16,40.43,22.4,37.16,406344,1256.85,1256.85,1256.85
3917130,960.61,960.54,960.54,855.75,849.51,849.51,962.68,1009.19,1009.19,822.47,838.93,838.93,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,1.41,34.63,34.63,6.06,6.17,6.17,34.37,0,0,46.93,0,0,11.6,0,7.11,0,11.59,0,0,65.6,0,0,16.08,0,6.73,0,34.37,0,0,46.93,0,0,11.6,0,7.11,0,0.26,0.17,64.53,32.7,70.04,0.87,5,275.44,53.15,1.23,0.09,5.94,0.3,0.18,64.84,39.41,70.17,1.03,2.42,312,50.82,1.23,0.1,6,0.26,0.17,64.53,32.7,70.04,0.87,5,275.44,53.15,1.23,0.09,5.94,34.31,16.06,49.62,39.37,21.36,39.27,34.31,16.06,49.62,406352,1197.8,1174.81,1174.81
3917136,967.1,967.1,967.1,849.04,849.04,849.04,1064.53,1064.53,1064.53,858.36,858.36,858.36,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,73.42,73.42,73.42,6.21,6.21,6.21,64.32,0,0,26.51,0,0,5.54,0,3.63,0,64.32,0,0,26.51,0,0,5.54,0,3.63,0,64.32,0,0,26.51,0,0,5.54,0,3.63,0,0.22,0.15,63.71,23.46,69.51,0.61,8.37,230.77,56.58,1.22,0.07,5.97,0.22,0.15,63.71,23.46,69.51,0.61,8.37,230.77,56.58,1.22,0.07,5.97,0.22,0.15,63.71,23.46,69.51,0.61,8.37,230.77,56.58,1.22,0.07,5.97,27.21,9.36,63.43,27.21,9.36,63.43,27.21,9.36,63.43,406355,1116.98,1116.98,1116.98
3917138,961.03,961.03,961.03,843.23,843.23,843.23,1004.78,1004.78,1004.78,842.36,842.36,842.36,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,20.45,20.45,20.45,6.06,6.06,6.06,15.37,0,0,62.8,0,0,15.33,0,6.51,0,15.37,0,0,62.8,0,0,15.33,0,6.51,0,15.37,0,0,62.8,0,0,15.33,0,6.51,0,0.3,0.18,64.76,38.27,70.12,1,2.85,221.61,51.24,1.23,0.1,6,0.3,0.18,64.76,38.27,70.12,1,2.85,221.61,51.24,1.23,0.1,6,0.3,0.18,64.76,38.27,70.12,1,2.85,221.61,51.24,1.23,0.1,6,38.5,20.5,41,38.5,20.5,41,38.5,20.5,41,406356,1237.24,1237.24,1237.24
3917154,963.46,964.5,964.5,862.06,863.27,863.27,1008.22,1018.81,1018.81,843.29,846.12,846.12,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,4.71,12.3,12.3,6.07,6.08,6.08,21.14,0,0,58.52,0,0,14.17,0,6.17,0,16.3,0,0,62.11,0,0,15.14,0,6.45,0,21.14,0,0,58.52,0,0,14.17,0,6.17,0,0.29,0.18,64.64,36.52,70.05,0.95,3.5,322.13,51.87,1.23,0.1,5.99,0.29,0.18,64.74,37.99,70.11,0.99,2.95,320.29,51.34,1.23,0.1,5.99,0.29,0.18,64.64,36.52,70.05,0.95,3.5,322.13,51.87,1.23,0.1,5.99,37.17,19.19,43.64,38.29,20.29,41.42,37.17,19.19,43.64,406364,1215.62,1188.97,1188.97
