MOD_IN,DAT_OUT,Validate
input,input,
comid,comid,
drain_sqkm,cat_basin_area,
slope_pct_30m,cat_basin_slope,
elev_mean_m_basin_30m,cat_elev_mean,
elev_min_m_basin_30m,cat_elev_min,
elev_max_m_basin_30m,cat_elev_max,
elv_rng,elv_rng,
eco3,eco3,
hlr1,cat_hlr_1,
hlr2,cat_hlr_2,
hlr3,cat_hlr_3,
hlr4,cat_hlr_4,
hlr5,cat_hlr_5,
hlr6,cat_hlr_6,
hlr7,cat_hlr_7,
hlr8,cat_hlr_8,
hlr9,cat_hlr_9,
hlr10,cat_hlr_10,
hlr11,cat_hlr_11,
hlr12,cat_hlr_12,
hlr13,cat_hlr_13,
hlr14,cat_hlr_14,
hlr15,cat_hlr_15,
hlr16,cat_hlr_16,
hlr17,cat_hlr_17,
hlr18,cat_hlr_18,
hlr19,cat_hlr_19,
hlr20,cat_hlr_20,
pptavg_cat,cat_ppt7100_ann,check?
pptavg_basin,tot_ppt7100_ann,check?
t_avg_cat,cat_tav7100_ann,check?
t_avg_basin,tot_tav7100_ann,check?
t_min_basin,cat_tmin7100,
t_max_basin,cat_tmax7100,
cat_ann_min_precip,cat_minp6190,check?
ann_min_precip,cat_minp6190,check?
cat_ann_max_precip,cat_maxp6190,check?
ann_max_precip,tot_maxp6190,check?
wd_jan_basin,cat_wdjan,
wd_feb_basin,cat_wdfeb,
wd_mar_basin,cat_wdmar,
wd_apr_basin,cat_wdapr,
wd_may_basin,cat_wdmay,
wd_jun_basin,cat_wdjun,
wd_jul_basin,cat_wdjul,
wd_aug_basin,cat_wdaug,
wd_sep_basin,cat_wdsep,
wd_oct_basin,cat_wdoct,
wd_nov_basin,cat_wdnov,
wd_dec_basin,cat_wddec,
ann_cons_wetdays,cat_wdann,
wd_basin,cat_cwd,
wdmin_basin,cat_minwd6190,
wdmax_basin,cat_maxwd6190,
et_cat,cat_et,check?
et,tot_et,check?
pet_cat,cat_pet,check?
pet,tot_pet,check?
rh_cat,cat_rh,check?
rh_basin,tot_rh,check?
snow_pct_precip,cat_prsnow,
fst32f_basin,cat_fstfz6190,
lst32f_basin,cat_lstfz6190,
contact,cat_contact,
bfi_ave,cat_bfi,
topwet,cat_twi,
perdun,cat_satof,
rfact,cat_rfact,
perhor,cat_kfact,check?
depth_wattab,cat_ieof,check?
siltave,cat_siltave,
clayave,cat_clayave,
sandave,cat_sandave,
hga,cat_hga,
hgac,cat_hgac,
hgad,cat_hgad,
hgb,cat_hgb,
hgbc,cat_hgbc,
hgbd,cat_hgbd,
hgc,cat_hgc,
hgcd,cat_hgcd,
hgd,cat_hgd,
hgvar,cat_hgvar,
kfact_up,cat_kfact_up,
no10ave,cat_no10ave,
no200ave,cat_no200ave,
no4ave,cat_no4ave,
omave,cat_om,
permave,cat_permave,
rockdepave,cat_rockdep,
bdave,cat_bdave,
awcave,cat_awcave,
wtdepave,cat_wtdep,
gneiss,cat_bushreed1,
granitic,cat_bushreed2,
ultramafic,cat_bushreed3,
quarternary,cat_bushreed4,
sedimentary,cat_bushreed5,
volcanic,cat_bushreed6,
water,cat_bushreed8,
anorthositic,cat_bushreed9,
intermediate,cat_bushreed10,
sgeo1,cat_hunt1,
sgeo2,cat_hunt2,
sgeo3,cat_hunt3,
sgeo4,cat_hunt4,
sgeo5,cat_hunt5,
sgeo6,cat_hunt6,
sgeo7,cat_hunt7,
sgeo8,cat_hunt8,
sgeo9,cat_hunt9,
sgeo10,cat_hunt10,
sgeo11,cat_hunt11,
sgeo12,cat_hunt12,
sgeo13,cat_hunt13,
sgeo14,cat_hunt14,
sgeo15,cat_hunt15,
sgeo16,cat_hunt16,
sgeo17,cat_hunt17,
sgeo18,cat_hunt18,
sgeo19,cat_hunt19,
sgeo20,cat_hunt20,
sgeo21,cat_hunt21,
sgeo22,cat_hunt22,
sgeo23,cat_hunt23,
sgeo24,cat_hunt24,
sgeo25,cat_hunt25,
sgeo26,cat_hunt26,
sgeo27,cat_hunt27,
sgeo28,cat_hunt28,
sgeo29,cat_hunt29,
sgeo30,cat_hunt30,
sgeo31,cat_hunt31,
sgeo32,cat_hunt32,
sgeo33,cat_hunt33,
sgeo34,cat_hunt34,
sgeo35,cat_hunt35,
sgeo36,cat_hunt36,
sgeo37,cat_hunt37,
sgeo38,cat_hunt38,
sgeo39,cat_hunt39,
sgeo40,cat_hunt40,
sgeo41,cat_hunt41,
sgeo42,cat_hunt42,
sgeo43,cat_hunt43,
sgeo44,cat_hunt44,
sgeo45,cat_hunt45,
ko_pct,cat_olson_k,
ca_o_pct,cat_olson_cao,
fe_o_pct,cat_olson_fe,
mg_o_pct,cat_olson_mgo,
p_pct,cat_olson_p,
s_pct,cat_olson_s,
si_o_pct,cat_olson_si,
ucs,cat_olson_ucs,
lperm,cat_olson_perm,
recharge,cat_rechg,
pmpe,,check?
bdmax,,check?
pmax_ws,,check?
tmin_ws,,check?
permh_ws,,check?
pmin_ws,,check?
krug_runoff,krug_runoff,
