COMID,ACC_AWD_OXN_T_09,ACC_AWD_REDN_T_09,ACC_AWD_S_T_09,ACC_AWD_SS_S_09,ACC_AWDEP_CL_09,ACC_AWDEP_NA_09,ACC_DD_OXN_T_09,ACC_DD_REDN_T_09,ACC_DD_S_T_09,ACC_DD_SS_S_09,ACC_DDEP_CL_09,ACC_DDEP_NA_09,ACC_TD_OXN_T_09,ACC_TD_REDN_T_09,ACC_TD_S_T_09,ACC_TD_SS_S_09,ACC_TDEP_CL_09,ACC_TDEP_NA_09,ACC_TD_N_09,source
3917070,0.2,0.34,0.32,0.04,0.86,0.65,1.16,0.4,0.25,0.09,1.69,1.44,1.4,0.74,0.58,0.14,2.56,2.09,2.14,ACC_CMAQ09_CONUS
3917072,0.2,0.34,0.32,0.04,0.86,0.65,1.16,0.4,0.25,0.09,1.69,1.44,1.4,0.74,0.58,0.14,2.56,2.09,2.14,ACC_CMAQ09_CONUS
3917082,0.13,0.26,0.2,0.02,0.44,0.34,0.97,0.44,0.22,0.08,1.48,1.23,1.14,0.7,0.43,0.1,1.92,1.58,1.84,ACC_CMAQ09_CONUS
3917084,0.17,0.31,0.28,0.03,0.69,0.53,1.09,0.41,0.24,0.09,1.61,1.36,1.3,0.72,0.52,0.12,2.3,1.88,2.02,ACC_CMAQ09_CONUS
3917106,0.16,0.3,0.26,0.03,0.65,0.5,1.07,0.42,0.24,0.09,1.59,1.34,1.27,0.72,0.5,0.12,2.23,1.83,1.99,ACC_CMAQ09_CONUS
3917114,0.2,0.34,0.32,0.04,0.86,0.65,1.16,0.4,0.25,0.09,1.69,1.44,1.4,0.74,0.58,0.14,2.56,2.09,2.14,ACC_CMAQ09_CONUS
3917130,0.15,0.27,0.24,0.03,0.57,0.43,1.1,0.4,0.24,0.09,1.57,1.35,1.29,0.68,0.48,0.12,2.14,1.78,1.96,ACC_CMAQ09_CONUS
3917136,0.1,0.24,0.17,0.02,0.31,0.25,0.92,0.45,0.21,0.08,1.41,1.17,1.06,0.69,0.38,0.09,1.72,1.43,1.75,ACC_CMAQ09_CONUS
3917138,0.1,0.24,0.17,0.02,0.31,0.25,0.92,0.45,0.21,0.08,1.41,1.17,1.06,0.69,0.38,0.09,1.72,1.43,1.75,ACC_CMAQ09_CONUS
3917154,0.2,0.34,0.32,0.04,0.86,0.65,1.16,0.4,0.25,0.09,1.69,1.44,1.4,0.74,0.58,0.14,2.56,2.09,2.14,ACC_CMAQ09_CONUS
3917156,0.2,0.34,0.32,0.04,0.86,0.65,1.16,0.4,0.25,0.09,1.69,1.44,1.4,0.74,0.58,0.14,2.56,2.09,2.14,ACC_CMAQ09_CONUS
3917158,0.18,0.27,0.26,0.03,0.64,0.51,0.77,0.51,0.15,0.05,0.82,0.7,0.96,0.78,0.41,0.08,1.46,1.22,1.74,ACC_CMAQ09_CONUS
3917160,0.18,0.28,0.26,0.03,0.65,0.52,0.79,0.51,0.15,0.05,0.86,0.74,0.98,0.78,0.41,0.08,1.52,1.26,1.76,ACC_CMAQ09_CONUS
3917162,0.15,0.28,0.24,0.03,0.59,0.45,1.11,0.4,0.24,0.09,1.58,1.36,1.3,0.68,0.49,0.12,2.17,1.81,1.98,ACC_CMAQ09_CONUS
3917164,0.2,0.34,0.32,0.04,0.86,0.65,1.16,0.4,0.25,0.09,1.69,1.44,1.4,0.74,0.58,0.14,2.56,2.09,2.14,ACC_CMAQ09_CONUS
3917172,0.2,0.34,0.32,0.04,0.86,0.65,1.16,0.4,0.25,0.09,1.69,1.44,1.4,0.74,0.58,0.14,2.56,2.09,2.14,ACC_CMAQ09_CONUS
3917176,0.16,0.3,0.26,0.03,0.66,0.5,1.13,0.4,0.24,0.09,1.61,1.38,1.33,0.7,0.51,0.12,2.28,1.88,2.02,ACC_CMAQ09_CONUS
3917178,0.16,0.29,0.26,0.03,0.65,0.49,1.12,0.4,0.24,0.09,1.6,1.37,1.32,0.69,0.51,0.12,2.25,1.86,2.01,ACC_CMAQ09_CONUS
3917194,0.14,0.25,0.22,0.03,0.52,0.39,1.17,0.38,0.25,0.09,1.57,1.38,1.34,0.64,0.47,0.12,2.09,1.77,1.97,ACC_CMAQ09_CONUS
3917198,0.17,0.3,0.27,0.03,0.68,0.52,1.1,0.41,0.24,0.09,1.54,1.32,1.3,0.71,0.51,0.12,2.22,1.83,2.01,ACC_CMAQ09_CONUS
3917200,0.17,0.3,0.27,0.03,0.67,0.52,1.07,0.42,0.23,0.08,1.48,1.27,1.27,0.71,0.5,0.12,2.15,1.78,1.98,ACC_CMAQ09_CONUS
3917230,0.2,0.23,0.2,0.02,0.4,0.34,0.81,0.64,0.14,0.03,0.62,0.52,0.96,0.87,0.34,0.06,1.02,0.87,1.83,ACC_CMAQ09_CONUS
