COMID,ACC_AWD_OXN_T_10,ACC_AWD_REDN_T_10,ACC_AWD_S_T_10,ACC_AWD_SS_S_10,ACC_AWDEP_CL_10,ACC_AWDEP_NA_10,ACC_DD_OXN_T_10,ACC_DD_REDN_T_10,ACC_DD_S_T_10,ACC_DD_SS_S_10,ACC_DDEP_CL_10,ACC_DDEP_NA_10,ACC_TD_OXN_T_10,ACC_TD_REDN_T_10,ACC_TD_S_T_10,ACC_TD_SS_S_10,ACC_TDEP_CL_10,ACC_TDEP_NA_10,ACC_TD_N_10,source
3917070,0.2,0.29,0.42,0.1,2.36,1.52,1.32,0.41,0.3,0.12,2.14,1.85,1.57,0.7,0.72,0.22,4.5,3.37,2.28,ACC_CMAQ10_CONUS
3917072,0.2,0.29,0.42,0.1,2.36,1.52,1.32,0.41,0.3,0.12,2.14,1.85,1.57,0.7,0.72,0.22,4.5,3.37,2.28,ACC_CMAQ10_CONUS
3917082,0.13,0.22,0.24,0.05,1.14,0.76,1.09,0.45,0.26,0.1,1.85,1.57,1.26,0.66,0.5,0.15,2.99,2.33,1.92,ACC_CMAQ10_CONUS
3917084,0.17,0.26,0.35,0.08,1.87,1.22,1.23,0.43,0.28,0.11,2.02,1.74,1.45,0.69,0.63,0.19,3.89,2.95,2.13,ACC_CMAQ10_CONUS
3917106,0.16,0.25,0.33,0.07,1.75,1.14,1.21,0.43,0.28,0.11,1.99,1.71,1.42,0.68,0.61,0.18,3.74,2.85,2.1,ACC_CMAQ10_CONUS
3917114,0.2,0.29,0.42,0.1,2.36,1.52,1.32,0.41,0.3,0.12,2.14,1.85,1.57,0.7,0.72,0.22,4.5,3.37,2.28,ACC_CMAQ10_CONUS
3917130,0.15,0.23,0.29,0.06,1.51,0.99,1.27,0.43,0.28,0.11,1.98,1.73,1.45,0.65,0.57,0.18,3.49,2.72,2.1,ACC_CMAQ10_CONUS
3917136,0.1,0.19,0.19,0.03,0.78,0.53,1.02,0.46,0.24,0.1,1.76,1.49,1.16,0.65,0.43,0.13,2.54,2.02,1.82,ACC_CMAQ10_CONUS
3917138,0.1,0.19,0.19,0.03,0.78,0.53,1.02,0.46,0.24,0.1,1.76,1.49,1.16,0.65,0.43,0.13,2.54,2.02,1.82,ACC_CMAQ10_CONUS
3917154,0.2,0.29,0.42,0.1,2.36,1.52,1.32,0.41,0.3,0.12,2.14,1.85,1.57,0.7,0.72,0.22,4.5,3.37,2.28,ACC_CMAQ10_CONUS
3917156,0.2,0.29,0.42,0.1,2.36,1.52,1.32,0.41,0.3,0.12,2.14,1.85,1.57,0.7,0.72,0.22,4.5,3.37,2.28,ACC_CMAQ10_CONUS
3917158,0.18,0.22,0.31,0.07,1.51,1.01,0.84,0.48,0.17,0.06,1.05,0.92,1.04,0.69,0.48,0.13,2.56,1.93,1.73,ACC_CMAQ10_CONUS
3917160,0.18,0.22,0.31,0.07,1.55,1.03,0.86,0.47,0.18,0.06,1.1,0.97,1.06,0.69,0.49,0.13,2.66,2,1.76,ACC_CMAQ10_CONUS
3917162,0.15,0.23,0.3,0.07,1.58,1.04,1.28,0.43,0.29,0.11,1.99,1.74,1.47,0.65,0.59,0.18,3.58,2.77,2.12,ACC_CMAQ10_CONUS
