COMID,ACC_AWD_OXN_T_05,ACC_AWD_REDN_T_05,ACC_AWD_S_T_05,ACC_AWD_SS_S_05,ACC_AWDEP_CL_05,ACC_AWDEP_NA_05,ACC_DD_OXN_T_05,ACC_DD_REDN_T_05,ACC_DD_S_T_05,ACC_DD_SS_S_05,ACC_DDEP_CL_05,ACC_DDEP_NA_05,ACC_TD_OXN_T_05,ACC_TD_REDN_T_05,ACC_TD_S_T_05,ACC_TD_SS_S_05,ACC_TDEP_CL_05,ACC_TDEP_NA_05,ACC_TD_N_05,source
3917070,0.24,0.24,0.31,0.05,0.98,0.7,1.6,0.29,0.39,0.12,2.17,1.85,1.84,0.52,0.69,0.17,3.15,2.56,2.37,ACC_CMAQ05_CONUS
3917072,0.24,0.24,0.31,0.05,0.98,0.7,1.6,0.29,0.39,0.12,2.17,1.85,1.84,0.52,0.69,0.17,3.15,2.56,2.37,ACC_CMAQ05_CONUS
3917082,0.18,0.19,0.22,0.03,0.54,0.42,1.4,0.32,0.35,0.11,1.92,1.63,1.58,0.51,0.57,0.13,2.46,2.05,2.09,ACC_CMAQ05_CONUS
3917084,0.22,0.22,0.27,0.04,0.8,0.59,1.52,0.3,0.37,0.12,2.07,1.77,1.74,0.52,0.65,0.15,2.87,2.35,2.26,ACC_CMAQ05_CONUS
3917106,0.21,0.21,0.26,0.04,0.76,0.56,1.5,0.3,0.37,0.12,2.04,1.75,1.71,0.52,0.63,0.15,2.8,2.3,2.23,ACC_CMAQ05_CONUS
3917114,0.24,0.24,0.31,0.05,0.98,0.7,1.6,0.29,0.39,0.12,2.17,1.85,1.84,0.52,0.69,0.17,3.15,2.56,2.37,ACC_CMAQ05_CONUS
3917130,0.22,0.23,0.28,0.04,0.81,0.59,1.49,0.29,0.37,0.11,1.93,1.66,1.72,0.52,0.65,0.15,2.74,2.25,2.24,ACC_CMAQ05_CONUS
3917136,0.16,0.18,0.19,0.02,0.4,0.33,1.34,0.33,0.34,0.1,1.85,1.57,1.5,0.51,0.54,0.12,2.25,1.9,2.01,ACC_CMAQ05_CONUS
3917138,0.16,0.18,0.19,0.02,0.4,0.33,1.34,0.33,0.34,0.1,1.85,1.57,1.5,0.51,0.54,0.12,2.25,1.9,2.01,ACC_CMAQ05_CONUS
3917154,0.24,0.24,0.31,0.05,0.98,0.7,1.6,0.29,0.39,0.12,2.17,1.85,1.84,0.52,0.69,0.17,3.15,2.56,2.37,ACC_CMAQ05_CONUS
