COMID,ACC_AWD_OXN_T_06,ACC_AWD_REDN_T_06,ACC_AWD_S_T_06,ACC_AWD_SS_S_06,ACC_AWDEP_CL_06,ACC_AWDEP_NA_06,ACC_DD_OXN_T_06,ACC_DD_REDN_T_06,ACC_DD_S_T_06,ACC_DD_SS_S_06,ACC_DDEP_CL_06,ACC_DDEP_NA_06,ACC_TD_OXN_T_06,ACC_TD_REDN_T_06,ACC_TD_S_T_06,ACC_TD_SS_S_06,ACC_TDEP_CL_06,ACC_TDEP_NA_06,ACC_TD_N_06,source
3917070,0.22,0.17,0.28,0.04,2.01,0.57,1.5,0.47,0.37,0.07,1.08,1.04,1.71,0.64,0.65,0.11,3.08,1.61,2.36,ACC_CMAQ06_CONUS
3917072,0.22,0.17,0.28,0.04,2.01,0.57,1.5,0.47,0.37,0.07,1.08,1.04,1.71,0.64,0.65,0.11,3.08,1.61,2.36,ACC_CMAQ06_CONUS
3917082,0.13,0.1,0.15,0.02,0.93,0.28,1.27,0.53,0.33,0.06,0.95,0.9,1.4,0.63,0.49,0.08,1.89,1.18,2.03,ACC_CMAQ06_CONUS
3917084,0.18,0.14,0.23,0.03,1.57,0.45,1.41,0.49,0.36,0.06,1.03,0.99,1.59,0.64,0.59,0.09,2.6,1.44,2.22,ACC_CMAQ06_CONUS
3917106,0.17,0.13,0.22,0.03,1.46,0.42,1.39,0.5,0.35,0.06,1.01,0.97,1.56,0.64,0.57,0.09,2.48,1.4,2.19,ACC_CMAQ06_CONUS
3917114,0.22,0.17,0.28,0.04,2.01,0.57,1.5,0.47,0.37,0.07,1.08,1.04,1.71,0.64,0.65,0.11,3.08,1.61,2.36,ACC_CMAQ06_CONUS
3917130,0.16,0.13,0.2,0.03,1.31,0.39,1.45,0.52,0.37,0.06,1.02,1,1.61,0.65,0.57,0.09,2.33,1.38,2.25,ACC_CMAQ06_CONUS
3917136,0.1,0.08,0.11,0.01,0.61,0.19,1.2,0.55,0.32,0.06,0.92,0.86,1.3,0.63,0.44,0.07,1.53,1.05,1.93,ACC_CMAQ06_CONUS
3917138,0.1,0.08,0.11,0.01,0.61,0.19,1.2,0.55,0.32,0.06,0.92,0.86,1.3,0.63,0.44,0.07,1.53,1.05,1.93,ACC_CMAQ06_CONUS
3917154,0.22,0.17,0.28,0.04,2.01,0.57,1.5,0.47,0.37,0.07,1.08,1.04,1.71,0.64,0.65,0.11,3.08,1.61,2.36,ACC_CMAQ06_CONUS
3917156,0.22,0.17,0.28,0.04,2.01,0.57,1.5,0.47,0.37,0.07,1.08,1.04,1.71,0.64,0.65,0.11,3.08,1.61,2.36,ACC_CMAQ06_CONUS
3917158,0.2,0.17,0.28,0.04,1.86,0.55,0.98,0.59,0.22,0.03,0.51,0.52,1.18,0.76,0.49,0.07,2.37,1.07,1.94,ACC_CMAQ06_CONUS
3917160,0.2,0.17,0.28,0.04,1.87,0.55,1.01,0.58,0.22,0.04,0.54,0.54,1.21,0.75,0.5,0.07,2.41,1.09,1.96,ACC_CMAQ06_CONUS
3917162,0.16,0.13,0.21,0.03,1.37,0.4,1.45,0.51,0.37,0.07,1.02,1,1.62,0.65,0.58,0.09,2.39,1.4,2.27,ACC_CMAQ06_CONUS
3917164,0.22,0.17,0.28,0.04,2.01,0.57,1.5,0.47,0.37,0.07,1.08,1.04,1.71,0.64,0.65,0.11,3.08,1.61,2.36,ACC_CMAQ06_CONUS
3917172,0.22,0.17,0.28,0.04,2.01,0.57,1.5,0.47,0.37,0.07,1.08,1.04,1.71,0.64,0.65,0.11,3.08,1.61,2.36,ACC_CMAQ06_CONUS
3917176,0.18,0.14,0.23,0.03,1.54,0.45,1.47,0.5,0.37,0.07,1.04,1.01,1.65,0.65,0.6,0.09,2.58,1.46,2.3,ACC_CMAQ06_CONUS
3917178,0.17,0.14,0.22,0.03,1.5,0.44,1.47,0.51,0.37,0.07,1.03,1.01,1.64,0.65,0.6,0.09,2.53,1.45,2.29,ACC_CMAQ06_CONUS
3917194,0.15,0.13,0.2,0.02,1.26,0.38,1.54,0.54,0.4,0.07,1.02,1.04,1.7,0.68,0.6,0.09,2.28,1.41,2.37,ACC_CMAQ06_CONUS
3917198,0.18,0.15,0.24,0.03,1.62,0.47,1.43,0.51,0.36,0.06,0.99,0.97,1.61,0.66,0.6,0.09,2.61,1.44,2.27,ACC_CMAQ06_CONUS
3917200,0.18,0.15,0.24,0.03,1.63,0.47,1.39,0.52,0.35,0.06,0.95,0.93,1.57,0.67,0.59,0.09,2.58,1.4,2.24,ACC_CMAQ06_CONUS
3917230,0.22,0.23,0.3,0.03,1.37,0.53,0.87,0.71,0.18,0.02,0.34,0.33,1.1,0.95,0.48,0.06,1.71,0.86,2.04,ACC_CMAQ06_CONUS
3917244,0.25,0.23,0.28,0.03,1.58,0.49,1.38,0.59,0.32,0.05,0.77,0.77,1.63,0.83,0.6,0.08,2.34,1.26,2.46,ACC_CMAQ06_CONUS
3917912,0.17,0.14,0.22,0.03,1.46,0.43,1.46,0.51,0.37,0.07,1.03,1.01,1.63,0.65,0.59,0.09,2.49,1.43,2.28,ACC_CMAQ06_CONUS
