COMID,ACC_AWD_OXN_T_08,ACC_AWD_REDN_T_08,ACC_AWD_S_T_08,ACC_AWD_SS_S_08,ACC_AWDEP_CL_08,ACC_AWDEP_NA_08,ACC_DD_OXN_T_08,ACC_DD_REDN_T_08,ACC_DD_S_T_08,ACC_DD_SS_S_08,ACC_DDEP_CL_08,ACC_DDEP_NA_08,ACC_TD_OXN_T_08,ACC_TD_REDN_T_08,ACC_TD_S_T_08,ACC_TD_SS_S_08,ACC_TDEP_CL_08,ACC_TDEP_NA_08,ACC_TD_N_08,source
3917070,0.2,0.27,0.3,0.07,1.78,1.09,1.26,0.77,0.39,0.13,2.48,2,1.45,1.03,0.69,0.2,4.26,3.09,2.48,ACC_CMAQ08_CONUS
3917072,0.2,0.27,0.3,0.07,1.78,1.09,1.26,0.77,0.39,0.13,2.48,2,1.45,1.03,0.69,0.2,4.26,3.09,2.48,ACC_CMAQ08_CONUS
3917082,0.13,0.19,0.17,0.03,0.76,0.47,1.07,0.83,0.36,0.12,2.3,1.82,1.19,1.02,0.53,0.15,3.06,2.29,2.21,ACC_CMAQ08_CONUS
3917084,0.17,0.24,0.25,0.05,1.37,0.84,1.19,0.79,0.38,0.13,2.41,1.93,1.35,1.03,0.63,0.18,3.78,2.77,2.37,ACC_CMAQ08_CONUS
3917106,0.16,0.23,0.23,0.05,1.27,0.78,1.17,0.8,0.38,0.13,2.39,1.91,1.32,1.03,0.61,0.17,3.66,2.69,2.35,ACC_CMAQ08_CONUS
3917114,0.2,0.27,0.3,0.07,1.78,1.09,1.26,0.77,0.39,0.13,2.48,2,1.45,1.03,0.69,0.2,4.26,3.09,2.48,ACC_CMAQ08_CONUS
3917130,0.15,0.21,0.21,0.04,1.08,0.67,1.21,0.81,0.39,0.13,2.37,1.93,1.34,1.02,0.61,0.17,3.45,2.6,2.37,ACC_CMAQ08_CONUS
3917136,0.1,0.17,0.13,0.02,0.45,0.29,1.02,0.85,0.34,0.12,2.25,1.77,1.12,1.01,0.48,0.13,2.71,2.06,2.13,ACC_CMAQ08_CONUS
3917138,0.1,0.17,0.13,0.02,0.45,0.29,1.02,0.85,0.34,0.12,2.25,1.77,1.12,1.01,0.48,0.13,2.71,2.06,2.13,ACC_CMAQ08_CONUS
3917154,0.2,0.27,0.3,0.07,1.78,1.09,1.26,0.77,0.39,0.13,2.48,2,1.45,1.03,0.69,0.2,4.26,3.09,2.48,ACC_CMAQ08_CONUS
3917156,0.2,0.27,0.3,0.07,1.78,1.09,1.26,0.77,0.39,0.13,2.48,2,1.45,1.03,0.69,0.2,4.26,3.09,2.48,ACC_CMAQ08_CONUS
3917158,0.18,0.24,0.27,0.06,1.55,0.95,0.82,0.91,0.24,0.06,1.15,0.96,0.98,1.15,0.51,0.12,2.71,1.91,2.13,ACC_CMAQ08_CONUS
3917160,0.18,0.24,0.27,0.06,1.56,0.96,0.84,0.91,0.25,0.07,1.22,1.01,1,1.15,0.52,0.13,2.78,1.97,2.15,ACC_CMAQ08_CONUS
3917162,0.15,0.22,0.22,0.05,1.14,0.7,1.22,0.81,0.39,0.13,2.37,1.93,1.36,1.03,0.61,0.17,3.51,2.64,2.38,ACC_CMAQ08_CONUS
3917164,0.2,0.27,0.3,0.07,1.78,1.09,1.26,0.77,0.39,0.13,2.48,2,1.45,1.03,0.69,0.2,4.26,3.09,2.48,ACC_CMAQ08_CONUS
3917172,0.2,0.27,0.3,0.07,1.78,1.09,1.26,0.77,0.39,0.13,2.48,2,1.45,1.03,0.69,0.2,4.26,3.09,2.48,ACC_CMAQ08_CONUS
3917176,0.16,0.23,0.24,0.05,1.31,0.81,1.23,0.8,0.4,0.13,2.4,1.95,1.38,1.03,0.64,0.18,3.71,2.76,2.41,ACC_CMAQ08_CONUS
3917178,0.16,0.23,0.23,0.05,1.26,0.78,1.23,0.8,0.4,0.13,2.39,1.95,1.38,1.03,0.63,0.18,3.66,2.73,2.4,ACC_CMAQ08_CONUS
3917194,0.14,0.2,0.2,0.04,0.97,0.61,1.28,0.83,0.42,0.13,2.33,1.95,1.4,1.04,0.62,0.17,3.3,2.56,2.44,ACC_CMAQ08_CONUS
3917198,0.17,0.23,0.25,0.05,1.38,0.85,1.19,0.81,0.38,0.12,2.28,1.86,1.35,1.04,0.63,0.18,3.66,2.7,2.39,ACC_CMAQ08_CONUS
3917200,0.17,0.23,0.25,0.05,1.38,0.85,1.16,0.82,0.37,0.12,2.19,1.78,1.32,1.05,0.62,0.17,3.57,2.63,2.37,ACC_CMAQ08_CONUS
3917230,0.2,0.36,0.26,0.03,0.87,0.51,0.73,1.05,0.23,0.04,0.79,0.67,0.91,1.41,0.49,0.08,1.66,1.18,2.32,ACC_CMAQ08_CONUS
3917244,0.18,0.26,0.23,0.04,1.07,0.67,1.13,0.91,0.34,0.1,1.73,1.46,1.3,1.17,0.57,0.14,2.8,2.13,2.46,ACC_CMAQ08_CONUS
3917912,0.16,0.22,0.23,0.05,1.23,0.76,1.22,0.8,0.39,0.13,2.39,1.94,1.37,1.03,0.63,0.18,3.62,2.7,2.4,ACC_CMAQ08_CONUS
3917914,0.09,0.14,0.1,0.01,0.32,0.21,1.11,0.82,0.37,0.12,2.3,1.86,1.19,0.96,0.48,0.14,2.63,2.07,2.15,ACC_CMAQ08_CONUS
3917916,0.13,0.19,0.18,0.03,0.83,0.52,1.22,0.83,0.4,0.13,2.33,1.92,1.34,1.02,0.58,0.16,3.16,2.44,2.35,ACC_CMAQ08_CONUS
3917918,0.17,0.23,0.25,0.05,1.37,0.84,1.22,0.8,0.39,0.13,2.36,1.93,1.38,1.03,0.64,0.18,3.73,2.76,2.41,ACC_CMAQ08_CONUS
3917920,0.18,0.24,0.27,0.06,1.54,0.95,0.8,0.92,0.24,0.06,1.11,0.92,0.96,1.16,0.5,0.12,2.65,1.87,2.12,ACC_CMAQ08_CONUS
3917922,0.17,0.23,0.26,0.06,1.5,0.92,0.71,0.95,0.2,0.05,0.84,0.71,0.86,1.18,0.46,0.11,2.33,1.63,2.04,ACC_CMAQ08_CONUS
3917946,0.18,0.26,0.23,0.04,1.06,0.67,1.12,0.91,0.34,0.1,1.71,1.44,1.29,1.17,0.57,0.14,2.77,2.11,2.46,ACC_CMAQ08_CONUS
3917948,0.17,0.23,0.25,0.05,1.39,0.85,1.15,0.82,0.36,0.12,2.16,1.76,1.31,1.05,0.61,0.17,3.55,2.62,2.36,ACC_CMAQ08_CONUS
3917950,0.18,0.26,0.23,0.04,1.06,0.67,1.14,0.91,0.35,0.1,1.74,1.48,1.31,1.16,0.58,0.14,2.81,2.14,2.47,ACC_CMAQ08_CONUS
948010089,0.17,0.23,0.26,0.06,1.5,0.92,0.71,0.95,0.2,0.05,0.84,0.71,0.86,1.18,0.46,0.11,2.33,1.63,2.04,ACC_CMAQ08_CONUS
