COMID,ACC_AWD_OXN_T_11,ACC_AWD_REDN_T_11,ACC_AWD_S_T_11,ACC_AWD_SS_S_11,ACC_AWDEP_CL_11,ACC_AWDEP_NA_11,ACC_DD_OXN_T_11,ACC_DD_REDN_T_11,ACC_DD_S_T_11,ACC_DD_SS_S_11,ACC_DDEP_CL_11,ACC_DDEP_NA_11,ACC_TD_OXN_T_11,ACC_TD_REDN_T_11,ACC_TD_S_T_11,ACC_TD_SS_S_11,ACC_TDEP_CL_11,ACC_TDEP_NA_11,ACC_TD_N_11,source
3917070,0.2,0.35,0.34,0.06,1.37,0.91,1.16,0.45,0.26,0.11,2.06,1.67,1.39,0.8,0.6,0.17,3.43,2.58,2.19,ACC_CMAQ11_CONUS
3917072,0.2,0.35,0.34,0.06,1.37,0.91,1.16,0.45,0.26,0.11,2.06,1.67,1.39,0.8,0.6,0.17,3.43,2.58,2.19,ACC_CMAQ11_CONUS
3917082,0.13,0.22,0.18,0.03,0.64,0.44,1,0.52,0.25,0.1,1.86,1.51,1.14,0.74,0.43,0.13,2.51,1.95,1.88,ACC_CMAQ11_CONUS
3917084,0.17,0.3,0.28,0.05,1.07,0.72,1.1,0.48,0.26,0.1,1.98,1.61,1.29,0.77,0.53,0.15,3.06,2.33,2.07,ACC_CMAQ11_CONUS
3917106,0.16,0.28,0.26,0.05,1,0.67,1.08,0.49,0.26,0.1,1.96,1.59,1.27,0.76,0.51,0.15,2.96,2.26,2.04,ACC_CMAQ11_CONUS
3917114,0.2,0.35,0.34,0.06,1.37,0.91,1.16,0.45,0.26,0.11,2.06,1.67,1.39,0.8,0.6,0.17,3.43,2.58,2.19,ACC_CMAQ11_CONUS
3917130,0.15,0.26,0.23,0.04,0.87,0.58,1.11,0.47,0.25,0.1,1.93,1.59,1.28,0.73,0.48,0.14,2.8,2.17,2.01,ACC_CMAQ11_CONUS
3917136,0.1,0.18,0.14,0.02,0.42,0.3,0.95,0.55,0.24,0.1,1.81,1.46,1.06,0.72,0.38,0.11,2.23,1.76,1.79,ACC_CMAQ11_CONUS
3917138,0.1,0.18,0.14,0.02,0.42,0.3,0.95,0.55,0.24,0.1,1.81,1.46,1.06,0.72,0.38,0.11,2.23,1.76,1.79,ACC_CMAQ11_CONUS
3917154,0.2,0.35,0.34,0.06,1.37,0.91,1.16,0.45,0.26,0.11,2.06,1.67,1.39,0.8,0.6,0.17,3.43,2.58,2.19,ACC_CMAQ11_CONUS
3917156,0.2,0.35,0.34,0.06,1.37,0.91,1.16,0.45,0.26,0.11,2.06,1.67,1.39,0.8,0.6,0.17,3.43,2.58,2.19,ACC_CMAQ11_CONUS
3917158,0.18,0.34,0.31,0.05,1.08,0.74,0.76,0.66,0.14,0.05,0.94,0.77,0.97,1,0.45,0.1,2.02,1.51,1.97,ACC_CMAQ11_CONUS
3917160,0.18,0.34,0.31,0.05,1.09,0.75,0.78,0.65,0.15,0.05,0.99,0.81,0.99,0.99,0.46,0.1,2.09,1.56,1.98,ACC_CMAQ11_CONUS
3917162,0.15,0.27,0.24,0.04,0.91,0.61,1.12,0.47,0.25,0.1,1.94,1.6,1.29,0.74,0.49,0.14,2.85,2.21,2.03,ACC_CMAQ11_CONUS
3917164,0.2,0.35,0.34,0.06,1.37,0.91,1.16,0.45,0.26,0.11,2.06,1.67,1.39,0.8,0.6,0.17,3.43,2.58,2.19,ACC_CMAQ11_CONUS
3917172,0.2,0.35,0.34,0.06,1.37,0.91,1.16,0.45,0.26,0.11,2.06,1.67,1.39,0.8,0.6,0.17,3.43,2.58,2.19,ACC_CMAQ11_CONUS
3917176,0.16,0.29,0.27,0.04,1.03,0.69,1.13,0.46,0.26,0.1,1.97,1.62,1.32,0.75,0.52,0.15,3,2.31,2.07,ACC_CMAQ11_CONUS
3917178,0.16,0.29,0.26,0.04,1,0.67,1.13,0.47,0.26,0.1,1.96,1.61,1.31,0.75,0.51,0.15,2.96,2.28,2.06,ACC_CMAQ11_CONUS
3917194,0.14,0.26,0.22,0.03,0.79,0.53,1.16,0.45,0.25,0.1,1.9,1.59,1.32,0.71,0.47,0.14,2.69,2.12,2.02,ACC_CMAQ11_CONUS
3917198,0.17,0.3,0.28,0.05,1.07,0.72,1.1,0.48,0.25,0.1,1.88,1.54,1.29,0.78,0.52,0.15,2.94,2.25,2.07,ACC_CMAQ11_CONUS
