COMID,ACC_AWD_OXN_T_02,ACC_AWD_REDN_T_02,ACC_AWD_S_T_02,ACC_AWD_SS_S_02,ACC_AWDEP_CL_02,ACC_AWDEP_NA_02,ACC_DD_OXN_T_02,ACC_DD_REDN_T_02,ACC_DD_S_T_02,ACC_DD_SS_S_02,ACC_DDEP_CL_02,ACC_DDEP_NA_02,ACC_TD_OXN_T_02,ACC_TD_REDN_T_02,ACC_TD_S_T_02,ACC_TD_SS_S_02,ACC_TDEP_CL_02,ACC_TDEP_NA_02,ACC_TD_N_02,source
3917070,0.21,0.23,0.24,0.04,0.89,0.6,1.96,0.4,0.43,0.11,1.82,1.63,2.16,0.63,0.67,0.15,2.71,2.24,2.79,ACC_CMAQ02_CONUS
3917072,0.21,0.23,0.24,0.04,0.89,0.6,1.96,0.4,0.43,0.11,1.82,1.63,2.16,0.63,0.67,0.15,2.71,2.24,2.79,ACC_CMAQ02_CONUS
3917082,0.13,0.15,0.14,0.02,0.43,0.3,1.7,0.42,0.39,0.09,1.64,1.45,1.83,0.57,0.53,0.11,2.06,1.75,2.39,ACC_CMAQ02_CONUS
3917084,0.18,0.2,0.2,0.03,0.7,0.48,1.85,0.4,0.42,0.1,1.75,1.56,2.03,0.6,0.61,0.13,2.45,2.04,2.63,ACC_CMAQ02_CONUS
3917106,0.17,0.19,0.19,0.03,0.65,0.45,1.83,0.4,0.41,0.1,1.73,1.54,2,0.59,0.6,0.13,2.38,1.99,2.59,ACC_CMAQ02_CONUS
3917114,0.21,0.23,0.24,0.04,0.89,0.6,1.96,0.4,0.43,0.11,1.82,1.63,2.16,0.63,0.67,0.15,2.71,2.24,2.79,ACC_CMAQ02_CONUS
3917130,0.17,0.18,0.19,0.03,0.67,0.46,1.82,0.37,0.41,0.1,1.63,1.47,1.99,0.56,0.59,0.12,2.3,1.93,2.54,ACC_CMAQ02_CONUS
3917136,0.11,0.12,0.11,0.01,0.29,0.21,1.62,0.42,0.38,0.09,1.59,1.39,1.73,0.55,0.49,0.1,1.87,1.6,2.28,ACC_CMAQ02_CONUS
3917138,0.11,0.12,0.11,0.01,0.29,0.21,1.62,0.42,0.38,0.09,1.59,1.39,1.73,0.55,0.49,0.1,1.87,1.6,2.28,ACC_CMAQ02_CONUS
3917154,0.21,0.23,0.24,0.04,0.89,0.6,1.96,0.4,0.43,0.11,1.82,1.63,2.16,0.63,0.67,0.15,2.71,2.24,2.79,ACC_CMAQ02_CONUS
3917156,0.21,0.23,0.24,0.04,0.89,0.6,1.96,0.4,0.43,0.11,1.82,1.63,2.16,0.63,0.67,0.15,2.71,2.24,2.79,ACC_CMAQ02_CONUS
3917158,0.21,0.22,0.21,0.04,0.85,0.58,1.13,0.48,0.25,0.05,0.78,0.71,1.34,0.7,0.46,0.08,1.63,1.29,2.05,ACC_CMAQ02_CONUS
3917160,0.21,0.23,0.21,0.04,0.85,0.58,1.17,0.48,0.26,0.05,0.83,0.76,1.38,0.7,0.47,0.09,1.68,1.33,2.08,ACC_CMAQ02_CONUS
3917162,0.18,0.19,0.19,0.03,0.7,0.47,1.83,0.37,0.41,0.1,1.64,1.48,2,0.56,0.6,0.13,2.34,1.95,2.56,ACC_CMAQ02_CONUS
3917164,0.21,0.23,0.24,0.04,0.89,0.6,1.96,0.4,0.43,0.11,1.82,1.63,2.16,0.63,0.67,0.15,2.71,2.24,2.79,ACC_CMAQ02_CONUS
3917172,0.21,0.23,0.24,0.04,0.89,0.6,1.96,0.4,0.43,0.11,1.82,1.63,2.16,0.63,0.67,0.15,2.71,2.24,2.79,ACC_CMAQ02_CONUS
3917176,0.19,0.2,0.21,0.03,0.75,0.51,1.86,0.38,0.42,0.1,1.68,1.51,2.05,0.58,0.62,0.13,2.44,2.03,2.63,ACC_CMAQ02_CONUS
