COMID,ACC_AWD_OXN_T_04,ACC_AWD_REDN_T_04,ACC_AWD_S_T_04,ACC_AWD_SS_S_04,ACC_AWDEP_CL_04,ACC_AWDEP_NA_04,ACC_DD_OXN_T_04,ACC_DD_REDN_T_04,ACC_DD_S_T_04,ACC_DD_SS_S_04,ACC_DDEP_CL_04,ACC_DDEP_NA_04,ACC_TD_OXN_T_04,ACC_TD_REDN_T_04,ACC_TD_S_T_04,ACC_TD_SS_S_04,ACC_TDEP_CL_04,ACC_TDEP_NA_04,ACC_TD_N_04,source
3917070,0.25,0.2,0.31,0.08,1.63,1.16,1.66,0.45,0.46,0.14,2.24,2.07,1.91,0.65,0.77,0.21,3.87,3.23,2.56,ACC_CMAQ04_CONUS
3917072,0.25,0.2,0.31,0.08,1.63,1.16,1.66,0.45,0.46,0.14,2.24,2.07,1.91,0.65,0.77,0.21,3.87,3.23,2.56,ACC_CMAQ04_CONUS
3917082,0.16,0.15,0.2,0.04,0.73,0.58,1.46,0.46,0.41,0.12,1.99,1.84,1.62,0.61,0.61,0.16,2.72,2.42,2.23,ACC_CMAQ04_CONUS
3917084,0.21,0.18,0.26,0.06,1.27,0.92,1.58,0.45,0.44,0.13,2.14,1.98,1.79,0.64,0.7,0.19,3.41,2.91,2.43,ACC_CMAQ04_CONUS
3917106,0.2,0.17,0.25,0.06,1.18,0.86,1.56,0.45,0.43,0.13,2.11,1.96,1.76,0.63,0.68,0.18,3.29,2.83,2.4,ACC_CMAQ04_CONUS
3917114,0.25,0.2,0.31,0.08,1.63,1.16,1.66,0.45,0.46,0.14,2.24,2.07,1.91,0.65,0.77,0.21,3.87,3.23,2.56,ACC_CMAQ04_CONUS
3917130,0.2,0.18,0.24,0.05,1.15,0.83,1.55,0.38,0.4,0.12,1.97,1.86,1.75,0.56,0.65,0.18,3.13,2.69,2.32,ACC_CMAQ04_CONUS
3917136,0.13,0.14,0.16,0.03,0.46,0.4,1.4,0.46,0.39,0.12,1.92,1.78,1.53,0.6,0.56,0.14,2.38,2.18,2.12,ACC_CMAQ04_CONUS
3917138,0.13,0.14,0.16,0.03,0.46,0.4,1.4,0.46,0.39,0.12,1.92,1.78,1.53,0.6,0.56,0.14,2.38,2.18,2.12,ACC_CMAQ04_CONUS
3917154,0.25,0.2,0.31,0.08,1.63,1.16,1.66,0.45,0.46,0.14,2.24,2.07,1.91,0.65,0.77,0.21,3.87,3.23,2.56,ACC_CMAQ04_CONUS
3917156,0.25,0.2,0.31,0.08,1.63,1.16,1.66,0.45,0.46,0.14,2.24,2.07,1.91,0.65,0.77,0.21,3.87,3.23,2.56,ACC_CMAQ04_CONUS
3917158,0.21,0.16,0.24,0.06,1.29,0.94,0.97,0.45,0.25,0.06,1,0.95,1.18,0.61,0.49,0.12,2.29,1.88,1.79,ACC_CMAQ04_CONUS
3917160,0.21,0.16,0.25,0.06,1.31,0.95,1,0.45,0.26,0.07,1.06,1,1.22,0.61,0.5,0.13,2.37,1.95,1.82,ACC_CMAQ04_CONUS
3917162,0.21,0.18,0.25,0.06,1.2,0.87,1.56,0.39,0.41,0.12,1.99,1.87,1.76,0.57,0.66,0.18,3.2,2.74,2.34,ACC_CMAQ04_CONUS
