COMID,ACC_AWD_OXN_T_03,ACC_AWD_REDN_T_03,ACC_AWD_S_T_03,ACC_AWD_SS_S_03,ACC_AWDEP_CL_03,ACC_AWDEP_NA_03,ACC_DD_OXN_T_03,ACC_DD_REDN_T_03,ACC_DD_S_T_03,ACC_DD_SS_S_03,ACC_DDEP_CL_03,ACC_DDEP_NA_03,ACC_TD_OXN_T_03,ACC_TD_REDN_T_03,ACC_TD_S_T_03,ACC_TD_SS_S_03,ACC_TDEP_CL_03,ACC_TDEP_NA_03,ACC_TD_N_03,source
3917070,0.24,0.26,0.24,0.03,0.75,0.53,2.05,0.32,0.4,0.11,1.94,1.73,2.29,0.58,0.64,0.15,2.7,2.26,2.87,ACC_CMAQ03_CONUS
3917072,0.24,0.26,0.24,0.03,0.75,0.53,2.05,0.32,0.4,0.11,1.94,1.73,2.29,0.58,0.64,0.15,2.7,2.26,2.87,ACC_CMAQ03_CONUS
3917082,0.15,0.17,0.15,0.02,0.43,0.31,1.78,0.37,0.36,0.1,1.72,1.51,1.93,0.54,0.51,0.12,2.15,1.82,2.47,ACC_CMAQ03_CONUS
3917084,0.2,0.22,0.2,0.03,0.62,0.44,1.94,0.34,0.38,0.11,1.85,1.64,2.15,0.56,0.59,0.14,2.48,2.08,2.71,ACC_CMAQ03_CONUS
3917106,0.19,0.21,0.19,0.03,0.59,0.42,1.91,0.35,0.38,0.11,1.83,1.62,2.11,0.56,0.57,0.14,2.42,2.04,2.67,ACC_CMAQ03_CONUS
3917114,0.24,0.26,0.24,0.03,0.75,0.53,2.05,0.32,0.4,0.11,1.94,1.73,2.29,0.58,0.64,0.15,2.7,2.26,2.87,ACC_CMAQ03_CONUS
3917130,0.19,0.21,0.19,0.03,0.59,0.41,1.89,0.32,0.37,0.1,1.68,1.52,2.08,0.53,0.56,0.13,2.27,1.93,2.61,ACC_CMAQ03_CONUS
3917136,0.12,0.15,0.12,0.02,0.33,0.24,1.7,0.38,0.35,0.09,1.65,1.45,1.82,0.53,0.47,0.11,1.98,1.69,2.35,ACC_CMAQ03_CONUS
3917138,0.12,0.15,0.12,0.02,0.33,0.24,1.7,0.38,0.35,0.09,1.65,1.45,1.82,0.53,0.47,0.11,1.98,1.69,2.35,ACC_CMAQ03_CONUS
3917154,0.24,0.26,0.24,0.03,0.75,0.53,2.05,0.32,0.4,0.11,1.94,1.73,2.29,0.58,0.64,0.15,2.7,2.26,2.87,ACC_CMAQ03_CONUS
3917156,0.24,0.26,0.24,0.03,0.75,0.53,2.05,0.32,0.4,0.11,1.94,1.73,2.29,0.58,0.64,0.15,2.7,2.26,2.87,ACC_CMAQ03_CONUS
3917158,0.2,0.25,0.21,0.03,0.63,0.46,1.19,0.38,0.23,0.05,0.84,0.76,1.39,0.64,0.44,0.08,1.47,1.22,2.02,ACC_CMAQ03_CONUS
3917160,0.2,0.25,0.21,0.03,0.64,0.47,1.23,0.38,0.24,0.05,0.89,0.8,1.43,0.63,0.45,0.08,1.53,1.27,2.06,ACC_CMAQ03_CONUS
3917162,0.19,0.21,0.2,0.03,0.61,0.43,1.91,0.32,0.37,0.1,1.7,1.53,2.1,0.53,0.57,0.13,2.3,1.96,2.63,ACC_CMAQ03_CONUS
3917164,0.24,0.26,0.24,0.03,0.75,0.53,2.05,0.32,0.4,0.11,1.94,1.73,2.29,0.58,0.64,0.15,2.7,2.26,2.87,ACC_CMAQ03_CONUS
3917172,0.24,0.26,0.24,0.03,0.75,0.53,2.05,0.32,0.4,0.11,1.94,1.73,2.29,0.58,0.64,0.15,2.7,2.26,2.87,ACC_CMAQ03_CONUS
3917176,0.21,0.23,0.21,0.03,0.65,0.46,1.94,0.32,0.38,0.1,1.75,1.58,2.15,0.54,0.59,0.13,2.4,2.03,2.7,ACC_CMAQ03_CONUS
3917178,0.2,0.22,0.21,0.03,0.64,0.45,1.93,0.32,0.38,0.1,1.74,1.57,2.14,0.54,0.58,0.13,2.38,2.01,2.68,ACC_CMAQ03_CONUS
3917194,0.2,0.22,0.21,0.03,0.65,0.46,1.88,0.28,0.36,0.09,1.49,1.39,2.08,0.5,0.57,0.12,2.14,1.85,2.59,ACC_CMAQ03_CONUS
3917198,0.21,0.23,0.21,0.03,0.66,0.47,1.88,0.32,0.37,0.1,1.67,1.51,2.09,0.56,0.58,0.13,2.34,1.97,2.65,ACC_CMAQ03_CONUS
3917200,0.21,0.23,0.21,0.03,0.66,0.47,1.82,0.33,0.35,0.09,1.6,1.44,2.03,0.56,0.57,0.12,2.26,1.91,2.59,ACC_CMAQ03_CONUS
3917230,0.21,0.31,0.22,0.03,0.51,0.4,0.93,0.44,0.18,0.03,0.45,0.41,1.14,0.75,0.4,0.05,0.97,0.8,1.89,ACC_CMAQ03_CONUS
3917244,0.25,0.29,0.25,0.03,0.69,0.5,1.53,0.35,0.31,0.06,1.01,0.94,1.78,0.64,0.56,0.1,1.7,1.45,2.42,ACC_CMAQ03_CONUS
