COMID,CAT_HDENS80,NODATA,ACC_HDENS80,ACC_NODATA,TOT_HDENS80,TOT_NODATA,source
3917070,0,0,0,0,0,0,HDENS80_CONUS
3917072,0,0,0,0,0,0,HDENS80_CONUS
3917082,0,0,0,0,0,0,HDENS80_CONUS
3917084,0,0,0,0,0,0,HDENS80_CONUS
3917106,0,0,0,0,0,0,HDENS80_CONUS
3917114,0,0,0,0,0,0,HDENS80_CONUS
3917130,0.05,0,0.01,0,0.01,0,HDENS80_CONUS
3917136,0,0,0,0,0,0,HDENS80_CONUS
3917138,0,0,0,0,0,0,HDENS80_CONUS
3917154,0.07,0,0.06,0,0.06,0,HDENS80_CONUS
3917156,0,0,0,0,0,0,HDENS80_CONUS
3917158,1,0,1,0,1,0,HDENS80_CONUS
3917160,1,0,1,0,1,0,HDENS80_CONUS
3917162,0,0,0.01,0,0.01,0,HDENS80_CONUS
3917164,1,0,1,0,1,0,HDENS80_CONUS
3917172,0.63,0,0.63,0,0.63,0,HDENS80_CONUS
3917176,0.38,0,0.07,0,0.07,0,HDENS80_CONUS
3917178,0.12,0,0.02,0,0.02,0,HDENS80_CONUS
3917194,0,0,0,0,0,0,HDENS80_CONUS
3917198,0.84,0,0.24,0,0.24,0,HDENS80_CONUS
3917200,0.76,0,0.29,0,0.29,0,HDENS80_CONUS
3917230,1,0,1,0,1,0,HDENS80_CONUS
3917244,0.67,0,0.99,0,2,0,HDENS80_CONUS
3917912,0.02,0,0.01,0,0.01,0,HDENS80_CONUS
3917914,0,0,0,0,0,0,HDENS80_CONUS
3917916,0,0,0,0,0,0,HDENS80_CONUS
3917918,0.7,0,0.19,0,0.19,0,HDENS80_CONUS
3917920,0.87,0,0.97,0,0.97,0,HDENS80_CONUS
3917922,0.97,0,0.97,0,0.97,0,HDENS80_CONUS
3917946,0.46,0,0.98,0,1.97,0,HDENS80_CONUS
3917948,0.76,0,0.3,0,0.3,0,HDENS80_CONUS
3917950,0.96,0,0.99,0,2.01,0,HDENS80_CONUS
948010089,0.92,0,0.97,0,0.97,0,HDENS80_CONUS
