COMID,ACC_WDJAN,ACC_WDFEB,ACC_WDMAR,ACC_WDAPR,ACC_WDMAY,ACC_WDJUN,ACC_WDJUL,ACC_WDAUG,ACC_WDSEP,ACC_WDOCT,ACC_WDNOV,ACC_WDDEC,ACC_NODATA,source
3917176,9.53,8.36,9.56,6.82,6.12,5,2,3,3.22,5.92,10.5,11.01,0,WD6190_ACC_CONUS
3917178,9.51,8.33,9.48,6.75,6.1,5,2,3,3.23,5.89,10.47,10.96,0,WD6190_ACC_CONUS
3917194,9.03,7.91,9.05,6.82,6.21,5,2,3,3.13,5.82,10.03,10.33,0,WD6190_ACC_CONUS
3917198,9.45,8.36,9.55,6.89,6.1,4.97,2,3,3.17,5.94,10.42,10.94,0,WD6190_ACC_CONUS
3917200,9.42,8.31,9.49,6.87,6.09,4.97,2,3,3.16,5.94,10.33,10.88,0,WD6190_ACC_CONUS
3917212,9.37,7.92,9.73,6.86,6,4.86,2,3,3,6,9.92,10.56,0,WD6190_ACC_CONUS
3917214,8.92,7.39,8.7,6.39,6,4.31,2,3,3,6,9.31,10.23,0,WD6190_ACC_CONUS
3917218,9.27,7.78,9.46,6.73,5.98,4.72,2,3,3,6,9.77,10.47,0,WD6190_ACC_CONUS
3917220,9.23,7.73,9.36,6.68,5.95,4.67,2,3,3,6,9.72,10.44,0,WD6190_ACC_CONUS
3917228,8.6,7,8,6,5.6,4,2,3,3,6,9,10,0,WD6190_ACC_CONUS
3917230,8,6,7,6,5,4,2,2,3,5.03,8,9,0,WD6190_ACC_CONUS
3917244,9.14,8.1,9.33,6.98,5.87,4.43,2,2.73,2.93,5.66,9.91,10.42,0,WD6190_ACC_CONUS
3917250,9.34,8.24,9.86,7,6.05,4.86,2,3,3.05,6.16,9.98,11.1,0,WD6190_ACC_CONUS
3917256,9.6,8.59,9.83,7.11,6.21,4.82,2,2.99,3.22,6.38,10.16,11.33,0,WD6190_ACC_CONUS
3917268,9.53,8.53,9.76,7.07,6.17,4.78,2,2.95,3.21,6.33,10.08,11.28,0,WD6190_ACC_CONUS
3917272,9.92,8.86,9.93,7.19,6.34,4.89,2,3,3.33,6.56,10.41,11.6,0,WD6190_ACC_CONUS
3917274,8.59,8,9,7,6,4,2,3,3,6,9,10,0,WD6190_ACC_CONUS
3917276,9.11,9,10.7,7.89,6,5,2,3,3,6.44,10.71,11.81,0,WD6190_ACC_CONUS
3917278,9.07,8.83,10.4,7.75,6,4.83,2,3,3,6.36,10.41,11.49,0,WD6190_ACC_CONUS
