COMID,CAT_TAV1965_ANN,ACC_TAV1965_ANN,TOT_TAV1965_ANN,source
3917070,7.64,7.64,7.64,TAV1965_ANN_CONUS
3917072,7.79,7.79,7.79,TAV1965_ANN_CONUS
3917082,7.32,7.32,7.32,TAV1965_ANN_CONUS
3917084,7.1,7.1,7.1,TAV1965_ANN_CONUS
3917106,7.45,7.25,7.25,TAV1965_ANN_CONUS
3917114,7.51,7.51,7.51,TAV1965_ANN_CONUS
3917130,7.63,7.58,7.58,TAV1965_ANN_CONUS
3917136,7.58,7.58,7.58,TAV1965_ANN_CONUS
3917138,7.71,7.71,7.71,TAV1965_ANN_CONUS
3917154,7.66,7.66,7.66,TAV1965_ANN_CONUS
3917156,8,8,8,TAV1965_ANN_CONUS
3917158,9.27,9.27,9.27,TAV1965_ANN_CONUS
3917160,9.04,9.04,9.04,TAV1965_ANN_CONUS
3917162,7.93,7.61,7.61,TAV1965_ANN_CONUS
3917164,8.57,8.57,8.57,TAV1965_ANN_CONUS
3917172,8.2,8.2,8.2,TAV1965_ANN_CONUS
3917176,8.4,7.74,7.74,TAV1965_ANN_CONUS
3917178,8.16,7.68,7.68,TAV1965_ANN_CONUS
3917194,7.74,7.74,7.74,TAV1965_ANN_CONUS
3917198,9.58,7.98,7.98,TAV1965_ANN_CONUS
3917200,10.03,8.09,8.09,TAV1965_ANN_CONUS
3917212,8.56,8.56,8.56,TAV1965_ANN_CONUS
3917214,9.47,9.47,9.47,TAV1965_ANN_CONUS
3917218,9.63,8.75,8.75,TAV1965_ANN_CONUS
3917220,9.73,8.82,8.82,TAV1965_ANN_CONUS
3917228,9.73,9.73,9.73,TAV1965_ANN_CONUS
3917230,10.6,10.6,10.6,TAV1965_ANN_CONUS
3917244,10.53,8.13,8.11,TAV1965_ANN_CONUS
3917250,8.39,8.39,8.39,TAV1965_ANN_CONUS
3917256,9.73,8.23,8.23,TAV1965_ANN_CONUS
3917268,9.73,8.29,8.29,TAV1965_ANN_CONUS
3917272,8.59,7.96,7.96,TAV1965_ANN_CONUS
3917274,9.69,9.69,9.69,TAV1965_ANN_CONUS
3917276,8.3,7.68,7.68,TAV1965_ANN_CONUS
3917278,8.86,7.9,7.9,TAV1965_ANN_CONUS
3917280,9.7,8.34,8.34,TAV1965_ANN_CONUS
3917282,9.08,8.08,8.08,TAV1965_ANN_CONUS
3917284,9.58,8.22,8.22,TAV1965_ANN_CONUS
3917286,9.58,9.58,9.58,TAV1965_ANN_CONUS
3917912,8.03,7.64,7.64,TAV1965_ANN_CONUS
3917914,7.96,7.9,7.9,TAV1965_ANN_CONUS
3917916,7.74,7.79,7.79,TAV1965_ANN_CONUS
3917918,8.87,7.9,7.9,TAV1965_ANN_CONUS
3917920,9.3,9.16,9.16,TAV1965_ANN_CONUS
3917922,9.7,9.7,9.7,TAV1965_ANN_CONUS
3917946,10.79,8.19,8.15,TAV1965_ANN_CONUS
3917948,10.1,8.13,8.13,TAV1965_ANN_CONUS
3917950,10.31,8.08,8.08,TAV1965_ANN_CONUS
3917956,7.66,7.66,7.66,TAV1965_ANN_CONUS
3917958,7.47,7.47,7.47,TAV1965_ANN_CONUS
3917960,7.42,7.42,7.42,TAV1965_ANN_CONUS
948010089,9.79,9.71,9.71,TAV1965_ANN_CONUS
