COMID,CAT_PPT1992_ANN,ACC_PPT1992_ANN,TOT_PPT1992_ANN,source
3917070,614.4,614.4,614.4,PPT1992_ANN_CONUS
3917072,599.04,599.04,599.04,PPT1992_ANN_CONUS
3917082,580.56,580.56,580.56,PPT1992_ANN_CONUS
3917084,587.4,587.4,587.4,PPT1992_ANN_CONUS
3917106,555,574.68,574.68,PPT1992_ANN_CONUS
3917114,553.8,553.8,553.8,PPT1992_ANN_CONUS
3917130,525.6,579,579,PPT1992_ANN_CONUS
3917136,518.76,518.76,518.76,PPT1992_ANN_CONUS
3917138,467.4,467.4,467.4,PPT1992_ANN_CONUS
3917154,581.64,587.76,587.76,PPT1992_ANN_CONUS
3917156,544.92,544.92,544.92,PPT1992_ANN_CONUS
3917158,361.92,361.92,361.92,PPT1992_ANN_CONUS
3917160,384.72,384.72,384.72,PPT1992_ANN_CONUS
3917162,531,574.44,574.44,PPT1992_ANN_CONUS
3917164,461.28,461.28,461.28,PPT1992_ANN_CONUS
3917172,523.68,523.68,523.68,PPT1992_ANN_CONUS
3917176,602.52,571.32,571.32,PPT1992_ANN_CONUS
3917178,588.84,573.48,573.48,PPT1992_ANN_CONUS
3917194,695.76,695.76,695.76,PPT1992_ANN_CONUS
3917198,355.08,542.28,542.28,PPT1992_ANN_CONUS
3917200,335.88,529.56,529.56,PPT1992_ANN_CONUS
3917212,569.76,569.76,569.76,PPT1992_ANN_CONUS
3917214,386.4,386.4,386.4,PPT1992_ANN_CONUS
3917218,363.6,531.96,531.96,PPT1992_ANN_CONUS
3917220,364.08,520.44,520.44,PPT1992_ANN_CONUS
3917228,364.08,364.08,364.08,PPT1992_ANN_CONUS
3917230,283.08,283.08,283.08,PPT1992_ANN_CONUS
3917244,294.72,637.92,697.92,PPT1992_ANN_CONUS
3917250,622.8,622.8,622.8,PPT1992_ANN_CONUS
3917256,364.08,728.52,728.52,PPT1992_ANN_CONUS
3917268,364.08,713.64,713.64,PPT1992_ANN_CONUS
3917272,531.36,824.52,824.52,PPT1992_ANN_CONUS
3917274,368.52,368.52,368.52,PPT1992_ANN_CONUS
3917276,592.68,840.12,840.12,PPT1992_ANN_CONUS
3917278,471,770.52,770.52,PPT1992_ANN_CONUS
3917280,367.44,666,666,PPT1992_ANN_CONUS
3917282,461.52,723.36,723.36,PPT1992_ANN_CONUS
3917284,384.84,692.16,692.16,PPT1992_ANN_CONUS
3917286,383.88,383.88,383.88,PPT1992_ANN_CONUS
3917912,534.72,573.48,573.48,PPT1992_ANN_CONUS
3917914,463.8,471.84,471.84,PPT1992_ANN_CONUS
3917916,544.32,594,594,PPT1992_ANN_CONUS
3917918,461.16,554.28,554.28,PPT1992_ANN_CONUS
3917920,360.72,373.8,373.8,PPT1992_ANN_CONUS
3917922,347.52,347.52,347.52,PPT1992_ANN_CONUS
3917946,295.44,630.24,691.32,PPT1992_ANN_CONUS
3917948,329.52,525.84,525.84,PPT1992_ANN_CONUS
3917950,314.16,644.04,703.08,PPT1992_ANN_CONUS
3917956,966.72,966.72,966.72,PPT1992_ANN_CONUS
3917958,962.04,962.04,962.04,PPT1992_ANN_CONUS
3917960,916.56,916.56,916.56,PPT1992_ANN_CONUS
948010089,344.16,347.16,347.16,PPT1992_ANN_CONUS
