COMID,CAT_TAV1996_ANN,ACC_TAV1996_ANN,TOT_TAV1996_ANN,source
3917070,8.45,8.45,8.45,TAV1996_ANN_CONUS
3917072,8.61,8.61,8.61,TAV1996_ANN_CONUS
3917082,8.11,8.11,8.11,TAV1996_ANN_CONUS
3917084,7.91,7.91,7.91,TAV1996_ANN_CONUS
3917106,8.24,8.05,8.05,TAV1996_ANN_CONUS
3917114,8.37,8.37,8.37,TAV1996_ANN_CONUS
3917130,8.45,8.39,8.39,TAV1996_ANN_CONUS
3917136,8.36,8.36,8.36,TAV1996_ANN_CONUS
3917138,8.5,8.5,8.5,TAV1996_ANN_CONUS
3917154,8.5,8.49,8.49,TAV1996_ANN_CONUS
3917156,8.87,8.87,8.87,TAV1996_ANN_CONUS
3917158,10.29,10.29,10.29,TAV1996_ANN_CONUS
3917160,10.06,10.06,10.06,TAV1996_ANN_CONUS
3917162,8.78,8.42,8.42,TAV1996_ANN_CONUS
3917164,9.52,9.52,9.52,TAV1996_ANN_CONUS
3917172,9.1,9.1,9.1,TAV1996_ANN_CONUS
3917176,9.33,8.57,8.57,TAV1996_ANN_CONUS
3917178,9.07,8.5,8.5,TAV1996_ANN_CONUS
3917194,8.53,8.53,8.53,TAV1996_ANN_CONUS
3917198,10.58,8.84,8.84,TAV1996_ANN_CONUS
3917200,11,8.96,8.96,TAV1996_ANN_CONUS
3917212,9.51,9.51,9.51,TAV1996_ANN_CONUS
3917214,10.45,10.45,10.45,TAV1996_ANN_CONUS
3917218,10.62,9.71,9.71,TAV1996_ANN_CONUS
3917220,10.71,9.78,9.78,TAV1996_ANN_CONUS
3917228,10.71,10.71,10.71,TAV1996_ANN_CONUS
3917230,11.52,11.52,11.52,TAV1996_ANN_CONUS
3917244,11.46,9.04,9.02,TAV1996_ANN_CONUS
3917250,9.34,9.34,9.34,TAV1996_ANN_CONUS
3917256,10.71,9.13,9.13,TAV1996_ANN_CONUS
3917268,10.71,9.2,9.2,TAV1996_ANN_CONUS
3917272,9.56,8.84,8.84,TAV1996_ANN_CONUS
3917274,10.67,10.67,10.67,TAV1996_ANN_CONUS
3917276,9.27,8.58,8.58,TAV1996_ANN_CONUS
3917278,9.84,8.82,8.82,TAV1996_ANN_CONUS
3917280,10.68,9.27,9.27,TAV1996_ANN_CONUS
3917282,10.05,9.01,9.01,TAV1996_ANN_CONUS
3917284,10.55,9.15,9.15,TAV1996_ANN_CONUS
3917286,10.55,10.55,10.55,TAV1996_ANN_CONUS
3917912,8.92,8.45,8.45,TAV1996_ANN_CONUS
3917914,8.79,8.73,8.73,TAV1996_ANN_CONUS
3917916,8.54,8.59,8.59,TAV1996_ANN_CONUS
3917918,9.85,8.75,8.75,TAV1996_ANN_CONUS
3917920,10.31,10.17,10.17,TAV1996_ANN_CONUS
3917922,10.7,10.7,10.7,TAV1996_ANN_CONUS
3917946,11.67,9.1,9.06,TAV1996_ANN_CONUS
3917948,11.07,9,9,TAV1996_ANN_CONUS
3917950,11.26,9,8.99,TAV1996_ANN_CONUS
3917956,8.49,8.49,8.49,TAV1996_ANN_CONUS
3917958,8.34,8.34,8.34,TAV1996_ANN_CONUS
3917960,8.31,8.31,8.31,TAV1996_ANN_CONUS
948010089,10.78,10.71,10.71,TAV1996_ANN_CONUS
