COMID,CAT_AET2015_ANN,ACC_AET2015_ANN,TOT_AET2015_ANN,source
3917070,31.11,31.11,31.11,AET2015_ANN_CONUS
3917072,31.06,31.06,31.06,AET2015_ANN_CONUS
3917082,30.06,30.06,30.06,AET2015_ANN_CONUS
3917084,28.59,28.59,28.59,AET2015_ANN_CONUS
3917106,30.19,29.29,29.29,AET2015_ANN_CONUS
3917114,30.35,30.35,30.35,AET2015_ANN_CONUS
3917130,30.56,30,30,AET2015_ANN_CONUS
3917136,29.54,29.54,29.54,AET2015_ANN_CONUS
3917138,28.5,28.5,28.5,AET2015_ANN_CONUS
3917154,30.73,30.8,30.8,AET2015_ANN_CONUS
3917156,32.6,32.6,32.6,AET2015_ANN_CONUS
3917158,31.96,31.96,31.96,AET2015_ANN_CONUS
3917160,32.07,32.07,32.07,AET2015_ANN_CONUS
3917162,32.45,30.21,30.21,AET2015_ANN_CONUS
3917164,33.29,33.29,33.29,AET2015_ANN_CONUS
3917172,32.37,32.37,32.37,AET2015_ANN_CONUS
3917176,34.25,30.93,30.93,AET2015_ANN_CONUS
3917178,33.89,30.68,30.68,AET2015_ANN_CONUS
3917194,31.29,31.29,31.29,AET2015_ANN_CONUS
3917198,30.9,31.3,31.3,AET2015_ANN_CONUS
3917200,29.11,31.22,31.22,AET2015_ANN_CONUS
3917212,32.1,32.1,32.1,AET2015_ANN_CONUS
3917214,30.71,30.71,30.71,AET2015_ANN_CONUS
3917218,31.32,31.89,31.89,AET2015_ANN_CONUS
3917220,31.17,31.84,31.84,AET2015_ANN_CONUS
3917228,31.17,31.17,31.17,AET2015_ANN_CONUS
3917230,26.88,26.88,26.88,AET2015_ANN_CONUS
3917244,27,30.24,30.74,AET2015_ANN_CONUS
3917250,31.8,31.8,31.8,AET2015_ANN_CONUS
3917256,31.17,32.89,32.89,AET2015_ANN_CONUS
3917268,31.17,32.82,32.82,AET2015_ANN_CONUS
3917272,30.58,33.63,33.63,AET2015_ANN_CONUS
3917274,31.2,31.2,31.2,AET2015_ANN_CONUS
3917276,31.29,30.84,30.84,AET2015_ANN_CONUS
3917278,30.52,30.78,30.78,AET2015_ANN_CONUS
3917280,31.19,30.92,30.92,AET2015_ANN_CONUS
3917282,31.27,30.85,30.85,AET2015_ANN_CONUS
3917284,31.32,30.9,30.9,AET2015_ANN_CONUS
3917286,31.31,31.31,31.31,AET2015_ANN_CONUS
3917912,33.02,30.42,30.42,AET2015_ANN_CONUS
3917914,28.74,28.85,28.85,AET2015_ANN_CONUS
3917916,30.38,30.34,30.34,AET2015_ANN_CONUS
3917918,32.87,31.26,31.26,AET2015_ANN_CONUS
3917920,31.82,31.98,31.98,AET2015_ANN_CONUS
3917922,30.03,30.03,30.03,AET2015_ANN_CONUS
3917946,27.06,30.17,30.68,AET2015_ANN_CONUS
3917948,28.65,31.17,31.17,AET2015_ANN_CONUS
3917950,27.8,30.3,30.79,AET2015_ANN_CONUS
3917956,35.11,35.11,35.11,AET2015_ANN_CONUS
3917958,31.98,31.98,31.98,AET2015_ANN_CONUS
3917960,29.88,29.88,29.88,AET2015_ANN_CONUS
948010089,29.76,30,30,AET2015_ANN_CONUS
