COMID,CAT_RUN1968_ANN,ACC_RUN1968_ANN,TOT_RUN1968_ANN,source
3917070,269.28,269.28,269.28,RUN1968_ANN_CONUS
3917072,254.04,254.04,254.04,RUN1968_ANN_CONUS
3917082,231.84,231.84,231.84,RUN1968_ANN_CONUS
3917084,281.76,281.76,281.76,RUN1968_ANN_CONUS
3917106,208.32,250.92,250.92,RUN1968_ANN_CONUS
3917114,218.52,218.52,218.52,RUN1968_ANN_CONUS
3917130,184.32,218.4,218.4,RUN1968_ANN_CONUS
3917136,188.4,188.4,188.4,RUN1968_ANN_CONUS
3917138,170.4,170.4,170.4,RUN1968_ANN_CONUS
3917154,241.44,246.6,246.6,RUN1968_ANN_CONUS
3917156,166.32,166.32,166.32,RUN1968_ANN_CONUS
3917158,11.76,11.76,11.76,RUN1968_ANN_CONUS
3917160,26.4,26.4,26.4,RUN1968_ANN_CONUS
3917162,142.68,212.04,212.04,RUN1968_ANN_CONUS
3917164,74.28,74.28,74.28,RUN1968_ANN_CONUS
3917172,152.64,152.64,152.64,RUN1968_ANN_CONUS
3917176,135.6,200.16,200.16,RUN1968_ANN_CONUS
3917178,146.16,206.52,206.52,RUN1968_ANN_CONUS
3917194,245.88,245.88,245.88,RUN1968_ANN_CONUS
3917198,11.52,168.96,168.96,RUN1968_ANN_CONUS
3917200,10.92,158.76,158.76,RUN1968_ANN_CONUS
3917212,142.92,142.92,142.92,RUN1968_ANN_CONUS
3917214,36.24,36.24,36.24,RUN1968_ANN_CONUS
3917218,11.88,119.88,119.88,RUN1968_ANN_CONUS
3917220,12,112.44,112.44,RUN1968_ANN_CONUS
3917228,12,12,12,RUN1968_ANN_CONUS
3917230,9.96,9.96,9.96,RUN1968_ANN_CONUS
3917244,10.08,193.08,223.44,RUN1968_ANN_CONUS
3917250,182.28,182.28,182.28,RUN1968_ANN_CONUS
3917256,12,231.48,231.48,RUN1968_ANN_CONUS
3917268,12,222.48,222.48,RUN1968_ANN_CONUS
3917272,140.64,282.24,282.24,RUN1968_ANN_CONUS
3917274,12,12,12,RUN1968_ANN_CONUS
3917276,147.36,324.96,324.96,RUN1968_ANN_CONUS
3917278,90.48,280.8,280.8,RUN1968_ANN_CONUS
3917280,12,208.44,208.44,RUN1968_ANN_CONUS
3917282,62.28,247.56,247.56,RUN1968_ANN_CONUS
3917284,12.24,225.96,225.96,RUN1968_ANN_CONUS
3917286,12.24,12.24,12.24,RUN1968_ANN_CONUS
3917912,144.12,211.44,211.44,RUN1968_ANN_CONUS
3917914,148.08,154.08,154.08,RUN1968_ANN_CONUS
3917916,186.6,204.72,204.72,RUN1968_ANN_CONUS
3917918,62.04,179.64,179.64,RUN1968_ANN_CONUS
3917920,11.76,19.68,19.68,RUN1968_ANN_CONUS
3917922,12.6,12.6,12.6,RUN1968_ANN_CONUS
3917946,11.16,189,219.96,RUN1968_ANN_CONUS
3917948,10.68,156,156,RUN1968_ANN_CONUS
3917950,10.08,196.32,226.2,RUN1968_ANN_CONUS
3917956,350.88,350.88,350.88,RUN1968_ANN_CONUS
3917958,393.84,393.84,393.84,RUN1968_ANN_CONUS
3917960,391.2,391.2,391.2,RUN1968_ANN_CONUS
948010089,11.16,12.48,12.48,RUN1968_ANN_CONUS
