COMID,CAT_RUN2006_ANN,ACC_RUN2006_ANN,TOT_RUN2006_ANN,source
3917070,545.4,545.4,545.4,RUN2006_ANN_CONUS
3917072,540.36,540.36,540.36,RUN2006_ANN_CONUS
3917082,451.08,451.08,451.08,RUN2006_ANN_CONUS
3917084,514.8,514.8,514.8,RUN2006_ANN_CONUS
3917106,442.68,483.72,483.72,RUN2006_ANN_CONUS
3917114,495.72,495.72,495.72,RUN2006_ANN_CONUS
3917130,479.64,451.08,451.08,RUN2006_ANN_CONUS
3917136,408.6,408.6,408.6,RUN2006_ANN_CONUS
3917138,396.96,396.96,396.96,RUN2006_ANN_CONUS
3917154,523.44,527.64,527.64,RUN2006_ANN_CONUS
3917156,465.48,465.48,465.48,RUN2006_ANN_CONUS
3917158,299.4,299.4,299.4,RUN2006_ANN_CONUS
3917160,326.16,326.16,326.16,RUN2006_ANN_CONUS
3917162,445.44,451.68,451.68,RUN2006_ANN_CONUS
3917164,350.28,350.28,350.28,RUN2006_ANN_CONUS
3917172,434.4,434.4,434.4,RUN2006_ANN_CONUS
3917176,387.96,452.28,452.28,RUN2006_ANN_CONUS
3917178,418.08,456.36,456.36,RUN2006_ANN_CONUS
3917194,447,447,447,RUN2006_ANN_CONUS
3917198,269.4,427.2,427.2,RUN2006_ANN_CONUS
3917200,227.64,414.84,414.84,RUN2006_ANN_CONUS
3917212,378.48,378.48,378.48,RUN2006_ANN_CONUS
3917214,309,309,309,RUN2006_ANN_CONUS
3917218,291.72,363.36,363.36,RUN2006_ANN_CONUS
3917220,289.92,358.32,358.32,RUN2006_ANN_CONUS
3917228,289.92,289.92,289.92,RUN2006_ANN_CONUS
3917230,184.68,184.68,184.68,RUN2006_ANN_CONUS
3917244,188.4,511.8,591.84,RUN2006_ANN_CONUS
3917250,399,399,399,RUN2006_ANN_CONUS
3917256,289.92,419.76,419.76,RUN2006_ANN_CONUS
3917268,289.92,414.48,414.48,RUN2006_ANN_CONUS
3917272,379.2,445.8,445.8,RUN2006_ANN_CONUS
3917274,300.96,300.96,300.96,RUN2006_ANN_CONUS
3917276,393,459.36,459.36,RUN2006_ANN_CONUS
3917278,352.44,439.2,439.2,RUN2006_ANN_CONUS
3917280,298.2,409.32,409.32,RUN2006_ANN_CONUS
3917282,355.32,426.12,426.12,RUN2006_ANN_CONUS
3917284,340.44,418.2,418.2,RUN2006_ANN_CONUS
3917286,338.28,338.28,338.28,RUN2006_ANN_CONUS
3917912,449.88,458.52,458.52,RUN2006_ANN_CONUS
3917914,376.2,381.12,381.12,RUN2006_ANN_CONUS
3917916,430.44,423.24,423.24,RUN2006_ANN_CONUS
3917918,337.8,435.36,435.36,RUN2006_ANN_CONUS
3917920,294.72,312.6,312.6,RUN2006_ANN_CONUS
3917922,238.92,238.92,238.92,RUN2006_ANN_CONUS
3917946,215.4,505.08,585.6,RUN2006_ANN_CONUS
3917948,214.56,411.12,411.12,RUN2006_ANN_CONUS
3917950,197.52,517.56,597,RUN2006_ANN_CONUS
3917956,478.08,478.08,478.08,RUN2006_ANN_CONUS
3917958,484.92,484.92,484.92,RUN2006_ANN_CONUS
3917960,484.32,484.32,484.32,RUN2006_ANN_CONUS
948010089,228,237.96,237.96,RUN2006_ANN_CONUS
