COMID,ACC_SOLLER_11,ACC_SOLLER_12,ACC_SOLLER_101,ACC_SOLLER_211,ACC_SOLLER_221,ACC_SOLLER_311,ACC_SOLLER_312,ACC_SOLLER_321,ACC_SOLLER_322,ACC_SOLLER_331,ACC_SOLLER_410,ACC_SOLLER_411,ACC_SOLLER_412,ACC_SOLLER_420,ACC_SOLLER_421,ACC_SOLLER_422,ACC_SOLLER_430,ACC_SOLLER_431,ACC_SOLLER_450,ACC_SOLLER_451,ACC_SOLLER_452,ACC_SOLLER_511,ACC_SOLLER_521,ACC_SOLLER_610,ACC_SOLLER_611,ACC_SOLLER_620,ACC_SOLLER_630,ACC_SOLLER_640,ACC_SOLLER_701,ACC_SOLLER_702,ACC_SOLLER_810,ACC_SOLLER_811,ACC_SOLLER_812,ACC_SOLLER_820,ACC_SOLLER_821,ACC_SOLLER_822,ACC_SOLLER_910,ACC_SOLLER_920,ACC_SOLLER_921,ACC_SOLLER_930,ACC_SOLLER_940,ACC_SOLLER_941,ACC_SOLLER_950,ACC_SOLLER_960,ACC_SOLLER_961,ACC_SOLLER_970,ACC_SOLLER_971,ACC_SOLLER_980,ACC_SOLLER_985,ACC_SOLLER_999,ACC_SOLLER_NODATA,source
3917200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.93,0,0,0,0,0,0,0,0,0,0,69.07,0,0,0,SOLLER_ACC_CONUS
3917212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.59,0,0,0,0,0,0,0,0,0,0,82.41,0,0,0,SOLLER_ACC_CONUS
3917214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.25,0,0,0,0,0,0,0,0,0,0,13.75,0,0,0,SOLLER_ACC_CONUS
3917218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.02,0,0,0,0,0,0,0,0,0,0,71.98,0,0,0,SOLLER_ACC_CONUS
3917220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.45,0,0,0,0,0,0,0,0,0,0,68.55,0,0,0,SOLLER_ACC_CONUS
3917228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.77,0,0,0,0,0,0,0,0,0,0,22.23,0,0,0,SOLLER_ACC_CONUS
3917230,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_ACC_CONUS
3917244,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.52,0,0,0,0,0,0,0,0,0,0,62.56,0,0,0,SOLLER_ACC_CONUS
3917250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1,0,0,0,0,0,0,0,0,0,0,56.9,0,0,0,SOLLER_ACC_CONUS
3917256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,0,0,0,0,0,0,0,68.33,0,0,0,SOLLER_ACC_CONUS
3917268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.47,0,0,0,0,0,0,0,0,0,0,65.54,0,0,0,SOLLER_ACC_CONUS
3917272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,82.23,0,0,0,SOLLER_ACC_CONUS
3917274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_ACC_CONUS
3917276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.29,0,0,0,0,0,0,0,0,0,0,64.71,0,0,0,SOLLER_ACC_CONUS
3917278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.34,0,0,0,0,0,0,0,0,0,0,53.66,0,0,0,SOLLER_ACC_CONUS
3917280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.94,0,0,0,0,0,0,0,0,0,0,38.06,0,0,0,SOLLER_ACC_CONUS
3917282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.35,0,0,0,0,0,0,0,0,0,0,45.65,0,0,0,SOLLER_ACC_CONUS
3917284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.55,0,0,0,0,0,0,0,0,0,0,41.45,0,0,0,SOLLER_ACC_CONUS
3917286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_ACC_CONUS
3917912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,97.17,0,0,0,SOLLER_ACC_CONUS
3917914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,SOLLER_ACC_CONUS
3917916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,SOLLER_ACC_CONUS
3917918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.88,0,0,0,0,0,0,0,0,0,0,79.12,0,0,0,SOLLER_ACC_CONUS
3917920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_ACC_CONUS
3917922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_ACC_CONUS
3917946,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,0,0,0,0,0,0,0,0,0,0,61.17,0,0,0,SOLLER_ACC_CONUS
3917948,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.27,0,0,0,0,0,0,0,0,0,0,67.77,0,0,0,SOLLER_ACC_CONUS
3917950,8.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.63,0,0,0,0,0,0,0,0,0,0,63.68,0,0,0,SOLLER_ACC_CONUS
3917956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,SOLLER_ACC_CONUS
3917958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.83,0,0,0,0,0,0,0,0,0,0,80.17,0,0,0,SOLLER_ACC_CONUS
3917960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.11,0,0,0,0,0,0,0,0,0,0,75.89,0,0,0,SOLLER_ACC_CONUS
948010089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_ACC_CONUS
