COMID,CAT_TAV2008_ANN,ACC_TAV2008_ANN,TOT_TAV2008_ANN,source
3917070,7.16,7.16,7.16,TAV2008_ANN_CONUS
3917072,7.3,7.3,7.3,TAV2008_ANN_CONUS
3917082,6.19,6.19,6.19,TAV2008_ANN_CONUS
3917084,6.71,6.71,6.71,TAV2008_ANN_CONUS
3917106,6.65,6.66,6.66,TAV2008_ANN_CONUS
3917114,7.88,7.88,7.88,TAV2008_ANN_CONUS
3917130,7.91,7.46,7.46,TAV2008_ANN_CONUS
3917136,7.17,7.17,7.17,TAV2008_ANN_CONUS
3917138,8.21,8.21,8.21,TAV2008_ANN_CONUS
3917154,7.51,7.45,7.45,TAV2008_ANN_CONUS
3917156,8.27,8.27,8.27,TAV2008_ANN_CONUS
3917158,10.36,10.36,10.36,TAV2008_ANN_CONUS
3917160,10.1,10.1,10.1,TAV2008_ANN_CONUS
3917162,8.33,7.54,7.54,TAV2008_ANN_CONUS
3917164,9.64,9.64,9.64,TAV2008_ANN_CONUS
3917172,8.59,8.59,8.59,TAV2008_ANN_CONUS
3917176,8.94,7.78,7.78,TAV2008_ANN_CONUS
3917178,8.61,7.66,7.66,TAV2008_ANN_CONUS
3917194,7.68,7.68,7.68,TAV2008_ANN_CONUS
3917198,10.48,8.22,8.22,TAV2008_ANN_CONUS
3917200,10.69,8.37,8.37,TAV2008_ANN_CONUS
3917212,9.37,9.37,9.37,TAV2008_ANN_CONUS
3917214,10.34,10.34,10.34,TAV2008_ANN_CONUS
3917218,10.42,9.57,9.57,TAV2008_ANN_CONUS
3917220,10.44,9.63,9.63,TAV2008_ANN_CONUS
3917228,10.44,10.44,10.44,TAV2008_ANN_CONUS
3917230,10.88,10.88,10.88,TAV2008_ANN_CONUS
3917244,10.88,9.05,8.99,TAV2008_ANN_CONUS
3917250,9.17,9.17,9.17,TAV2008_ANN_CONUS
3917256,10.44,8.51,8.51,TAV2008_ANN_CONUS
3917268,10.44,8.59,8.59,TAV2008_ANN_CONUS
3917272,9.64,7.95,7.95,TAV2008_ANN_CONUS
3917274,10.44,10.44,10.44,TAV2008_ANN_CONUS
3917276,9.43,8.03,8.03,TAV2008_ANN_CONUS
3917278,9.98,8.4,8.4,TAV2008_ANN_CONUS
3917280,10.44,8.95,8.95,TAV2008_ANN_CONUS
3917282,10.08,8.65,8.65,TAV2008_ANN_CONUS
3917284,10.46,8.82,8.82,TAV2008_ANN_CONUS
3917286,10.46,10.46,10.46,TAV2008_ANN_CONUS
3917912,8.48,7.59,7.59,TAV2008_ANN_CONUS
3917914,8.31,8.15,8.15,TAV2008_ANN_CONUS
3917916,7.96,7.89,7.89,TAV2008_ANN_CONUS
3917918,9.77,8.08,8.08,TAV2008_ANN_CONUS
3917920,10.37,10.23,10.23,TAV2008_ANN_CONUS
3917922,10.58,10.58,10.58,TAV2008_ANN_CONUS
3917946,10.9,9.1,9.02,TAV2008_ANN_CONUS
3917948,10.74,8.42,8.42,TAV2008_ANN_CONUS
3917950,10.83,9.02,8.96,TAV2008_ANN_CONUS
3917956,7.13,7.13,7.13,TAV2008_ANN_CONUS
3917958,7.35,7.35,7.35,TAV2008_ANN_CONUS
3917960,7.58,7.58,7.58,TAV2008_ANN_CONUS
948010089,10.63,10.58,10.58,TAV2008_ANN_CONUS
