COMID,CAT_TAV1992_ANN,ACC_TAV1992_ANN,TOT_TAV1992_ANN,source
3917070,9.23,9.23,9.23,TAV1992_ANN_CONUS
3917072,9.38,9.38,9.38,TAV1992_ANN_CONUS
3917082,8.9,8.9,8.9,TAV1992_ANN_CONUS
3917084,8.74,8.74,8.74,TAV1992_ANN_CONUS
3917106,9.02,8.86,8.86,TAV1992_ANN_CONUS
3917114,9.17,9.17,9.17,TAV1992_ANN_CONUS
3917130,9.22,9.15,9.15,TAV1992_ANN_CONUS
3917136,9.14,9.14,9.14,TAV1992_ANN_CONUS
3917138,9.27,9.27,9.27,TAV1992_ANN_CONUS
3917154,9.28,9.27,9.27,TAV1992_ANN_CONUS
3917156,9.62,9.62,9.62,TAV1992_ANN_CONUS
3917158,10.83,10.83,10.83,TAV1992_ANN_CONUS
3917160,10.64,10.64,10.64,TAV1992_ANN_CONUS
3917162,9.52,9.18,9.18,TAV1992_ANN_CONUS
3917164,10.18,10.18,10.18,TAV1992_ANN_CONUS
3917172,9.81,9.81,9.81,TAV1992_ANN_CONUS
3917176,10.02,9.33,9.33,TAV1992_ANN_CONUS
3917178,9.79,9.26,9.26,TAV1992_ANN_CONUS
3917194,9.27,9.27,9.27,TAV1992_ANN_CONUS
3917198,11.1,9.57,9.57,TAV1992_ANN_CONUS
3917200,11.48,9.68,9.68,TAV1992_ANN_CONUS
3917212,10.15,10.15,10.15,TAV1992_ANN_CONUS
3917214,10.99,10.99,10.99,TAV1992_ANN_CONUS
3917218,11.15,10.33,10.33,TAV1992_ANN_CONUS
3917220,11.23,10.39,10.39,TAV1992_ANN_CONUS
3917228,11.23,11.23,11.23,TAV1992_ANN_CONUS
3917230,11.93,11.93,11.93,TAV1992_ANN_CONUS
3917244,11.87,9.61,9.54,TAV1992_ANN_CONUS
3917250,9.99,9.99,9.99,TAV1992_ANN_CONUS
3917256,11.23,9.81,9.81,TAV1992_ANN_CONUS
3917268,11.23,9.86,9.86,TAV1992_ANN_CONUS
3917272,10.18,9.54,9.54,TAV1992_ANN_CONUS
3917274,11.18,11.18,11.18,TAV1992_ANN_CONUS
3917276,9.91,9.28,9.28,TAV1992_ANN_CONUS
3917278,10.43,9.5,9.5,TAV1992_ANN_CONUS
3917280,11.19,9.91,9.91,TAV1992_ANN_CONUS
3917282,10.6,9.67,9.67,TAV1992_ANN_CONUS
3917284,11.03,9.8,9.8,TAV1992_ANN_CONUS
3917286,11.03,11.03,11.03,TAV1992_ANN_CONUS
3917912,9.67,9.22,9.22,TAV1992_ANN_CONUS
3917914,9.52,9.46,9.46,TAV1992_ANN_CONUS
3917916,9.3,9.33,9.33,TAV1992_ANN_CONUS
3917918,10.47,9.49,9.49,TAV1992_ANN_CONUS
3917920,10.86,10.73,10.73,TAV1992_ANN_CONUS
3917922,11.2,11.2,11.2,TAV1992_ANN_CONUS
3917946,12.03,9.66,9.58,TAV1992_ANN_CONUS
3917948,11.54,9.71,9.71,TAV1992_ANN_CONUS
3917950,11.71,9.57,9.51,TAV1992_ANN_CONUS
3917956,9.23,9.23,9.23,TAV1992_ANN_CONUS
3917958,9.08,9.08,9.08,TAV1992_ANN_CONUS
3917960,9.03,9.03,9.03,TAV1992_ANN_CONUS
948010089,11.28,11.21,11.21,TAV1992_ANN_CONUS
