COMID,CAT_PPT1969_ANN,ACC_PPT1969_ANN,TOT_PPT1969_ANN,source
3917070,778.2,778.2,778.2,PPT1969_ANN_CONUS
3917072,762.36,762.36,762.36,PPT1969_ANN_CONUS
3917082,823.44,823.44,823.44,PPT1969_ANN_CONUS
3917084,819.24,819.24,819.24,PPT1969_ANN_CONUS
3917106,801.96,812.88,812.88,PPT1969_ANN_CONUS
3917114,750.96,750.96,750.96,PPT1969_ANN_CONUS
3917130,773.76,809.76,809.76,PPT1969_ANN_CONUS
3917136,764.16,764.16,764.16,PPT1969_ANN_CONUS
3917138,712.2,712.2,712.2,PPT1969_ANN_CONUS
3917154,759,762.48,762.48,PPT1969_ANN_CONUS
3917156,714.72,714.72,714.72,PPT1969_ANN_CONUS
3917158,553.32,553.32,553.32,PPT1969_ANN_CONUS
3917160,593.52,593.52,593.52,PPT1969_ANN_CONUS
3917162,751.2,803.52,803.52,PPT1969_ANN_CONUS
3917164,684.6,684.6,684.6,PPT1969_ANN_CONUS
3917172,719.28,719.28,719.28,PPT1969_ANN_CONUS
3917176,805.8,786.12,786.12,PPT1969_ANN_CONUS
3917178,766.56,790.2,790.2,PPT1969_ANN_CONUS
3917194,898.8,898.8,898.8,PPT1969_ANN_CONUS
3917198,537.6,755.4,755.4,PPT1969_ANN_CONUS
3917200,497.52,740.64,740.64,PPT1969_ANN_CONUS
3917212,784.2,784.2,784.2,PPT1969_ANN_CONUS
3917214,575.88,575.88,575.88,PPT1969_ANN_CONUS
3917218,545.16,740.76,740.76,PPT1969_ANN_CONUS
3917220,543.36,727.2,727.2,PPT1969_ANN_CONUS
3917228,543.36,543.36,543.36,PPT1969_ANN_CONUS
3917230,445.56,445.56,445.56,PPT1969_ANN_CONUS
3917244,451.68,861.36,916.2,PPT1969_ANN_CONUS
3917250,842.28,842.28,842.28,PPT1969_ANN_CONUS
3917256,543.36,936,936,PPT1969_ANN_CONUS
3917268,543.36,919.92,919.92,PPT1969_ANN_CONUS
3917272,749.64,1029.48,1029.48,PPT1969_ANN_CONUS
3917274,553.44,553.44,553.44,PPT1969_ANN_CONUS
3917276,870.36,1050.36,1050.36,PPT1969_ANN_CONUS
3917278,702.72,984.84,984.84,PPT1969_ANN_CONUS
3917280,550.92,879.72,879.72,PPT1969_ANN_CONUS
3917282,697.56,940.32,940.32,PPT1969_ANN_CONUS
3917284,589.56,908.04,908.04,PPT1969_ANN_CONUS
3917286,587.64,587.64,587.64,PPT1969_ANN_CONUS
3917912,700.2,794.04,794.04,PPT1969_ANN_CONUS
3917914,697.2,707.04,707.04,PPT1969_ANN_CONUS
3917916,788.16,815.88,815.88,PPT1969_ANN_CONUS
3917918,661.68,768.36,768.36,PPT1969_ANN_CONUS
3917920,551.28,574.32,574.32,PPT1969_ANN_CONUS
3917922,527.64,527.64,527.64,PPT1969_ANN_CONUS
3917946,465.84,852.48,908.76,PPT1969_ANN_CONUS
3917948,486.6,735.84,735.84,PPT1969_ANN_CONUS
3917950,468.24,868.8,922.2,PPT1969_ANN_CONUS
3917956,1165.08,1165.08,1165.08,PPT1969_ANN_CONUS
3917958,1148.04,1148.04,1148.04,PPT1969_ANN_CONUS
3917960,1100.76,1100.76,1100.76,PPT1969_ANN_CONUS
948010089,520.92,527.04,527.04,PPT1969_ANN_CONUS
