COMID,CAT_TAV1994_ANN,ACC_TAV1994_ANN,TOT_TAV1994_ANN,source
3917070,8.09,8.09,8.09,TAV1994_ANN_CONUS
3917072,8.25,8.25,8.25,TAV1994_ANN_CONUS
3917082,7.75,7.75,7.75,TAV1994_ANN_CONUS
3917084,7.55,7.55,7.55,TAV1994_ANN_CONUS
3917106,7.88,7.69,7.69,TAV1994_ANN_CONUS
3917114,8.02,8.02,8.02,TAV1994_ANN_CONUS
3917130,8.09,8.04,8.04,TAV1994_ANN_CONUS
3917136,8.02,8.02,8.02,TAV1994_ANN_CONUS
3917138,8.17,8.17,8.17,TAV1994_ANN_CONUS
3917154,8.14,8.13,8.13,TAV1994_ANN_CONUS
3917156,8.52,8.52,8.52,TAV1994_ANN_CONUS
3917158,9.88,9.88,9.88,TAV1994_ANN_CONUS
3917160,9.62,9.62,9.62,TAV1994_ANN_CONUS
3917162,8.43,8.07,8.07,TAV1994_ANN_CONUS
3917164,9.14,9.14,9.14,TAV1994_ANN_CONUS
3917172,8.72,8.72,8.72,TAV1994_ANN_CONUS
3917176,8.94,8.22,8.22,TAV1994_ANN_CONUS
3917178,8.71,8.15,8.15,TAV1994_ANN_CONUS
3917194,8.18,8.18,8.18,TAV1994_ANN_CONUS
3917198,10.13,8.48,8.48,TAV1994_ANN_CONUS
3917200,10.49,8.59,8.59,TAV1994_ANN_CONUS
3917212,9.11,9.11,9.11,TAV1994_ANN_CONUS
3917214,9.99,9.99,9.99,TAV1994_ANN_CONUS
3917218,10.16,9.3,9.3,TAV1994_ANN_CONUS
3917220,10.23,9.36,9.36,TAV1994_ANN_CONUS
3917228,10.23,10.23,10.23,TAV1994_ANN_CONUS
3917230,10.94,10.94,10.94,TAV1994_ANN_CONUS
3917244,10.89,8.66,8.62,TAV1994_ANN_CONUS
3917250,8.94,8.94,8.94,TAV1994_ANN_CONUS
3917256,10.23,8.73,8.73,TAV1994_ANN_CONUS
3917268,10.23,8.79,8.79,TAV1994_ANN_CONUS
3917272,9.15,8.45,8.45,TAV1994_ANN_CONUS
3917274,10.19,10.19,10.19,TAV1994_ANN_CONUS
3917276,8.88,8.21,8.21,TAV1994_ANN_CONUS
3917278,9.42,8.44,8.44,TAV1994_ANN_CONUS
3917280,10.2,8.87,8.87,TAV1994_ANN_CONUS
3917282,9.6,8.62,8.62,TAV1994_ANN_CONUS
3917284,10.06,8.75,8.75,TAV1994_ANN_CONUS
3917286,10.06,10.06,10.06,TAV1994_ANN_CONUS
3917912,8.57,8.1,8.1,TAV1994_ANN_CONUS
3917914,8.49,8.42,8.42,TAV1994_ANN_CONUS
3917916,8.2,8.25,8.25,TAV1994_ANN_CONUS
3917918,9.45,8.39,8.39,TAV1994_ANN_CONUS
3917920,9.9,9.75,9.75,TAV1994_ANN_CONUS
3917922,10.24,10.24,10.24,TAV1994_ANN_CONUS
3917946,11.07,8.71,8.66,TAV1994_ANN_CONUS
3917948,10.56,8.63,8.63,TAV1994_ANN_CONUS
3917950,10.72,8.61,8.59,TAV1994_ANN_CONUS
3917956,8.11,8.11,8.11,TAV1994_ANN_CONUS
3917958,7.97,7.97,7.97,TAV1994_ANN_CONUS
3917960,7.95,7.95,7.95,TAV1994_ANN_CONUS
948010089,10.31,10.24,10.24,TAV1994_ANN_CONUS
