...1,COMID,CAT_PPT_JAN_2017,CAT_PPT_FEB_2017,CAT_PPT_MAR_2017,CAT_PPT_APR_2017,CAT_PPT_MAY_2017,CAT_PPT_JUN_2017,CAT_PPT_JUL_2017,CAT_PPT_AUG_2017,CAT_PPT_SEP_2017,CAT_PPT_OCT_2017,CAT_PPT_NOV_2017,CAT_PPT_DEC_2017,source
406322,3917070,155.98,225.56,112.78,107.47,44.9,31.41,2.1,4.96,15.48,53.14,124.62,41.05,CAT_PPT_2017
406323,3917072,155.57,218.93,112.05,106.91,44.04,30.93,2.17,4.76,15.15,52.63,124.02,40.73,CAT_PPT_2017
406328,3917082,185.1,260.75,132.09,122.46,42.44,46.1,2.21,3.99,19.41,60.66,129.67,46.7,CAT_PPT_2017
406329,3917084,166.93,243.39,121.3,118.13,42.91,39.38,2.3,4.51,17.57,56.74,127.04,43.62,CAT_PPT_2017
406340,3917106,164.58,229.42,117.31,113.82,38.28,40.61,2.24,4.28,17.58,52.23,117.42,39.5,CAT_PPT_2017
406344,3917114,147.23,201.46,102.35,100.81,36.2,30.64,2.22,4.76,14.46,45.11,110.82,34.58,CAT_PPT_2017
406352,3917130,127.36,175.22,90.35,98.53,29.45,29.29,2.23,4.94,13.3,35.34,97.84,26.18,CAT_PPT_2017
406355,3917136,159.92,216.92,112.8,109.12,35.78,41.32,2.21,4.13,17.77,49.08,108.19,36.11,CAT_PPT_2017
406356,3917138,124.25,157.61,86.21,91.85,27.67,33.57,2.25,4.44,15.29,33.87,81.27,22.3,CAT_PPT_2017
406364,3917154,151.97,211.05,107.76,103.63,40.86,30.49,2.18,4.76,14.76,49.36,118.36,38.09,CAT_PPT_2017
406365,3917156,135.45,171.89,88.22,83.38,29.67,25.12,2.05,4.81,12.03,35.02,94.92,26.91,CAT_PPT_2017
406366,3917158,138.29,140.32,70.7,48.69,17.37,17.39,0.92,4.89,10,21.37,70.65,17.68,CAT_PPT_2017
406367,3917160,145.69,150.67,76.31,53.28,19.22,17.61,0.8,4.38,10.58,23.72,74.2,18,CAT_PPT_2017
406368,3917162,120.93,153.19,79.54,85.14,23.55,25.14,2.08,4.96,11.38,27.14,85.03,20.11,CAT_PPT_2017
406369,3917164,137.71,155.01,78.9,62.71,22.23,19.94,1.27,4.89,10.21,26.25,78.91,20.03,CAT_PPT_2017
406373,3917172,145.48,182.79,93.61,83.26,31.54,24.71,1.67,4.85,12.33,37.7,98.66,28.99,CAT_PPT_2017
406375,3917176,131.45,148.84,77.53,73.85,20.46,21.03,1.4,4.87,10.25,23.94,79.26,18.37,CAT_PPT_2017
406376,3917178,127.37,149.12,77.32,77.39,21.43,22.44,1.71,4.89,10.43,24.52,81.04,18.82,CAT_PPT_2017
406383,3917194,126.19,167.75,90.6,110.09,27.42,32.5,1.93,4.94,13.7,31.37,92.47,23.13,CAT_PPT_2017
406384,3917198,134.54,137.31,68.67,46.62,16.59,17.33,0.99,4.87,9.82,20.57,69.25,17.38,CAT_PPT_2017
406385,3917200,135.68,138.67,69.85,47.7,16.81,17.34,0.95,4.91,9.93,20.87,69.83,17.54,CAT_PPT_2017
406388,3917212,124.92,146.2,75.01,68.83,19.4,20.67,1.13,4.89,10.46,23.07,76.69,18.26,CAT_PPT_2017
406389,3917214,122.12,138.18,70.61,50.83,15.39,17.65,0.98,4.75,10.11,20.4,68.31,16.92,CAT_PPT_2017
406391,3917218,126.41,138.72,71.01,46.79,14.97,17.16,0.96,4.72,10.15,19.96,68.28,17.19,CAT_PPT_2017
406392,3917220,125.21,138.69,71.13,46.65,14.73,17.14,0.96,4.7,10.18,19.84,68.07,17.14,CAT_PPT_2017
406395,3917228,125.21,138.69,71.13,46.65,14.73,17.14,0.96,4.7,10.18,19.84,68.07,17.14,CAT_PPT_2017
406396,3917230,83.2,99.58,43.45,27.16,8.09,14.49,1.05,5.31,6.91,12.64,47.76,11.42,CAT_PPT_2017
406398,3917244,83.93,102.29,45.25,28.4,8.29,14.45,1.18,5.11,7.51,12.9,46.99,11.81,CAT_PPT_2017
406399,3917250,120.5,147.86,75.74,73.78,20.28,21.89,1.18,4.91,10.72,23.58,78.76,18.69,CAT_PPT_2017
406402,3917256,125.21,138.69,71.13,46.65,14.73,17.14,0.96,4.7,10.18,19.84,68.07,17.14,CAT_PPT_2017
406406,3917268,125.21,138.69,71.13,46.65,14.73,17.14,0.96,4.7,10.18,19.84,68.07,17.14,CAT_PPT_2017
406408,3917272,119.49,141.18,72.03,61.57,17.53,19.46,1.06,4.84,10.28,21.88,72.08,17.39,CAT_PPT_2017
406409,3917274,125.21,138.69,71.13,46.65,14.73,17.14,0.96,4.7,10.18,19.84,68.07,17.14,CAT_PPT_2017
406410,3917276,109.33,130.21,70.55,57.49,15.4,19.39,1.03,4.92,9.56,18.09,69.68,16.34,CAT_PPT_2017
406411,3917278,115.02,133.64,70.53,54.59,15.32,18.56,1,4.85,9.78,19.05,69.04,16.56,CAT_PPT_2017
406412,3917280,125.4,138.85,71.45,47.82,14.68,17.2,0.97,4.72,10.13,19.64,68.72,17.17,CAT_PPT_2017
406413,3917282,122.14,137.1,73.35,57.44,14.38,18.14,0.98,4.93,9.62,17.66,73.14,17.12,CAT_PPT_2017
406414,3917284,127.35,140.48,74.72,59.52,14.18,17.8,0.97,4.97,9.63,17.63,75.26,17.47,CAT_PPT_2017
406415,3917286,127.36,140.49,74.74,59.6,14.18,17.8,0.97,4.97,9.63,17.62,75.31,17.47,CAT_PPT_2017
406496,3917912,130.08,159.57,81.99,77.55,25.88,23.65,2.02,4.83,11.22,30.35,87.36,23.25,CAT_PPT_2017
406497,3917914,129.57,159.97,90.56,96.4,29.82,36.84,2.22,4.21,17.61,33.95,81.82,23.3,CAT_PPT_2017
406498,3917916,127.28,166.81,89.37,102.3,27.9,31.87,2.16,4.76,14.19,33.02,90.9,23.09,CAT_PPT_2017
406499,3917918,136.23,144.44,74.31,60.48,18.35,18.65,1.05,4.9,10.03,22.4,74.21,17.82,CAT_PPT_2017
406500,3917920,135.19,137.7,68.97,46.96,16.71,17.33,0.98,4.89,9.84,20.69,69.47,17.44,CAT_PPT_2017
406501,3917922,118.3,127.05,60.76,38.01,13.43,17.11,1.26,4.37,9.18,17.73,63.8,15.91,CAT_PPT_2017
406511,3917946,87.9,110.63,43.05,27.64,8.16,13.62,0.36,5.74,6.83,11.84,48.52,11.91,CAT_PPT_2017
406512,3917948,101.02,119.73,57.78,34.78,10.84,15.94,1.24,4.27,8.71,15.41,55.94,14.76,CAT_PPT_2017
