COMID,CAT_TAV2013_ANN,ACC_TAV2013_ANN,TOT_TAV2013_ANN,source
3917070,8.21,8.21,8.21,TAV2013_ANN_CONUS
3917072,8.35,8.35,8.35,TAV2013_ANN_CONUS
3917082,7.32,7.32,7.32,TAV2013_ANN_CONUS
3917084,7.72,7.72,7.72,TAV2013_ANN_CONUS
3917106,7.79,7.72,7.72,TAV2013_ANN_CONUS
3917114,8.9,8.9,8.9,TAV2013_ANN_CONUS
3917130,8.86,8.43,8.43,TAV2013_ANN_CONUS
3917136,8.39,8.39,8.39,TAV2013_ANN_CONUS
3917138,9.48,9.48,9.48,TAV2013_ANN_CONUS
3917154,8.55,8.49,8.49,TAV2013_ANN_CONUS
3917156,9.36,9.36,9.36,TAV2013_ANN_CONUS
3917158,10.9,10.9,10.9,TAV2013_ANN_CONUS
3917160,10.84,10.84,10.84,TAV2013_ANN_CONUS
3917162,9.35,8.52,8.52,TAV2013_ANN_CONUS
3917164,10.4,10.4,10.4,TAV2013_ANN_CONUS
3917172,9.5,9.5,9.5,TAV2013_ANN_CONUS
3917176,9.73,8.75,8.75,TAV2013_ANN_CONUS
3917178,9.59,8.66,8.66,TAV2013_ANN_CONUS
3917194,8.39,8.39,8.39,TAV2013_ANN_CONUS
3917198,10.9,9.13,9.13,TAV2013_ANN_CONUS
3917200,10.84,9.25,9.25,TAV2013_ANN_CONUS
3917212,10.02,10.02,10.02,TAV2013_ANN_CONUS
3917214,10.79,10.79,10.79,TAV2013_ANN_CONUS
3917218,10.84,10.17,10.17,TAV2013_ANN_CONUS
3917220,10.83,10.22,10.22,TAV2013_ANN_CONUS
3917228,10.83,10.83,10.83,TAV2013_ANN_CONUS
3917230,10.93,10.93,10.93,TAV2013_ANN_CONUS
3917244,10.94,9.63,9.57,TAV2013_ANN_CONUS
3917250,9.8,9.8,9.8,TAV2013_ANN_CONUS
3917256,10.83,9.09,9.09,TAV2013_ANN_CONUS
3917268,10.83,9.16,9.16,TAV2013_ANN_CONUS
3917272,10.27,8.54,8.54,TAV2013_ANN_CONUS
3917274,10.85,10.85,10.85,TAV2013_ANN_CONUS
3917276,9.97,8.54,8.54,TAV2013_ANN_CONUS
3917278,10.51,8.91,8.91,TAV2013_ANN_CONUS
3917280,10.85,9.45,9.45,TAV2013_ANN_CONUS
3917282,10.57,9.16,9.16,TAV2013_ANN_CONUS
3917284,10.94,9.33,9.33,TAV2013_ANN_CONUS
3917286,10.93,10.93,10.93,TAV2013_ANN_CONUS
3917912,9.61,8.58,8.58,TAV2013_ANN_CONUS
3917914,9.41,9.26,9.26,TAV2013_ANN_CONUS
3917916,9.03,8.8,8.8,TAV2013_ANN_CONUS
3917918,10.44,9.01,9.01,TAV2013_ANN_CONUS
3917920,10.9,10.87,10.87,TAV2013_ANN_CONUS
3917922,10.96,10.96,10.96,TAV2013_ANN_CONUS
3917946,11.12,9.67,9.59,TAV2013_ANN_CONUS
3917948,10.83,9.28,9.28,TAV2013_ANN_CONUS
3917950,10.9,9.61,9.55,TAV2013_ANN_CONUS
3917956,7.7,7.7,7.7,TAV2013_ANN_CONUS
3917958,7.87,7.87,7.87,TAV2013_ANN_CONUS
3917960,8.08,8.08,8.08,TAV2013_ANN_CONUS
948010089,10.95,10.95,10.95,TAV2013_ANN_CONUS
