COMID,CAT_PPT2000_ANN,ACC_PPT2000_ANN,TOT_PPT2000_ANN,source
3917070,637.2,637.2,637.2,PPT2000_ANN_CONUS
3917072,626.04,626.04,626.04,PPT2000_ANN_CONUS
3917082,569.28,569.28,569.28,PPT2000_ANN_CONUS
3917084,589.92,589.92,589.92,PPT2000_ANN_CONUS
3917106,553.2,574.68,574.68,PPT2000_ANN_CONUS
3917114,581.4,581.4,581.4,PPT2000_ANN_CONUS
3917130,571.2,543,543,PPT2000_ANN_CONUS
3917136,492.72,492.72,492.72,PPT2000_ANN_CONUS
3917138,434.16,434.16,434.16,PPT2000_ANN_CONUS
3917154,608.52,613.92,613.92,PPT2000_ANN_CONUS
3917156,585.12,585.12,585.12,PPT2000_ANN_CONUS
3917158,452.4,452.4,452.4,PPT2000_ANN_CONUS
3917160,491.04,491.04,491.04,PPT2000_ANN_CONUS
3917162,567.48,545.88,545.88,PPT2000_ANN_CONUS
3917164,541.44,541.44,541.44,PPT2000_ANN_CONUS
3917172,579.12,579.12,579.12,PPT2000_ANN_CONUS
3917176,562.56,557.64,557.64,PPT2000_ANN_CONUS
3917178,576.72,555.84,555.84,PPT2000_ANN_CONUS
3917194,567.36,567.36,567.36,PPT2000_ANN_CONUS
3917198,433.8,546.36,546.36,PPT2000_ANN_CONUS
3917200,405,537.96,537.96,PPT2000_ANN_CONUS
3917212,551.4,551.4,551.4,PPT2000_ANN_CONUS
3917214,464.4,464.4,464.4,PPT2000_ANN_CONUS
3917218,444.96,532.68,532.68,PPT2000_ANN_CONUS
3917220,443.28,526.56,526.56,PPT2000_ANN_CONUS
3917228,443.28,443.28,443.28,PPT2000_ANN_CONUS
3917230,348.48,348.48,348.48,PPT2000_ANN_CONUS
3917244,356.16,627.36,691.32,PPT2000_ANN_CONUS
3917250,573.96,573.96,573.96,PPT2000_ANN_CONUS
3917256,443.28,605.16,605.16,PPT2000_ANN_CONUS
3917268,443.28,598.44,598.44,PPT2000_ANN_CONUS
3917272,547.08,639.96,639.96,PPT2000_ANN_CONUS
3917274,447.72,447.72,447.72,PPT2000_ANN_CONUS
3917276,653.64,681.24,681.24,PPT2000_ANN_CONUS
3917278,550.32,656.64,656.64,PPT2000_ANN_CONUS
3917280,446.64,608.52,608.52,PPT2000_ANN_CONUS
3917282,542.76,638.52,638.52,PPT2000_ANN_CONUS
3917284,463.92,622.44,622.44,PPT2000_ANN_CONUS
3917286,462.96,462.96,462.96,PPT2000_ANN_CONUS
3917912,573.36,553.56,553.56,PPT2000_ANN_CONUS
3917914,426.24,435.96,435.96,PPT2000_ANN_CONUS
3917916,515.04,515.64,515.64,PPT2000_ANN_CONUS
3917918,503.28,551.76,551.76,PPT2000_ANN_CONUS
3917920,449.64,472.32,472.32,PPT2000_ANN_CONUS
3917922,417.24,417.24,417.24,PPT2000_ANN_CONUS
3917946,353.88,621.24,685.8,PPT2000_ANN_CONUS
3917948,396.72,535.2,535.2,PPT2000_ANN_CONUS
3917950,378.48,632.16,695.64,PPT2000_ANN_CONUS
3917956,685.08,685.08,685.08,PPT2000_ANN_CONUS
3917958,688.2,688.2,688.2,PPT2000_ANN_CONUS
3917960,693.84,693.84,693.84,PPT2000_ANN_CONUS
948010089,410.4,416.64,416.64,PPT2000_ANN_CONUS
