...1,COMID,CAT_S1100,CAT_S1200,CAT_S1400,CAT_S1500,CAT_S1630,CAT_S1640,CAT_S1710,CAT_S1720,CAT_S1730,CAT_S1740,CAT_S1750,CAT_S1780,CAT_S1820,CAT_S1830,CAT_TOTAL_ROAD_DENS,source
406321,3917070,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,2.26,ROAD_DENS_CAT_CONUS
406322,3917072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROAD_DENS_CAT_CONUS
406327,3917082,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,2.05,ROAD_DENS_CAT_CONUS
406328,3917084,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2.1,ROAD_DENS_CAT_CONUS
406339,3917106,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,1.49,ROAD_DENS_CAT_CONUS
406343,3917114,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,1.58,ROAD_DENS_CAT_CONUS
406351,3917130,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,1.3,ROAD_DENS_CAT_CONUS
406354,3917136,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,3.07,ROAD_DENS_CAT_CONUS
406355,3917138,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.1,ROAD_DENS_CAT_CONUS
406363,3917154,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,1.44,ROAD_DENS_CAT_CONUS
406364,3917156,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0.53,ROAD_DENS_CAT_CONUS
406365,3917158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROAD_DENS_CAT_CONUS
406366,3917160,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.08,ROAD_DENS_CAT_CONUS
406367,3917162,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0.54,ROAD_DENS_CAT_CONUS
406368,3917164,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.46,ROAD_DENS_CAT_CONUS
406372,3917172,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0.61,ROAD_DENS_CAT_CONUS
406374,3917176,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,ROAD_DENS_CAT_CONUS
406375,3917178,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0.65,ROAD_DENS_CAT_CONUS
406382,3917194,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,ROAD_DENS_CAT_CONUS
406383,3917198,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,1.47,ROAD_DENS_CAT_CONUS
406384,3917200,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.41,ROAD_DENS_CAT_CONUS
406395,3917230,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,1.6,ROAD_DENS_CAT_CONUS
406397,3917244,0,0,1.05,0,0.01,0,0,0,0,0,0,0,0,0,1.06,ROAD_DENS_CAT_CONUS
406495,3917912,0,0,0.77,0.03,0,0,0,0,0,0,0,0,0,0,0.81,ROAD_DENS_CAT_CONUS
406496,3917914,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,2.28,ROAD_DENS_CAT_CONUS
406497,3917916,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,1.43,ROAD_DENS_CAT_CONUS
406498,3917918,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0.72,ROAD_DENS_CAT_CONUS
406499,3917920,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.1,ROAD_DENS_CAT_CONUS
406500,3917922,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,ROAD_DENS_CAT_CONUS
406510,3917946,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,1.64,ROAD_DENS_CAT_CONUS
406511,3917948,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,1.45,ROAD_DENS_CAT_CONUS
406512,3917950,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,ROAD_DENS_CAT_CONUS
2695741,948010089,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0.89,ROAD_DENS_CAT_CONUS
