COMID,CAT_RUN1977_ANN,ACC_RUN1977_ANN,TOT_RUN1977_ANN,source
3917070,166.44,166.44,166.44,RUN1977_ANN_CONUS
3917072,141.12,141.12,141.12,RUN1977_ANN_CONUS
3917082,151.68,151.68,151.68,RUN1977_ANN_CONUS
3917084,198.48,198.48,198.48,RUN1977_ANN_CONUS
3917106,134.4,171.36,171.36,RUN1977_ANN_CONUS
3917114,157.32,157.32,157.32,RUN1977_ANN_CONUS
3917130,124.2,138.12,138.12,RUN1977_ANN_CONUS
3917136,116.28,116.28,116.28,RUN1977_ANN_CONUS
3917138,102.24,102.24,102.24,RUN1977_ANN_CONUS
3917154,148.92,152.04,152.04,RUN1977_ANN_CONUS
3917156,107.4,107.4,107.4,RUN1977_ANN_CONUS
3917158,31.32,31.32,31.32,RUN1977_ANN_CONUS
3917160,35.76,35.76,35.76,RUN1977_ANN_CONUS
3917162,94.44,134.88,134.88,RUN1977_ANN_CONUS
3917164,81.24,81.24,81.24,RUN1977_ANN_CONUS
3917172,109.08,109.08,109.08,RUN1977_ANN_CONUS
3917176,84.24,128.28,128.28,RUN1977_ANN_CONUS
3917178,99.84,131.64,131.64,RUN1977_ANN_CONUS
3917194,133.32,133.32,133.32,RUN1977_ANN_CONUS
3917198,30.36,113.04,113.04,RUN1977_ANN_CONUS
3917200,25.44,107.64,107.64,RUN1977_ANN_CONUS
3917212,83.04,83.04,83.04,RUN1977_ANN_CONUS
3917214,43.44,43.44,43.44,RUN1977_ANN_CONUS
3917218,32.76,74.4,74.4,RUN1977_ANN_CONUS
3917220,33.12,71.52,71.52,RUN1977_ANN_CONUS
3917228,33.12,33.12,33.12,RUN1977_ANN_CONUS
3917230,21.6,21.6,21.6,RUN1977_ANN_CONUS
3917244,21.12,109.8,120.72,RUN1977_ANN_CONUS
3917250,96.12,96.12,96.12,RUN1977_ANN_CONUS
3917256,33.12,117.6,117.6,RUN1977_ANN_CONUS
3917268,33.12,114.12,114.12,RUN1977_ANN_CONUS
3917272,83.4,138.24,138.24,RUN1977_ANN_CONUS
3917274,32.04,32.04,32.04,RUN1977_ANN_CONUS
3917276,74.04,160.8,160.8,RUN1977_ANN_CONUS
3917278,60.36,141.96,141.96,RUN1977_ANN_CONUS
3917280,32.28,111,111,RUN1977_ANN_CONUS
3917282,44.76,127.2,127.2,RUN1977_ANN_CONUS
3917284,28.44,118.2,118.2,RUN1977_ANN_CONUS
3917286,28.56,28.56,28.56,RUN1977_ANN_CONUS
3917912,96.72,134.4,134.4,RUN1977_ANN_CONUS
3917914,100.56,102.84,102.84,RUN1977_ANN_CONUS
3917916,112.08,119.4,119.4,RUN1977_ANN_CONUS
3917918,55.32,118.68,118.68,RUN1977_ANN_CONUS
3917920,31.08,33.6,33.6,RUN1977_ANN_CONUS
3917922,29.88,29.88,29.88,RUN1977_ANN_CONUS
3917946,22.92,107.88,119.04,RUN1977_ANN_CONUS
3917948,23.76,106.08,106.08,RUN1977_ANN_CONUS
3917950,21.48,111.36,121.92,RUN1977_ANN_CONUS
3917956,164.88,164.88,164.88,RUN1977_ANN_CONUS
3917958,189.72,189.72,189.72,RUN1977_ANN_CONUS
3917960,196.08,196.08,196.08,RUN1977_ANN_CONUS
948010089,28.2,29.76,29.76,RUN1977_ANN_CONUS
