COMID,CAT_PPT2005_ANN,ACC_PPT2005_ANN,TOT_PPT2005_ANN,source
3917070,725.04,725.04,725.04,PPT2005_ANN_CONUS
3917072,723.36,723.36,723.36,PPT2005_ANN_CONUS
3917082,657.96,657.96,657.96,PPT2005_ANN_CONUS
3917084,674.76,674.76,674.76,PPT2005_ANN_CONUS
3917106,653.76,665.76,665.76,PPT2005_ANN_CONUS
3917114,699.96,699.96,699.96,PPT2005_ANN_CONUS
3917130,691.92,662.28,662.28,PPT2005_ANN_CONUS
3917136,610.32,610.32,610.32,PPT2005_ANN_CONUS
3917138,574.92,574.92,574.92,PPT2005_ANN_CONUS
3917154,713.64,715.8,715.8,PPT2005_ANN_CONUS
3917156,717.48,717.48,717.48,PPT2005_ANN_CONUS
3917158,601.56,601.56,601.56,PPT2005_ANN_CONUS
3917160,627,627,627,PPT2005_ANN_CONUS
3917162,710.04,667.2,667.2,PPT2005_ANN_CONUS
3917164,653.88,653.88,653.88,PPT2005_ANN_CONUS
3917172,685.32,685.32,685.32,PPT2005_ANN_CONUS
3917176,701.04,679.92,679.92,PPT2005_ANN_CONUS
3917178,724.56,678.6,678.6,PPT2005_ANN_CONUS
3917194,701.88,701.88,701.88,PPT2005_ANN_CONUS
3917198,579.36,670.8,670.8,PPT2005_ANN_CONUS
3917200,549.12,664.08,664.08,PPT2005_ANN_CONUS
3917212,687,687,687,PPT2005_ANN_CONUS
3917214,596.4,596.4,596.4,PPT2005_ANN_CONUS
3917218,580.8,667.92,667.92,PPT2005_ANN_CONUS
3917220,575.88,661.56,661.56,PPT2005_ANN_CONUS
3917228,575.88,575.88,575.88,PPT2005_ANN_CONUS
3917230,496.44,496.44,496.44,PPT2005_ANN_CONUS
3917244,505.08,792.12,868.8,PPT2005_ANN_CONUS
3917250,709.92,709.92,709.92,PPT2005_ANN_CONUS
3917256,575.88,742.2,742.2,PPT2005_ANN_CONUS
3917268,575.88,735.36,735.36,PPT2005_ANN_CONUS
3917272,679.92,778.2,778.2,PPT2005_ANN_CONUS
3917274,584.4,584.4,584.4,PPT2005_ANN_CONUS
3917276,806.52,836.28,836.28,PPT2005_ANN_CONUS
3917278,689.64,808.56,808.56,PPT2005_ANN_CONUS
3917280,582.36,759.12,759.12,PPT2005_ANN_CONUS
3917282,693.72,790.2,790.2,PPT2005_ANN_CONUS
3917284,615.12,774.12,774.12,PPT2005_ANN_CONUS
3917286,613.44,613.44,613.44,PPT2005_ANN_CONUS
3917912,720.48,674.52,674.52,PPT2005_ANN_CONUS
3917914,575.52,580.56,580.56,PPT2005_ANN_CONUS
3917916,649.2,653.28,653.28,PPT2005_ANN_CONUS
3917918,642.84,674.88,674.88,PPT2005_ANN_CONUS
3917920,598.92,614.4,614.4,PPT2005_ANN_CONUS
3917922,567.36,567.36,567.36,PPT2005_ANN_CONUS
3917946,528.12,786.12,863.16,PPT2005_ANN_CONUS
3917948,543,661.8,661.8,PPT2005_ANN_CONUS
3917950,524.76,797.28,873.48,PPT2005_ANN_CONUS
3917956,825.84,825.84,825.84,PPT2005_ANN_CONUS
3917958,842.64,842.64,842.64,PPT2005_ANN_CONUS
3917960,850.44,850.44,850.44,PPT2005_ANN_CONUS
948010089,560.16,566.76,566.76,PPT2005_ANN_CONUS
