COMID,CAT_SOLLER_11,CAT_SOLLER_12,CAT_SOLLER_101,CAT_SOLLER_211,CAT_SOLLER_221,CAT_SOLLER_311,CAT_SOLLER_312,CAT_SOLLER_321,CAT_SOLLER_322,CAT_SOLLER_331,CAT_SOLLER_410,CAT_SOLLER_411,CAT_SOLLER_412,CAT_SOLLER_420,CAT_SOLLER_421,CAT_SOLLER_422,CAT_SOLLER_430,CAT_SOLLER_431,CAT_SOLLER_450,CAT_SOLLER_451,CAT_SOLLER_452,CAT_SOLLER_511,CAT_SOLLER_521,CAT_SOLLER_610,CAT_SOLLER_611,CAT_SOLLER_620,CAT_SOLLER_630,CAT_SOLLER_640,CAT_SOLLER_701,CAT_SOLLER_702,CAT_SOLLER_810,CAT_SOLLER_811,CAT_SOLLER_812,CAT_SOLLER_820,CAT_SOLLER_821,CAT_SOLLER_822,CAT_SOLLER_910,CAT_SOLLER_920,CAT_SOLLER_921,CAT_SOLLER_930,CAT_SOLLER_940,CAT_SOLLER_941,CAT_SOLLER_950,CAT_SOLLER_960,CAT_SOLLER_961,CAT_SOLLER_970,CAT_SOLLER_971,CAT_SOLLER_980,CAT_SOLLER_985,CAT_SOLLER_999,CAT_SOLLER_NODATA,source
3917912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.64,0,0,0,0,0,0,0,0,0,0,64.36,0,0,0,SOLLER_CAT_CONUS
3917914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,SOLLER_CAT_CONUS
3917916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,SOLLER_CAT_CONUS
3917918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.59,0,0,0,0,0,0,0,0,0,0,44.41,0,0,0,SOLLER_CAT_CONUS
3917920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_CAT_CONUS
3917922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_CAT_CONUS
3917946,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_CAT_CONUS
3917948,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_CAT_CONUS
3917950,84.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_CAT_CONUS
3917956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,SOLLER_CAT_CONUS
3917958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.83,0,0,0,0,0,0,0,0,0,0,80.17,0,0,0,SOLLER_CAT_CONUS
3917960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.11,0,0,0,0,0,0,0,0,0,0,75.89,0,0,0,SOLLER_CAT_CONUS
948010089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLLER_CAT_CONUS
