COMID,TOT_WBM_AET,TOT_WBM_PET,TOT_WBM_PPT,TOT_WBM_RUN,TOT_WBM_SNW,TOT_WBM_STO,TOT_WBM_TAV,TOT_NODATA,source
3917070,344.88,519.77,658.85,315,283.62,62.23,7.2,0,WBM_TOT_CONUS
3917072,343.8,525.07,650.07,306.93,273.87,61,7.35,0,WBM_TOT_CONUS
3917082,330.97,500.96,624.26,293.49,287.66,58.56,6.63,0,WBM_TOT_CONUS
3917084,310.82,506.38,635.66,325.25,288.67,45.36,6.8,0,WBM_TOT_CONUS
3917106,318.68,508.56,621.86,303.52,280.27,50.34,6.85,0,WBM_TOT_CONUS
3917114,327.94,540.3,595.03,267.68,241.69,54.6,7.72,0,WBM_TOT_CONUS
3917130,321.16,532.36,570.63,249.89,235.25,54.88,7.5,0,WBM_TOT_CONUS
3917136,311.96,529.37,551.3,239.51,228.11,46.68,7.4,0,WBM_TOT_CONUS
3917138,287.67,555.6,492.73,205.27,177.2,31.4,8.11,0,WBM_TOT_CONUS
3917154,338.53,528.65,634.49,296.67,265.83,58.96,7.43,0,WBM_TOT_CONUS
3917156,355.72,556.65,582.26,227.25,219.76,69.67,8.17,0,WBM_TOT_CONUS
3917158,360.73,649.67,481.13,120.53,113.93,66.67,10.48,0,WBM_TOT_CONUS
3917160,364.2,637.52,504.38,140.31,124.24,69.33,10.22,0,WBM_TOT_CONUS
3917162,323.74,534.5,570.11,246.82,233.47,56.22,7.56,0,WBM_TOT_CONUS
3917164,367.28,606.51,528.86,162.09,152.68,73.62,9.46,0,WBM_TOT_CONUS
3917172,356.84,569.28,581.5,225.29,206.83,68.37,8.5,0,WBM_TOT_CONUS
3917176,333.98,542.1,573.82,240.37,228.65,61.63,7.77,0,WBM_TOT_CONUS
3917178,330.38,538.19,574.61,244.75,232.43,59.63,7.66,0,WBM_TOT_CONUS
3917194,340.01,538.89,557.49,218.16,221.61,73.81,7.69,0,WBM_TOT_CONUS
3917198,340.61,559.36,560.15,220.04,209.45,64.15,8.21,0,WBM_TOT_CONUS
3917200,341.19,566.15,552.22,211.5,202.17,63.98,8.38,0,WBM_TOT_CONUS
3917212,360.43,603.39,527.6,167.7,160.7,82.21,9.38,0,WBM_TOT_CONUS
3917214,344.67,647.26,470.93,126.37,114.3,59.78,10.42,0,WBM_TOT_CONUS
3917218,358.04,612.53,515.99,158.4,151.2,78.19,9.6,0,WBM_TOT_CONUS
3917220,357.43,615.45,512.17,155.17,148.22,77.09,9.67,0,WBM_TOT_CONUS
3917228,349.13,654.87,460.53,111.47,107.93,62.2,10.59,0,WBM_TOT_CONUS
3917230,294.88,691.34,335.96,41.18,69.5,44.38,11.22,0,WBM_TOT_CONUS
3917244,353.76,594.53,652.12,302.26,227.57,76.39,9.16,0,WBM_TOT_CONUS
3917250,357.82,595.06,537.03,179.8,170.28,84.27,9.18,0,WBM_TOT_CONUS
3917256,371.06,574.54,562.27,191.96,198.42,100.75,8.65,0,WBM_TOT_CONUS
3917268,370.17,577.83,558.1,188.67,194.72,99.17,8.73,0,WBM_TOT_CONUS
3917272,380.19,554.76,586.95,207.69,223.16,113.48,8.15,0,WBM_TOT_CONUS
3917274,349.74,655.05,464.52,114.85,108.43,62.35,10.6,0,WBM_TOT_CONUS
3917276,352.59,556.05,589.2,236.92,213.24,71.45,8.24,0,WBM_TOT_CONUS
3917278,351.99,569.22,574.5,222.79,198.67,69.79,8.57,0,WBM_TOT_CONUS
3917280,352.6,591.85,549.5,197.12,175.25,68.25,9.11,0,WBM_TOT_CONUS
3917282,352.89,579.18,564.6,211.97,188.33,69.36,8.81,0,WBM_TOT_CONUS
3917284,352.82,586.22,556.8,204.23,181.16,68.77,8.97,0,WBM_TOT_CONUS
3917286,351.9,655.69,478.73,126.89,110.2,62.89,10.63,0,WBM_TOT_CONUS
3917912,327,535.55,575.63,249.12,234.99,57.37,7.59,0,WBM_TOT_CONUS
3917914,293.43,558.99,494.88,201.58,176.77,33.53,8.2,0,WBM_TOT_CONUS
3917916,321.34,546.59,534.49,213.62,205.21,57.83,7.88,0,WBM_TOT_CONUS
3917918,339.08,553.34,565.03,226.46,215.91,63.88,8.06,0,WBM_TOT_CONUS
3917920,362.38,643.45,492.76,130.51,119.13,68,10.35,0,WBM_TOT_CONUS
3917922,349.98,663.82,438.8,89.11,97.58,61.75,10.77,0,WBM_TOT_CONUS
3917946,352.93,596.23,647.25,298.15,225.07,75.92,9.19,0,WBM_TOT_CONUS
3917948,340.96,568.18,549.27,208.79,199.96,63.8,8.43,0,WBM_TOT_CONUS
3917950,354.41,593.29,656.08,305.61,229.6,76.79,9.13,0,WBM_TOT_CONUS
3917956,397.4,527.25,620.71,224.49,258.56,135.48,7.46,0,WBM_TOT_CONUS
3917958,360.08,534.54,603.99,244.45,238.81,87.03,7.68,0,WBM_TOT_CONUS
3917960,339.07,541.86,597.26,258.39,227.24,59.89,7.88,0,WBM_TOT_CONUS
948010089,349.71,664.08,438.01,88.6,97.29,61.65,10.77,0,WBM_TOT_CONUS
