COMID,CAT_TAV1975_ANN,ACC_TAV1975_ANN,TOT_TAV1975_ANN,source
3917070,6.33,6.33,6.33,TAV1975_ANN_CONUS
3917072,6.5,6.5,6.5,TAV1975_ANN_CONUS
3917082,5.99,5.99,5.99,TAV1975_ANN_CONUS
3917084,5.74,5.74,5.74,TAV1975_ANN_CONUS
3917106,6.15,5.91,5.91,TAV1975_ANN_CONUS
3917114,6.27,6.27,6.27,TAV1975_ANN_CONUS
3917130,6.39,6.32,6.32,TAV1975_ANN_CONUS
3917136,6.3,6.3,6.3,TAV1975_ANN_CONUS
3917138,6.44,6.44,6.44,TAV1975_ANN_CONUS
3917154,6.39,6.38,6.38,TAV1975_ANN_CONUS
3917156,6.84,6.84,6.84,TAV1975_ANN_CONUS
3917158,8.56,8.56,8.56,TAV1975_ANN_CONUS
3917160,8.23,8.23,8.23,TAV1975_ANN_CONUS
3917162,6.78,6.36,6.36,TAV1975_ANN_CONUS
3917164,7.61,7.61,7.61,TAV1975_ANN_CONUS
3917172,7.09,7.09,7.09,TAV1975_ANN_CONUS
3917176,7.42,6.52,6.52,TAV1975_ANN_CONUS
3917178,7.11,6.44,6.44,TAV1975_ANN_CONUS
3917194,6.5,6.5,6.5,TAV1975_ANN_CONUS
3917198,8.85,6.84,6.84,TAV1975_ANN_CONUS
3917200,9.27,6.98,6.98,TAV1975_ANN_CONUS
3917212,7.66,7.66,7.66,TAV1975_ANN_CONUS
3917214,8.69,8.69,8.69,TAV1975_ANN_CONUS
3917218,8.88,7.88,7.88,TAV1975_ANN_CONUS
3917220,8.96,7.96,7.96,TAV1975_ANN_CONUS
3917228,8.96,8.96,8.96,TAV1975_ANN_CONUS
3917230,9.81,9.81,9.81,TAV1975_ANN_CONUS
3917244,9.75,7.25,7.26,TAV1975_ANN_CONUS
3917250,7.48,7.48,7.48,TAV1975_ANN_CONUS
3917256,8.96,7.24,7.24,TAV1975_ANN_CONUS
3917268,8.96,7.31,7.31,TAV1975_ANN_CONUS
3917272,7.72,6.92,6.92,TAV1975_ANN_CONUS
3917274,8.92,8.92,8.92,TAV1975_ANN_CONUS
3917276,7.45,6.69,6.69,TAV1975_ANN_CONUS
3917278,8.04,6.94,6.94,TAV1975_ANN_CONUS
3917280,8.93,7.43,7.43,TAV1975_ANN_CONUS
3917282,8.27,7.15,7.15,TAV1975_ANN_CONUS
3917284,8.79,7.3,7.3,TAV1975_ANN_CONUS
3917286,8.8,8.8,8.8,TAV1975_ANN_CONUS
3917912,6.92,6.39,6.39,TAV1975_ANN_CONUS
3917914,6.81,6.73,6.73,TAV1975_ANN_CONUS
3917916,6.5,6.57,6.57,TAV1975_ANN_CONUS
3917918,8.04,6.73,6.73,TAV1975_ANN_CONUS
3917920,8.59,8.39,8.39,TAV1975_ANN_CONUS
3917922,8.98,8.98,8.98,TAV1975_ANN_CONUS
3917946,9.97,7.31,7.3,TAV1975_ANN_CONUS
3917948,9.35,7.03,7.03,TAV1975_ANN_CONUS
3917950,9.55,7.2,7.23,TAV1975_ANN_CONUS
3917956,6.53,6.53,6.53,TAV1975_ANN_CONUS
3917958,6.41,6.41,6.41,TAV1975_ANN_CONUS
3917960,6.4,6.4,6.4,TAV1975_ANN_CONUS
948010089,9.06,8.98,8.98,TAV1975_ANN_CONUS
