COMID,TOT_ECOL3_1,TOT_ECOL3_2,TOT_ECOL3_3,TOT_ECOL3_4,TOT_ECOL3_5,TOT_ECOL3_6,TOT_ECOL3_7,TOT_ECOL3_8,TOT_ECOL3_9,TOT_ECOL3_10,TOT_ECOL3_11,TOT_ECOL3_12,TOT_ECOL3_13,TOT_ECOL3_14,TOT_ECOL3_15,TOT_ECOL3_16,TOT_ECOL3_17,TOT_ECOL3_18,TOT_ECOL3_19,TOT_ECOL3_20,TOT_ECOL3_21,TOT_ECOL3_22,TOT_ECOL3_23,TOT_ECOL3_24,TOT_ECOL3_25,TOT_ECOL3_26,TOT_ECOL3_27,TOT_ECOL3_28,TOT_ECOL3_29,TOT_ECOL3_30,TOT_ECOL3_31,TOT_ECOL3_32,TOT_ECOL3_33,TOT_ECOL3_34,TOT_ECOL3_35,TOT_ECOL3_36,TOT_ECOL3_37,TOT_ECOL3_38,TOT_ECOL3_39,TOT_ECOL3_40,TOT_ECOL3_41,TOT_ECOL3_42,TOT_ECOL3_43,TOT_ECOL3_44,TOT_ECOL3_45,TOT_ECOL3_46,TOT_ECOL3_47,TOT_ECOL3_48,TOT_ECOL3_49,TOT_ECOL3_50,TOT_ECOL3_51,TOT_ECOL3_52,TOT_ECOL3_53,TOT_ECOL3_54,TOT_ECOL3_55,TOT_ECOL3_56,TOT_ECOL3_57,TOT_ECOL3_58,TOT_ECOL3_59,TOT_ECOL3_60,TOT_ECOL3_61,TOT_ECOL3_62,TOT_ECOL3_63,TOT_ECOL3_64,TOT_ECOL3_65,TOT_ECOL3_66,TOT_ECOL3_67,TOT_ECOL3_68,TOT_ECOL3_69,TOT_ECOL3_70,TOT_ECOL3_71,TOT_ECOL3_72,TOT_ECOL3_73,TOT_ECOL3_74,TOT_ECOL3_75,TOT_ECOL3_76,TOT_ECOL3_77,TOT_ECOL3_78,TOT_ECOL3_79,TOT_ECOL3_80,TOT_ECOL3_81,TOT_ECOL3_82,TOT_ECOL3_83,TOT_ECOL3_84,TOT_ECOL3_85,TOT_NODATA,source
3917220,0,0,0,94.35,0,0,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECOL3_TOT_CONUS
3917228,0,0,0,37.52,0,0,0,0,62.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECOL3_TOT_CONUS
3917230,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECOL3_TOT_CONUS
3917244,0,0,0,56.82,0,0,0,0,36.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0,0,0,0,0,ECOL3_TOT_CONUS
3917250,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECOL3_TOT_CONUS
3917256,0,0,0,98.1,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECOL3_TOT_CONUS
3917268,0,0,0,95.84,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECOL3_TOT_CONUS
3917272,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECOL3_TOT_CONUS
3917274,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECOL3_TOT_CONUS
3917276,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECOL3_TOT_CONUS
