COMID,ACC_PHYSIO_0,ACC_PHYSIO_1,ACC_PHYSIO_3,ACC_PHYSIO_4,ACC_PHYSIO_5,ACC_PHYSIO_6,ACC_PHYSIO_7,ACC_PHYSIO_8,ACC_PHYSIO_9,ACC_PHYSIO_10,ACC_PHYSIO_11,ACC_PHYSIO_12,ACC_PHYSIO_13,ACC_PHYSIO_14,ACC_PHYSIO_15,ACC_PHYSIO_16,ACC_PHYSIO_17,ACC_PHYSIO_18,ACC_PHYSIO_19,ACC_PHYSIO_20,ACC_PHYSIO_21,ACC_PHYSIO_22,ACC_PHYSIO_23,ACC_PHYSIO_24,ACC_PHYSIO_25,ACC_PHYSIO_AREA,ACC_NODATA,source
3917286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
3917912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
3917914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
3917916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
3917918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
3917920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
3917922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
3917946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.01,8.99,0,100,0,PHYSIO_ACC_CONUS
3917948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
3917950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.42,5.58,0,100,0,PHYSIO_ACC_CONUS
3917956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
3917958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
3917960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
948010089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_ACC_CONUS
