COMID,ACC_HLR_1,ACC_HLR_2,ACC_HLR_3,ACC_HLR_4,ACC_HLR_5,ACC_HLR_6,ACC_HLR_7,ACC_HLR_8,ACC_HLR_9,ACC_HLR_10,ACC_HLR_11,ACC_HLR_12,ACC_HLR_13,ACC_HLR_14,ACC_HLR_15,ACC_HLR_16,ACC_HLR_17,ACC_HLR_18,ACC_HLR_19,ACC_HLR_20,ACC_NODATA,source
3917070,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.27,0,96.73,0,0,0,0,HLR_ACC_CONUS
3917072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,HLR_ACC_CONUS
3917082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,99.58,0,0,0,0,0,0,HLR_ACC_CONUS
3917084,0,0,0,0,0,0,0,0,0,0,0,3.76,0,1.73,94.33,0,0.18,0,0,0,0,HLR_ACC_CONUS
3917106,0,0,0,0,0,0,0,0,0,0,0,2.11,0,1.37,96.13,0,0.39,0,0,0,0,HLR_ACC_CONUS
3917114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,98.46,0,0,0,0,HLR_ACC_CONUS
3917130,0,0,0,0,0,0,0,0,0,0,0,0.93,0,1.31,84.54,0,13.23,0,0,0,-0,HLR_ACC_CONUS
3917136,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,95.53,0,0,0,0,0,0,HLR_ACC_CONUS
3917138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,HLR_ACC_CONUS
3917154,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,1.16,0,98.29,0,0,0,0,HLR_ACC_CONUS
3917156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,HLR_ACC_CONUS
3917158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,HLR_ACC_CONUS
3917160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,HLR_ACC_CONUS
3917162,0,0,0,0,0,0,0,0,0,0,0,0.83,0,1.17,75.53,0,22.48,0,0,0,0,HLR_ACC_CONUS
3917164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,HLR_ACC_CONUS
