COMID,CAT_POPDENS10,NODATA,ACC_POPDENS10,ACC_NODATA,TOT_POPDENS10,TOT_NODATA,source
3917070,0,0,0,0,0,0,POPDENS10_CONUS
3917072,0,0,0,0,0,0,POPDENS10_CONUS
3917082,0,0,0,0,0,0,POPDENS10_CONUS
3917084,0,0,0,0,0,0,POPDENS10_CONUS
3917106,0,0,0,0,0,0,POPDENS10_CONUS
3917114,0,0,0,0,0,0,POPDENS10_CONUS
3917130,0,0,0,0,0,0,POPDENS10_CONUS
3917136,0,0,0,0,0,0,POPDENS10_CONUS
3917138,0,0,0,0,0,0,POPDENS10_CONUS
3917154,0,0,0,0,0,0,POPDENS10_CONUS
3917156,0,0,0,0,0,0,POPDENS10_CONUS
3917158,0,0,0,0,0,0,POPDENS10_CONUS
3917160,0,0,0,0,0,0,POPDENS10_CONUS
3917162,0,0,0,0,0,0,POPDENS10_CONUS
3917164,0,0,0,0,0,0,POPDENS10_CONUS
3917172,0,0,0,0,0,0,POPDENS10_CONUS
3917176,0,0,0,0,0,0,POPDENS10_CONUS
3917178,0,0,0,0,0,0,POPDENS10_CONUS
3917194,0,0,0,0,0,0,POPDENS10_CONUS
3917198,0,0,0.01,0,0.01,0,POPDENS10_CONUS
3917200,0,0,0.03,0,0.03,0,POPDENS10_CONUS
3917230,2.57,0,2.57,0,2.57,0,POPDENS10_CONUS
3917244,1.19,0,3.04,0,7.32,0,POPDENS10_CONUS
3917912,0,0,0,0,0,0,POPDENS10_CONUS
3917914,0,0,0,0,0,0,POPDENS10_CONUS
3917916,0,0,0,0,0,0,POPDENS10_CONUS
3917918,0.14,0,0.01,0,0.01,0,POPDENS10_CONUS
3917920,0.02,0,0.01,0,0.01,0,POPDENS10_CONUS
3917922,0.19,0,0.19,0,0.19,0,POPDENS10_CONUS
3917946,2.64,0,3.03,0,7.25,0,POPDENS10_CONUS
3917948,2.58,0,0.08,0,0.08,0,POPDENS10_CONUS
3917950,1.11,0,3.08,0,7.4,0,POPDENS10_CONUS
948010089,1.33,0,0.29,0,0.29,0,POPDENS10_CONUS
