COMID,CAT_TAV1997_ANN,ACC_TAV1997_ANN,TOT_TAV1997_ANN,source
3917070,6.23,6.23,6.23,TAV1997_ANN_CONUS
3917072,6.42,6.42,6.42,TAV1997_ANN_CONUS
3917082,6.07,6.07,6.07,TAV1997_ANN_CONUS
3917084,5.85,5.85,5.85,TAV1997_ANN_CONUS
3917106,6.24,6.01,6.01,TAV1997_ANN_CONUS
3917114,6.54,6.54,6.54,TAV1997_ANN_CONUS
3917130,6.42,6.59,6.59,TAV1997_ANN_CONUS
3917136,6.56,6.56,6.56,TAV1997_ANN_CONUS
3917138,6.87,6.87,6.87,TAV1997_ANN_CONUS
3917154,6.45,6.41,6.41,TAV1997_ANN_CONUS
3917156,7.07,7.07,7.07,TAV1997_ANN_CONUS
3917158,9.9,9.9,9.9,TAV1997_ANN_CONUS
3917160,9.55,9.55,9.55,TAV1997_ANN_CONUS
3917162,6.93,6.62,6.62,TAV1997_ANN_CONUS
3917164,8.44,8.44,8.44,TAV1997_ANN_CONUS
3917172,7.48,7.48,7.48,TAV1997_ANN_CONUS
3917176,8.15,6.81,6.81,TAV1997_ANN_CONUS
3917178,7.6,6.7,6.7,TAV1997_ANN_CONUS
3917194,7,7,7,TAV1997_ANN_CONUS
3917198,10.2,7.29,7.29,TAV1997_ANN_CONUS
3917200,10.66,7.49,7.49,TAV1997_ANN_CONUS
3917212,8.73,8.73,8.73,TAV1997_ANN_CONUS
3917214,9.88,9.88,9.88,TAV1997_ANN_CONUS
3917218,10.09,8.97,8.97,TAV1997_ANN_CONUS
3917220,10.15,9.05,9.05,TAV1997_ANN_CONUS
3917228,10.15,10.15,10.15,TAV1997_ANN_CONUS
3917230,11.27,11.27,11.27,TAV1997_ANN_CONUS
3917244,11.29,8.67,8.79,TAV1997_ANN_CONUS
3917250,8.57,8.57,8.57,TAV1997_ANN_CONUS
3917256,10.15,8.24,8.24,TAV1997_ANN_CONUS
3917268,10.15,8.32,8.32,TAV1997_ANN_CONUS
3917272,8.88,7.86,7.86,TAV1997_ANN_CONUS
3917274,10.16,10.16,10.16,TAV1997_ANN_CONUS
3917276,8.84,8.06,8.06,TAV1997_ANN_CONUS
3917278,9.33,8.3,8.3,TAV1997_ANN_CONUS
3917280,10.15,8.79,8.79,TAV1997_ANN_CONUS
3917282,9.68,8.51,8.51,TAV1997_ANN_CONUS
3917284,10.23,8.66,8.66,TAV1997_ANN_CONUS
3917286,10.22,10.22,10.22,TAV1997_ANN_CONUS
3917912,7.2,6.63,6.63,TAV1997_ANN_CONUS
3917914,7.35,7.23,7.23,TAV1997_ANN_CONUS
3917916,6.75,7.01,7.01,TAV1997_ANN_CONUS
3917918,9.06,7.12,7.12,TAV1997_ANN_CONUS
3917920,9.94,9.72,9.72,TAV1997_ANN_CONUS
3917922,10.43,10.43,10.43,TAV1997_ANN_CONUS
3917946,11.6,8.73,8.83,TAV1997_ANN_CONUS
3917948,10.78,7.56,7.56,TAV1997_ANN_CONUS
3917950,11.08,8.62,8.76,TAV1997_ANN_CONUS
3917956,7.36,7.36,7.36,TAV1997_ANN_CONUS
3917958,7.66,7.66,7.66,TAV1997_ANN_CONUS
3917960,7.82,7.82,7.82,TAV1997_ANN_CONUS
948010089,10.53,10.44,10.44,TAV1997_ANN_CONUS
