COMID,CAT_PPT1996_ANN,ACC_PPT1996_ANN,TOT_PPT1996_ANN,source
3917070,1165.56,1165.56,1165.56,PPT1996_ANN_CONUS
3917072,1126.92,1126.92,1126.92,PPT1996_ANN_CONUS
3917082,1144.2,1144.2,1144.2,PPT1996_ANN_CONUS
3917084,1168.44,1168.44,1168.44,PPT1996_ANN_CONUS
3917106,1095.48,1139.28,1139.28,PPT1996_ANN_CONUS
3917114,1089,1089,1089,PPT1996_ANN_CONUS
3917130,1035.24,1059.84,1059.84,PPT1996_ANN_CONUS
3917136,1017.36,1017.36,1017.36,PPT1996_ANN_CONUS
3917138,916.44,916.44,916.44,PPT1996_ANN_CONUS
3917154,1113.48,1123.08,1123.08,PPT1996_ANN_CONUS
3917156,1048.08,1048.08,1048.08,PPT1996_ANN_CONUS
3917158,759,759,759,PPT1996_ANN_CONUS
3917160,808.32,808.32,808.32,PPT1996_ANN_CONUS
3917162,1004.64,1055.88,1055.88,PPT1996_ANN_CONUS
3917164,969.84,969.84,969.84,PPT1996_ANN_CONUS
3917172,1040.64,1040.64,1040.64,PPT1996_ANN_CONUS
3917176,1016.88,1055.16,1055.16,PPT1996_ANN_CONUS
3917178,1028.52,1057.92,1057.92,PPT1996_ANN_CONUS
3917194,1087.56,1087.56,1087.56,PPT1996_ANN_CONUS
3917198,730.44,1016.52,1016.52,PPT1996_ANN_CONUS
3917200,660.72,997.2,997.2,PPT1996_ANN_CONUS
3917212,971.76,971.76,971.76,PPT1996_ANN_CONUS
3917214,766.56,766.56,766.56,PPT1996_ANN_CONUS
3917218,734.64,928.92,928.92,PPT1996_ANN_CONUS
3917220,729,915.12,915.12,PPT1996_ANN_CONUS
3917228,729,729,729,PPT1996_ANN_CONUS
3917230,616.68,616.68,616.68,PPT1996_ANN_CONUS
3917244,611.88,1047.24,1104.12,PPT1996_ANN_CONUS
3917250,1020.24,1020.24,1020.24,PPT1996_ANN_CONUS
3917256,729,1101.48,1101.48,PPT1996_ANN_CONUS
3917268,729,1086.24,1086.24,PPT1996_ANN_CONUS
3917272,941.52,1186.44,1186.44,PPT1996_ANN_CONUS
3917274,730.8,730.8,730.8,PPT1996_ANN_CONUS
3917276,1071.48,1232.28,1232.28,PPT1996_ANN_CONUS
3917278,902.64,1170.12,1170.12,PPT1996_ANN_CONUS
3917280,730.32,1059.36,1059.36,PPT1996_ANN_CONUS
3917282,872.28,1124.04,1124.04,PPT1996_ANN_CONUS
3917284,737.28,1088.52,1088.52,PPT1996_ANN_CONUS
3917286,736.92,736.92,736.92,PPT1996_ANN_CONUS
3917912,1020.6,1060.08,1060.08,PPT1996_ANN_CONUS
3917914,894.84,912.72,912.72,PPT1996_ANN_CONUS
3917916,992.28,1013.16,1013.16,PPT1996_ANN_CONUS
3917918,872.4,1033.2,1033.2,PPT1996_ANN_CONUS
3917920,755.88,784.68,784.68,PPT1996_ANN_CONUS
3917922,720.36,720.36,720.36,PPT1996_ANN_CONUS
3917946,668.88,1038.6,1096.92,PPT1996_ANN_CONUS
3917948,643.68,990.6,990.6,PPT1996_ANN_CONUS
3917950,619.08,1055.04,1110.48,PPT1996_ANN_CONUS
3917956,1305.12,1305.12,1305.12,PPT1996_ANN_CONUS
3917958,1308.6,1308.6,1308.6,PPT1996_ANN_CONUS
3917960,1283.76,1283.76,1283.76,PPT1996_ANN_CONUS
948010089,706.8,719.16,719.16,PPT1996_ANN_CONUS
