ID,COMID,CAT_TAV_JAN_2017,CAT_TAV_FEB_2017,CAT_TAV_MAR_2017,CAT_TAV_APR_2017,CAT_TAV_MAY_2017,CAT_TAV_JUN_2017,CAT_TAV_JUL_2017,CAT_TAV_AUG_2017,CAT_TAV_SEP_2017,CAT_TAV_OCT_2017,CAT_TAV_NOV_2017,CAT_TAV_DEC_2017,source
406322,3917070,-2.02,0.55,2.97,3.22,10.27,14.4,20.74,21.24,15.36,8.68,2.38,1.9,CAT_TAV_2017
406323,3917072,-1.97,0.62,3.06,3.32,10.39,14.51,20.87,21.37,15.47,8.78,2.45,1.9,CAT_TAV_2017
406328,3917082,-2.8,-0.16,1.99,2.05,9.18,13.34,19.82,20.1,14.13,7.78,1.83,1.14,CAT_TAV_2017
406329,3917084,-2.29,0.23,2.55,2.65,9.79,13.91,20.21,20.6,14.76,8.21,2.22,1.46,CAT_TAV_2017
406340,3917106,-2.28,0.47,2.81,2.83,9.94,14.07,20.44,20.79,14.82,8.35,2.38,1.5,CAT_TAV_2017
406344,3917114,-1.7,1.08,3.6,3.77,10.88,14.99,21.1,21.57,15.72,9,2.97,1.89,CAT_TAV_2017
406352,3917130,-1.51,1.43,4.08,4.08,11.17,15.27,21.39,21.8,15.85,9.2,3.2,2.04,CAT_TAV_2017
406355,3917136,-2.11,0.82,3.18,3.17,10.23,14.35,20.79,21.14,15.09,8.64,2.67,1.65,CAT_TAV_2017
406356,3917138,-1.13,2.13,4.8,4.7,11.7,15.75,22.08,22.56,16.42,9.81,3.81,2.36,CAT_TAV_2017
406364,3917154,-1.85,0.82,3.3,3.54,10.61,14.73,21,21.49,15.6,8.9,2.67,1.91,CAT_TAV_2017
406365,3917156,-1.34,1.76,4.41,4.67,11.7,15.84,21.86,22.34,16.45,9.65,3.56,2.19,CAT_TAV_2017
406366,3917158,-0.54,3.96,6.63,7.31,13.88,18.33,23.58,23.73,17.82,10.74,5.79,1.94,CAT_TAV_2017
406367,3917160,-0.42,3.85,6.55,7.11,13.74,18.14,23.46,23.72,17.78,10.84,5.53,2.14,CAT_TAV_2017
406368,3917162,-1.24,1.97,4.7,4.78,11.83,15.96,21.93,22.36,16.42,9.68,3.7,2.23,CAT_TAV_2017
406369,3917164,-0.59,2.93,5.65,6.11,13.01,17.25,23.07,23.53,17.54,10.57,4.69,2.24,CAT_TAV_2017
406373,3917172,-1.2,1.92,4.52,4.9,11.86,16.05,22.09,22.56,16.61,9.77,3.73,2.1,CAT_TAV_2017
406375,3917176,-0.99,2.57,5.23,5.6,12.49,16.69,22.39,22.76,16.84,10.05,4.37,2.24,CAT_TAV_2017
406376,3917178,-1.16,2.21,4.88,5.16,12.14,16.3,22.1,22.54,16.65,9.86,3.99,2.24,CAT_TAV_2017
406383,3917194,-1.94,0.75,3.24,3.19,10.37,14.43,20.84,21.21,15.29,8.66,2.59,1.69,CAT_TAV_2017
406384,3917198,-0.55,4,6.66,7.36,13.9,18.38,23.61,23.74,17.87,10.74,5.84,1.88,CAT_TAV_2017
406385,3917200,-0.56,3.99,6.65,7.35,13.91,18.36,23.58,23.74,17.83,10.72,5.83,1.87,CAT_TAV_2017
406388,3917212,-0.83,2.78,5.4,5.77,12.61,16.91,22.5,22.85,16.95,10.13,4.56,2.07,CAT_TAV_2017
406389,3917214,-0.51,3.86,6.53,7.06,13.73,18.14,23.4,23.71,17.76,10.65,5.62,1.77,CAT_TAV_2017
406391,3917218,-0.67,4.08,6.72,7.38,13.95,18.4,23.51,23.78,17.8,10.58,5.84,1.55,CAT_TAV_2017
406392,3917220,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,CAT_TAV_2017
406395,3917228,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,CAT_TAV_2017
406396,3917230,-0.81,4.51,7.13,7.72,14.32,18.95,24.12,24.22,18.23,10.65,6.05,0.83,CAT_TAV_2017
406398,3917244,-0.83,4.52,7.15,7.74,14.33,18.96,24.11,24.24,18.22,10.68,6.02,0.85,CAT_TAV_2017
406399,3917250,-0.98,2.4,4.98,5.26,12.18,16.45,22.13,22.52,16.64,9.88,4.16,2.04,CAT_TAV_2017
406402,3917256,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,CAT_TAV_2017
406406,3917268,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,CAT_TAV_2017
406408,3917272,-0.56,3.2,5.87,6.23,13.05,17.39,22.89,23.25,17.35,10.44,4.97,2.04,CAT_TAV_2017
406409,3917274,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,CAT_TAV_2017
406410,3917276,-0.41,2.67,5.36,5.61,12.71,16.94,22.72,23.14,17.29,10.39,4.54,2.28,CAT_TAV_2017
406411,3917278,-0.43,3.22,5.92,6.29,13.19,17.51,23.05,23.42,17.53,10.54,5.05,2.07,CAT_TAV_2017
406412,3917280,-0.66,4.1,6.74,7.39,13.97,18.41,23.5,23.79,17.81,10.57,5.85,1.53,CAT_TAV_2017
406413,3917282,-0.49,3.75,6.43,6.94,13.67,18.05,23.27,23.63,17.71,10.6,5.56,1.86,CAT_TAV_2017
406414,3917284,-0.47,4.17,6.85,7.44,14.04,18.47,23.48,23.82,17.88,10.72,5.95,1.75,CAT_TAV_2017
406415,3917286,-0.47,4.17,6.85,7.44,14.04,18.47,23.48,23.82,17.88,10.72,5.95,1.75,CAT_TAV_2017
406496,3917912,-1.19,2.05,4.74,5.01,12.03,16.18,22.1,22.58,16.69,9.86,3.84,2.27,CAT_TAV_2017
406497,3917914,-1.24,2.05,4.7,4.53,11.52,15.61,21.9,22.36,16.34,9.7,3.73,2.19,CAT_TAV_2017
406498,3917916,-1.49,1.59,4.22,4.13,11.18,15.25,21.5,21.93,15.9,9.3,3.29,2.12,CAT_TAV_2017
406499,3917918,-0.68,3.42,6.09,6.65,13.35,17.69,23.12,23.36,17.43,10.49,5.25,2.09,CAT_TAV_2017
406500,3917920,-0.55,3.99,6.66,7.36,13.9,18.37,23.6,23.74,17.86,10.74,5.84,1.89,CAT_TAV_2017
406501,3917922,-0.54,4.15,6.79,7.48,13.9,18.55,23.71,23.82,18.08,10.84,5.97,1.64,CAT_TAV_2017
406511,3917946,-0.49,4.72,7.42,8.03,14.79,19.28,24.34,24.55,18.48,10.95,6.15,0.99,CAT_TAV_2017
406512,3917948,-0.89,4.3,6.93,7.54,13.95,18.61,23.74,23.89,17.91,10.52,5.92,1.16,CAT_TAV_2017
406513,3917950,-0.88,4.45,7.06,7.68,14.13,18.78,23.93,24.08,18.1,10.61,5.99,0.98,CAT_TAV_2017
406516,3917956,-2.45,0.09,2.4,2.41,9.56,13.66,19.82,20.23,14.42,7.98,1.84,1.66,CAT_TAV_2017
406517,3917958,-2.23,0.39,2.69,2.67,9.84,13.94,20.07,20.49,14.66,8.21,2.04,1.89,CAT_TAV_2017
406518,3917960,-2.06,0.58,2.91,2.86,10.06,14.17,20.29,20.7,14.87,8.38,2.23,1.93,CAT_TAV_2017
