COMID,CAT_TAV1972_ANN,ACC_TAV1972_ANN,TOT_TAV1972_ANN,source
3917070,7.4,7.4,7.4,TAV1972_ANN_CONUS
3917072,7.55,7.55,7.55,TAV1972_ANN_CONUS
3917082,6.99,6.99,6.99,TAV1972_ANN_CONUS
3917084,6.84,6.84,6.84,TAV1972_ANN_CONUS
3917106,7.11,6.96,6.96,TAV1972_ANN_CONUS
3917114,7.29,7.29,7.29,TAV1972_ANN_CONUS
3917130,7.36,7.25,7.25,TAV1972_ANN_CONUS
3917136,7.22,7.22,7.22,TAV1972_ANN_CONUS
3917138,7.35,7.35,7.35,TAV1972_ANN_CONUS
3917154,7.44,7.43,7.43,TAV1972_ANN_CONUS
3917156,7.76,7.76,7.76,TAV1972_ANN_CONUS
3917158,9.02,9.02,9.02,TAV1972_ANN_CONUS
3917160,8.8,8.8,8.8,TAV1972_ANN_CONUS
3917162,7.66,7.28,7.28,TAV1972_ANN_CONUS
3917164,8.31,8.31,8.31,TAV1972_ANN_CONUS
3917172,7.96,7.96,7.96,TAV1972_ANN_CONUS
3917176,8.14,7.44,7.44,TAV1972_ANN_CONUS
3917178,7.91,7.37,7.37,TAV1972_ANN_CONUS
3917194,7.37,7.37,7.37,TAV1972_ANN_CONUS
3917198,9.35,7.69,7.69,TAV1972_ANN_CONUS
3917200,9.84,7.81,7.81,TAV1972_ANN_CONUS
3917212,8.3,8.3,8.3,TAV1972_ANN_CONUS
3917214,9.25,9.25,9.25,TAV1972_ANN_CONUS
3917218,9.41,8.5,8.5,TAV1972_ANN_CONUS
3917220,9.51,8.57,8.57,TAV1972_ANN_CONUS
3917228,9.51,9.51,9.51,TAV1972_ANN_CONUS
3917230,10.46,10.46,10.46,TAV1972_ANN_CONUS
3917244,10.39,7.86,7.83,TAV1972_ANN_CONUS
3917250,8.13,8.13,8.13,TAV1972_ANN_CONUS
3917256,9.51,7.94,7.94,TAV1972_ANN_CONUS
3917268,9.51,8.01,8.01,TAV1972_ANN_CONUS
3917272,8.35,7.66,7.66,TAV1972_ANN_CONUS
3917274,9.48,9.48,9.48,TAV1972_ANN_CONUS
3917276,8,7.34,7.34,TAV1972_ANN_CONUS
3917278,8.61,7.58,7.58,TAV1972_ANN_CONUS
3917280,9.48,8.05,8.05,TAV1972_ANN_CONUS
3917282,8.83,7.77,7.77,TAV1972_ANN_CONUS
3917284,9.37,7.92,7.92,TAV1972_ANN_CONUS
3917286,9.37,9.37,9.37,TAV1972_ANN_CONUS
3917912,7.81,7.33,7.33,TAV1972_ANN_CONUS
3917914,7.54,7.49,7.49,TAV1972_ANN_CONUS
3917916,7.41,7.41,7.41,TAV1972_ANN_CONUS
3917918,8.62,7.6,7.6,TAV1972_ANN_CONUS
3917920,9.05,8.91,8.91,TAV1972_ANN_CONUS
3917922,9.48,9.48,9.48,TAV1972_ANN_CONUS
3917946,10.68,7.92,7.88,TAV1972_ANN_CONUS
3917948,9.93,7.85,7.85,TAV1972_ANN_CONUS
3917950,10.15,7.81,7.8,TAV1972_ANN_CONUS
3917956,7.33,7.33,7.33,TAV1972_ANN_CONUS
3917958,7.13,7.13,7.13,TAV1972_ANN_CONUS
3917960,7.07,7.07,7.07,TAV1972_ANN_CONUS
948010089,9.57,9.49,9.49,TAV1972_ANN_CONUS
