COMID,CAT_ROCKTYPE_100,CAT_ROCKTYPE_200,CAT_ROCKTYPE_300,CAT_ROCKTYPE_400,CAT_ROCKTYPE_500,CAT_ROCKTYPE_600,CAT_ROCKTYPE_999,CAT_ROCKTYPE_NODATA,ACC_ROCKTYPE_100,ACC_ROCKTYPE_200,ACC_ROCKTYPE_300,ACC_ROCKTYPE_400,ACC_ROCKTYPE_500,ACC_ROCKTYPE_600,ACC_ROCKTYPE_999,ACC_ROCKTYPE_NODATA,TOT_ROCKTYPE_100,TOT_ROCKTYPE_200,TOT_ROCKTYPE_300,TOT_ROCKTYPE_400,TOT_ROCKTYPE_500,TOT_ROCKTYPE_600,TOT_ROCKTYPE_999,TOT_ROCKTYPE_NODATA,source
3917176,0,0,0,0,0,82.8,17.2,0,0,0,0,0,0,90.81,9.19,0,0,0,0,0,0,90.81,9.19,0,ROCK_TYPES_CONUS
3917178,0,0,0,0,0,91.01,8.99,0,0,0,0,0,0,96.65,3.35,0,0,0,0,0,0,96.65,3.35,0,ROCK_TYPES_CONUS
3917194,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,ROCK_TYPES_CONUS
3917198,0,0,0,0,0,65.41,34.59,0,0,0,0,0,0,77.73,22.27,0,0,0,0,0,0,77.73,22.27,0,ROCK_TYPES_CONUS
3917200,0,0,0,0,0,61.17,38.83,0,0,0,0,0,0,72.71,27.29,0,0,0,0,0,0,72.71,27.29,0,ROCK_TYPES_CONUS
3917212,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,ROCK_TYPES_CONUS
3917214,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,ROCK_TYPES_CONUS
3917218,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,ROCK_TYPES_CONUS
3917220,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,ROCK_TYPES_CONUS
3917228,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,ROCK_TYPES_CONUS
3917230,24.49,0,0,0,0,0,75.51,0,24.49,0,0,0,0,0,75.51,0,24.49,0,0,0,0,0,75.51,0,ROCK_TYPES_CONUS
3917244,6.41,0,0,0,0,51.36,42.23,0,3.12,0,0,0,0,53.29,43.6,0,5.12,0,0,0,0,38.66,56.23,0,ROCK_TYPES_CONUS
3917250,0,0,0,0,0,3.74,96.26,0,0,0,0,0,0,3.74,96.26,0,0,0,0,0,0,3.74,96.26,0,ROCK_TYPES_CONUS
3917256,0,0,0,0,0,24.22,75.78,0,0,0,0,0,0,33.59,66.41,0,0,0,0,0,0,33.59,66.41,0,ROCK_TYPES_CONUS
