ID,COMID,TOT_TAV_JAN_2017,TOT_TAV_FEB_2017,TOT_TAV_MAR_2017,TOT_TAV_APR_2017,TOT_TAV_MAY_2017,TOT_TAV_JUN_2017,TOT_TAV_JUL_2017,TOT_TAV_AUG_2017,TOT_TAV_SEP_2017,TOT_TAV_OCT_2017,TOT_TAV_NOV_2017,TOT_TAV_DEC_2017,source
406322,3917070,-2.02,0.55,2.97,3.22,10.27,14.4,20.74,21.24,15.36,8.68,2.38,1.9,TOT_TAV_2017
406323,3917072,-1.97,0.62,3.06,3.32,10.39,14.51,20.87,21.37,15.47,8.78,2.45,1.9,TOT_TAV_2017
406328,3917082,-2.8,-0.16,1.99,2.05,9.18,13.34,19.82,20.1,14.13,7.78,1.83,1.14,TOT_TAV_2017
406329,3917084,-2.29,0.23,2.55,2.65,9.79,13.91,20.21,20.6,14.76,8.21,2.22,1.46,TOT_TAV_2017
406340,3917106,-2.32,0.3,2.62,2.68,9.82,13.94,20.28,20.65,14.75,8.24,2.26,1.46,TOT_TAV_2017
406344,3917114,-1.7,1.08,3.6,3.77,10.88,14.99,21.1,21.57,15.72,9,2.97,1.89,TOT_TAV_2017
406352,3917130,-1.88,0.96,3.44,3.41,10.52,14.62,20.93,21.33,15.38,8.8,2.79,1.77,TOT_TAV_2017
406355,3917136,-2.11,0.82,3.18,3.17,10.23,14.35,20.79,21.14,15.09,8.64,2.67,1.65,TOT_TAV_2017
406356,3917138,-1.13,2.13,4.8,4.7,11.7,15.75,22.08,22.56,16.42,9.81,3.81,2.36,TOT_TAV_2017
406364,3917154,-1.89,0.77,3.24,3.48,10.55,14.67,20.95,21.44,15.56,8.86,2.62,1.91,TOT_TAV_2017
406365,3917156,-1.34,1.76,4.41,4.67,11.7,15.84,21.86,22.34,16.45,9.65,3.56,2.19,TOT_TAV_2017
406366,3917158,-0.54,3.96,6.63,7.31,13.88,18.33,23.58,23.73,17.82,10.74,5.79,1.94,TOT_TAV_2017
406367,3917160,-0.42,3.85,6.55,7.11,13.74,18.14,23.46,23.72,17.78,10.84,5.53,2.14,TOT_TAV_2017
406368,3917162,-1.82,1.05,3.55,3.54,10.64,14.74,21.02,21.42,15.48,8.87,2.87,1.81,TOT_TAV_2017
406369,3917164,-0.59,2.93,5.65,6.11,13.01,17.25,23.07,23.53,17.54,10.57,4.69,2.24,TOT_TAV_2017
