COMID,CAT_HDENS00,NODATA,ACC_HDENS00,ACC_NODATA,TOT_HDENS00,TOT_NODATA,source
3917070,0,0,0,0,0,0,HDENS00_CONUS
3917072,0,0,0,0,0,0,HDENS00_CONUS
3917082,0,0,0,0,0,0,HDENS00_CONUS
3917084,0,0,0,0,0,0,HDENS00_CONUS
3917106,0,0,0,0,0,0,HDENS00_CONUS
3917114,0,0,0,0,0,0,HDENS00_CONUS
3917130,0.1,0,0.01,0,0.01,0,HDENS00_CONUS
3917136,0,0,0,0,0,0,HDENS00_CONUS
3917138,0,0,0,0,0,0,HDENS00_CONUS
3917154,0.07,0,0.06,0,0.06,0,HDENS00_CONUS
3917156,0,0,0,0,0,0,HDENS00_CONUS
3917158,1,0,1,0,1,0,HDENS00_CONUS
3917160,1,0,1,0,1,0,HDENS00_CONUS
3917162,0,0,0.01,0,0.01,0,HDENS00_CONUS
3917164,1,0,1,0,1,0,HDENS00_CONUS
3917172,0.64,0,0.64,0,0.64,0,HDENS00_CONUS
3917176,0.62,0,0.09,0,0.09,0,HDENS00_CONUS
3917178,0.25,0,0.03,0,0.03,0,HDENS00_CONUS
3917194,0,0,0,0,0,0,HDENS00_CONUS
3917198,1.26,0,0.29,0,0.29,0,HDENS00_CONUS
3917200,1.5,0,0.33,0,0.33,0,HDENS00_CONUS
3917230,1.29,0,1.29,0,1.29,0,HDENS00_CONUS
3917244,1.27,0,1.6,0,2.83,0,HDENS00_CONUS
3917912,0.03,0,0.02,0,0.02,0,HDENS00_CONUS
3917914,0,0,0,0,0,0,HDENS00_CONUS
3917916,0,0,0,0,0,0,HDENS00_CONUS
3917918,1.09,0,0.24,0,0.24,0,HDENS00_CONUS
3917920,0.89,0,0.97,0,0.97,0,HDENS00_CONUS
3917922,0.97,0,0.97,0,0.97,0,HDENS00_CONUS
3917946,0.87,0,1.59,0,2.8,0,HDENS00_CONUS
3917948,1.5,0,0.36,0,0.36,0,HDENS00_CONUS
3917950,1.93,0,1.61,0,2.85,0,HDENS00_CONUS
948010089,0.92,0,0.97,0,0.97,0,HDENS00_CONUS
