COMID,CAT_PPT1956_ANN,ACC_PPT1956_ANN,TOT_PPT1956_ANN,source
3917070,813.48,813.48,813.48,PPT1956_ANN_CONUS
3917072,796.8,796.8,796.8,PPT1956_ANN_CONUS
3917082,750.6,750.6,750.6,PPT1956_ANN_CONUS
3917084,757.92,757.92,757.92,PPT1956_ANN_CONUS
3917106,717,741.84,741.84,PPT1956_ANN_CONUS
3917114,706.32,706.32,706.32,PPT1956_ANN_CONUS
3917130,672,690.6,690.6,PPT1956_ANN_CONUS
3917136,662.52,662.52,662.52,PPT1956_ANN_CONUS
3917138,588.96,588.96,588.96,PPT1956_ANN_CONUS
3917154,761.52,771.24,771.24,PPT1956_ANN_CONUS
3917156,710.64,710.64,710.64,PPT1956_ANN_CONUS
3917158,501.96,501.96,501.96,PPT1956_ANN_CONUS
3917160,539.52,539.52,539.52,PPT1956_ANN_CONUS
3917162,656.16,688.08,688.08,PPT1956_ANN_CONUS
3917164,676.56,676.56,676.56,PPT1956_ANN_CONUS
3917172,728.76,728.76,728.76,PPT1956_ANN_CONUS
3917176,689.52,696.96,696.96,PPT1956_ANN_CONUS
3917178,684.12,694.92,694.92,PPT1956_ANN_CONUS
3917194,713.76,713.76,713.76,PPT1956_ANN_CONUS
3917198,486.12,674.88,674.88,PPT1956_ANN_CONUS
3917200,440.28,662.4,662.4,PPT1956_ANN_CONUS
3917212,675.12,675.12,675.12,PPT1956_ANN_CONUS
3917214,518.76,518.76,518.76,PPT1956_ANN_CONUS
3917218,487.08,641.76,641.76,PPT1956_ANN_CONUS
3917220,483.6,630.84,630.84,PPT1956_ANN_CONUS
3917228,483.6,483.6,483.6,PPT1956_ANN_CONUS
3917230,405.12,405.12,405.12,PPT1956_ANN_CONUS
3917244,409.92,674.04,698.76,PPT1956_ANN_CONUS
3917250,715.8,715.8,715.8,PPT1956_ANN_CONUS
3917256,483.6,761.4,761.4,PPT1956_ANN_CONUS
3917268,483.6,750,750,PPT1956_ANN_CONUS
3917272,663,817.32,817.32,PPT1956_ANN_CONUS
3917274,483,483,483,PPT1956_ANN_CONUS
3917276,777.36,852.6,852.6,PPT1956_ANN_CONUS
3917278,638.4,812.16,812.16,PPT1956_ANN_CONUS
3917280,483.12,730.32,730.32,PPT1956_ANN_CONUS
3917282,603.72,779.76,779.76,PPT1956_ANN_CONUS
3917284,481.32,752.4,752.4,PPT1956_ANN_CONUS
3917286,481.32,481.32,481.32,PPT1956_ANN_CONUS
3917912,677.76,695.16,695.16,PPT1956_ANN_CONUS
3917914,575.64,588.36,588.36,PPT1956_ANN_CONUS
3917916,648.96,661.2,661.2,PPT1956_ANN_CONUS
3917918,588,685.8,685.8,PPT1956_ANN_CONUS
3917920,500.4,521.64,521.64,PPT1956_ANN_CONUS
3917922,483.36,483.36,483.36,PPT1956_ANN_CONUS
3917946,420,668.28,694.2,PPT1956_ANN_CONUS
3917948,429.24,657.96,657.96,PPT1956_ANN_CONUS
3917950,414.96,678.84,702.48,PPT1956_ANN_CONUS
3917956,892.2,892.2,892.2,PPT1956_ANN_CONUS
3917958,891.48,891.48,891.48,PPT1956_ANN_CONUS
3917960,874.92,874.92,874.92,PPT1956_ANN_CONUS
948010089,474.96,482.64,482.64,PPT1956_ANN_CONUS
