COMID,CAT_RUN1992_ANN,ACC_RUN1992_ANN,TOT_RUN1992_ANN,source
3917070,138.72,138.72,138.72,RUN1992_ANN_CONUS
3917072,129,129,129,RUN1992_ANN_CONUS
3917082,118.2,118.2,118.2,RUN1992_ANN_CONUS
3917084,140.28,140.28,140.28,RUN1992_ANN_CONUS
3917106,106.8,126.24,126.24,RUN1992_ANN_CONUS
3917114,109.44,109.44,109.44,RUN1992_ANN_CONUS
3917130,92.76,141.96,141.96,RUN1992_ANN_CONUS
3917136,104.64,104.64,104.64,RUN1992_ANN_CONUS
3917138,100.56,100.56,100.56,RUN1992_ANN_CONUS
3917154,121.92,125.04,125.04,RUN1992_ANN_CONUS
3917156,85.2,85.2,85.2,RUN1992_ANN_CONUS
3917158,12.84,12.84,12.84,RUN1992_ANN_CONUS
3917160,13.44,13.44,13.44,RUN1992_ANN_CONUS
3917162,83.64,136.32,136.32,RUN1992_ANN_CONUS
3917164,29.76,29.76,29.76,RUN1992_ANN_CONUS
3917172,73.44,73.44,73.44,RUN1992_ANN_CONUS
3917176,124.68,125.76,125.76,RUN1992_ANN_CONUS
3917178,114.48,129.72,129.72,RUN1992_ANN_CONUS
3917194,221.88,221.88,221.88,RUN1992_ANN_CONUS
3917198,12.96,106.56,106.56,RUN1992_ANN_CONUS
3917200,12.72,100.56,100.56,RUN1992_ANN_CONUS
3917212,109.56,109.56,109.56,RUN1992_ANN_CONUS
3917214,19.32,19.32,19.32,RUN1992_ANN_CONUS
3917218,13.44,91.56,91.56,RUN1992_ANN_CONUS
3917220,13.56,86.16,86.16,RUN1992_ANN_CONUS
3917228,13.56,13.56,13.56,RUN1992_ANN_CONUS
3917230,10.92,10.92,10.92,RUN1992_ANN_CONUS
3917244,11.28,181.32,221.88,RUN1992_ANN_CONUS
3917250,137.28,137.28,137.28,RUN1992_ANN_CONUS
3917256,13.56,209.76,209.76,RUN1992_ANN_CONUS
3917268,13.56,201.72,201.72,RUN1992_ANN_CONUS
3917272,84.12,269.04,269.04,RUN1992_ANN_CONUS
3917274,13.68,13.68,13.68,RUN1992_ANN_CONUS
3917276,71.64,291.6,291.6,RUN1992_ANN_CONUS
3917278,36.24,243.48,243.48,RUN1992_ANN_CONUS
3917280,13.56,178.68,178.68,RUN1992_ANN_CONUS
3917282,30.36,211.44,211.44,RUN1992_ANN_CONUS
3917284,14.16,193.32,193.32,RUN1992_ANN_CONUS
3917286,14.04,14.04,14.04,RUN1992_ANN_CONUS
3917912,77.76,132.12,132.12,RUN1992_ANN_CONUS
3917914,99.6,100.32,100.32,RUN1992_ANN_CONUS
3917916,125.04,163.44,163.44,RUN1992_ANN_CONUS
3917918,54.84,113.28,113.28,RUN1992_ANN_CONUS
3917920,12.84,13.08,13.08,RUN1992_ANN_CONUS
3917922,12.6,12.6,12.6,RUN1992_ANN_CONUS
3917946,11.28,177.6,218.4,RUN1992_ANN_CONUS
3917948,12.48,98.88,98.88,RUN1992_ANN_CONUS
3917950,12,184.44,224.64,RUN1992_ANN_CONUS
3917956,358.68,358.68,358.68,RUN1992_ANN_CONUS
3917958,387.12,387.12,387.12,RUN1992_ANN_CONUS
3917960,367.44,367.44,367.44,RUN1992_ANN_CONUS
948010089,12.6,12.6,12.6,RUN1992_ANN_CONUS
