COMID,CAT_RUN1949_ANN,ACC_RUN1949_ANN,TOT_RUN1949_ANN,source
3917070,250.68,250.68,250.68,RUN1949_ANN_CONUS
3917072,236.4,236.4,236.4,RUN1949_ANN_CONUS
3917082,240.24,240.24,240.24,RUN1949_ANN_CONUS
3917084,256.08,256.08,256.08,RUN1949_ANN_CONUS
3917106,217.68,240.6,240.6,RUN1949_ANN_CONUS
3917114,190.2,190.2,190.2,RUN1949_ANN_CONUS
3917130,180.48,217.56,217.56,RUN1949_ANN_CONUS
3917136,196.8,196.8,196.8,RUN1949_ANN_CONUS
3917138,166.08,166.08,166.08,RUN1949_ANN_CONUS
3917154,219.24,225.12,225.12,RUN1949_ANN_CONUS
3917156,153.72,153.72,153.72,RUN1949_ANN_CONUS
3917158,15.6,15.6,15.6,RUN1949_ANN_CONUS
3917160,30.12,30.12,30.12,RUN1949_ANN_CONUS
3917162,148.44,211.08,211.08,RUN1949_ANN_CONUS
3917164,75.24,75.24,75.24,RUN1949_ANN_CONUS
3917172,146.64,146.64,146.64,RUN1949_ANN_CONUS
3917176,157.68,198,198,RUN1949_ANN_CONUS
3917178,155.64,203.52,203.52,RUN1949_ANN_CONUS
3917194,252.24,252.24,252.24,RUN1949_ANN_CONUS
3917198,12.36,168.72,168.72,RUN1949_ANN_CONUS
3917200,9.36,158.4,158.4,RUN1949_ANN_CONUS
3917212,147.72,147.72,147.72,RUN1949_ANN_CONUS
3917214,33.12,33.12,33.12,RUN1949_ANN_CONUS
3917218,14.88,123.72,123.72,RUN1949_ANN_CONUS
3917220,14.76,116.16,116.16,RUN1949_ANN_CONUS
3917228,14.76,14.76,14.76,RUN1949_ANN_CONUS
3917230,6.84,6.84,6.84,RUN1949_ANN_CONUS
3917244,7.08,208.08,245.76,RUN1949_ANN_CONUS
3917250,182.64,182.64,182.64,RUN1949_ANN_CONUS
3917256,14.76,247.44,247.44,RUN1949_ANN_CONUS
3917268,14.76,237.96,237.96,RUN1949_ANN_CONUS
3917272,130.8,307.44,307.44,RUN1949_ANN_CONUS
3917274,15.72,15.72,15.72,RUN1949_ANN_CONUS
3917276,191.52,322.44,322.44,RUN1949_ANN_CONUS
3917278,101.4,280.8,280.8,RUN1949_ANN_CONUS
3917280,15.48,212.4,212.4,RUN1949_ANN_CONUS
3917282,87.24,251.04,251.04,RUN1949_ANN_CONUS
3917284,19.68,229.8,229.8,RUN1949_ANN_CONUS
3917286,19.44,19.44,19.44,RUN1949_ANN_CONUS
3917912,133.68,208.08,208.08,RUN1949_ANN_CONUS
3917914,149.64,156.6,156.6,RUN1949_ANN_CONUS
3917916,196.2,210.72,210.72,RUN1949_ANN_CONUS
3917918,75.12,179.04,179.04,RUN1949_ANN_CONUS
3917920,15.12,23.28,23.28,RUN1949_ANN_CONUS
3917922,10.8,10.8,10.8,RUN1949_ANN_CONUS
3917946,7.2,203.52,241.92,RUN1949_ANN_CONUS
3917948,8.28,155.52,155.52,RUN1949_ANN_CONUS
3917950,7.68,211.68,248.88,RUN1949_ANN_CONUS
3917956,393,393,393,RUN1949_ANN_CONUS
3917958,383.52,383.52,383.52,RUN1949_ANN_CONUS
3917960,365.04,365.04,365.04,RUN1949_ANN_CONUS
948010089,7.92,10.56,10.56,RUN1949_ANN_CONUS
