COMID,CAT_SOILS_C_P,NODATA,ACC_SOILS_C_P,ACC_NODATA,TOT_SOILS_C_P,TOT_NODATA,source
3917070,868.89,0,868.89,0,868.89,0,SOILS_C_P_CONUS
3917072,860.33,0,860.33,0,860.33,0,SOILS_C_P_CONUS
3917082,875.32,0,875.32,0,875.32,0,SOILS_C_P_CONUS
3917084,886.9,0,886.9,0,886.9,0,SOILS_C_P_CONUS
3917106,864.34,0,877.63,0,877.63,0,SOILS_C_P_CONUS
3917114,867.8,0,867.8,0,867.8,0,SOILS_C_P_CONUS
3917130,855.75,0,849.51,0,849.51,0,SOILS_C_P_CONUS
3917136,849.04,0,849.04,0,849.04,0,SOILS_C_P_CONUS
3917138,843.23,0,843.23,0,843.23,0,SOILS_C_P_CONUS
3917154,862.06,0,863.27,0,863.27,0,SOILS_C_P_CONUS
3917156,845.75,0,845.75,0,845.75,0,SOILS_C_P_CONUS
3917158,816,0,816,0,816,0,SOILS_C_P_CONUS
3917160,820.07,0,820.07,0,820.07,0,SOILS_C_P_CONUS
3917162,845.89,0,849.63,0,849.63,0,SOILS_C_P_CONUS
3917164,833.69,0,833.69,0,833.69,0,SOILS_C_P_CONUS
3917172,848.61,0,848.61,0,848.61,0,SOILS_C_P_CONUS
3917176,825.84,0,848.33,0,848.33,0,SOILS_C_P_CONUS
3917178,832.06,0,849.28,0,849.28,0,SOILS_C_P_CONUS
3917194,824.21,0,824.21,0,824.21,0,SOILS_C_P_CONUS
3917198,790.31,0,842.35,0,842.35,0,SOILS_C_P_CONUS
3917200,789.22,0,839.18,0,839.18,0,SOILS_C_P_CONUS
3917212,811.97,0,811.97,0,811.97,0,SOILS_C_P_CONUS
3917214,803.62,0,803.62,0,803.62,0,SOILS_C_P_CONUS
3917218,798.14,0,809.81,0,809.81,0,SOILS_C_P_CONUS
3917220,788.77,0,808.73,0,808.73,0,SOILS_C_P_CONUS
3917228,794.05,0,794.05,0,794.05,0,SOILS_C_P_CONUS
3917230,696.21,0,696.21,0,696.21,0,SOILS_C_P_CONUS
3917244,723.82,0,778.31,0,746.49,0,SOILS_C_P_CONUS
3917250,806.93,0,806.93,0,806.93,0,SOILS_C_P_CONUS
3917256,791.58,0,807.7,0,807.7,0,SOILS_C_P_CONUS
3917268,785.4,0,806.78,0,806.78,0,SOILS_C_P_CONUS
3917272,798.33,0,810.03,0,810.03,0,SOILS_C_P_CONUS
3917274,788.46,0,788.46,0,788.46,0,SOILS_C_P_CONUS
3917276,792.09,0,799.48,0,799.48,0,SOILS_C_P_CONUS
3917278,789.6,0,797.62,0,797.62,0,SOILS_C_P_CONUS
3917280,783.22,0,793.02,0,793.02,0,SOILS_C_P_CONUS
3917282,783.99,0,795.63,0,795.63,0,SOILS_C_P_CONUS
3917284,778.62,0,794.07,0,794.07,0,SOILS_C_P_CONUS
3917286,776.05,0,776.05,0,776.05,0,SOILS_C_P_CONUS
3917912,842.03,0,850.46,0,850.46,0,SOILS_C_P_CONUS
3917914,826.15,0,829.63,0,829.63,0,SOILS_C_P_CONUS
3917916,841.19,0,829.63,0,829.63,0,SOILS_C_P_CONUS
3917918,815.68,0,844.44,0,844.44,0,SOILS_C_P_CONUS
3917920,798.04,0,813.67,0,813.67,0,SOILS_C_P_CONUS
3917922,794.35,0,794.35,0,794.35,0,SOILS_C_P_CONUS
3917946,676.81,0,776.13,0,745.41,0,SOILS_C_P_CONUS
3917948,778.97,0,838.05,0,838.05,0,SOILS_C_P_CONUS
3917950,753.33,0,779.29,0,746.78,0,SOILS_C_P_CONUS
3917956,815.7,0,815.7,0,815.7,0,SOILS_C_P_CONUS
3917958,805.39,0,805.39,0,805.39,0,SOILS_C_P_CONUS
3917960,800.39,0,800.39,0,800.39,0,SOILS_C_P_CONUS
948010089,785.71,0,793.58,0,793.58,0,SOILS_C_P_CONUS
