COMID,TOT_PHYSIO_0,TOT_PHYSIO_1,TOT_PHYSIO_3,TOT_PHYSIO_4,TOT_PHYSIO_5,TOT_PHYSIO_6,TOT_PHYSIO_7,TOT_PHYSIO_8,TOT_PHYSIO_9,TOT_PHYSIO_10,TOT_PHYSIO_11,TOT_PHYSIO_12,TOT_PHYSIO_13,TOT_PHYSIO_14,TOT_PHYSIO_15,TOT_PHYSIO_16,TOT_PHYSIO_17,TOT_PHYSIO_18,TOT_PHYSIO_19,TOT_PHYSIO_20,TOT_PHYSIO_21,TOT_PHYSIO_22,TOT_PHYSIO_23,TOT_PHYSIO_24,TOT_PHYSIO_25,TOT_PHYSIO_AREA,TOT_NODATA,source
3917286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.37,21.63,0,100,0,PHYSIO_TOT_CONUS
3917948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.45,19.55,0,100,0,PHYSIO_TOT_CONUS
3917956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
3917960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
948010089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,PHYSIO_TOT_CONUS
