COMID,CAT_PPT1947_ANN,ACC_PPT1947_ANN,TOT_PPT1947_ANN,source
3917070,567.12,567.12,567.12,PPT1947_ANN_CONUS
3917072,551.88,551.88,551.88,PPT1947_ANN_CONUS
3917082,544.8,544.8,544.8,PPT1947_ANN_CONUS
3917084,553.32,553.32,553.32,PPT1947_ANN_CONUS
3917106,523.68,541.56,541.56,PPT1947_ANN_CONUS
3917114,516.12,516.12,516.12,PPT1947_ANN_CONUS
3917130,507.12,529.44,529.44,PPT1947_ANN_CONUS
3917136,482.52,482.52,482.52,PPT1947_ANN_CONUS
3917138,432.36,432.36,432.36,PPT1947_ANN_CONUS
3917154,538.32,543.72,543.72,PPT1947_ANN_CONUS
3917156,499.92,499.92,499.92,PPT1947_ANN_CONUS
3917158,316.2,316.2,316.2,PPT1947_ANN_CONUS
3917160,327.12,327.12,327.12,PPT1947_ANN_CONUS
3917162,498.48,526.44,526.44,PPT1947_ANN_CONUS
3917164,412.8,412.8,412.8,PPT1947_ANN_CONUS
3917172,476.04,476.04,476.04,PPT1947_ANN_CONUS
3917176,516.96,521.28,521.28,PPT1947_ANN_CONUS
3917178,517.32,524.76,524.76,PPT1947_ANN_CONUS
3917194,600.84,600.84,600.84,PPT1947_ANN_CONUS
3917198,298.56,491.16,491.16,PPT1947_ANN_CONUS
3917200,279.6,476.88,476.88,PPT1947_ANN_CONUS
3917230,226.44,226.44,226.44,PPT1947_ANN_CONUS
3917244,240.84,561,610.92,PPT1947_ANN_CONUS
3917912,489.12,526.08,526.08,PPT1947_ANN_CONUS
3917914,420.24,429.36,429.36,PPT1947_ANN_CONUS
3917916,500.76,526.44,526.44,PPT1947_ANN_CONUS
3917918,399.36,503.28,503.28,PPT1947_ANN_CONUS
3917920,312.96,321.24,321.24,PPT1947_ANN_CONUS
3917922,271.56,271.56,271.56,PPT1947_ANN_CONUS
3917946,239.64,553.8,604.8,PPT1947_ANN_CONUS
3917948,271.44,473.04,473.04,PPT1947_ANN_CONUS
3917950,258.24,566.76,615.6,PPT1947_ANN_CONUS
948010089,266.64,271.08,271.08,PPT1947_ANN_CONUS
