COMID,CAT_RUN1994_ANN,ACC_RUN1994_ANN,TOT_RUN1994_ANN,source
3917070,148.2,148.2,148.2,RUN1994_ANN_CONUS
3917072,132.84,132.84,132.84,RUN1994_ANN_CONUS
3917082,141.24,141.24,141.24,RUN1994_ANN_CONUS
3917084,176.04,176.04,176.04,RUN1994_ANN_CONUS
3917106,123,153.84,153.84,RUN1994_ANN_CONUS
3917114,118.92,118.92,118.92,RUN1994_ANN_CONUS
3917130,100.44,144.6,144.6,RUN1994_ANN_CONUS
3917136,111.6,111.6,111.6,RUN1994_ANN_CONUS
3917138,98.76,98.76,98.76,RUN1994_ANN_CONUS
3917154,128.64,132.24,132.24,RUN1994_ANN_CONUS
3917156,69.24,69.24,69.24,RUN1994_ANN_CONUS
3917158,9.6,9.6,9.6,RUN1994_ANN_CONUS
3917160,10.32,10.32,10.32,RUN1994_ANN_CONUS
3917162,68.64,137.64,137.64,RUN1994_ANN_CONUS
3917164,16.08,16.08,16.08,RUN1994_ANN_CONUS
3917172,67.44,67.44,67.44,RUN1994_ANN_CONUS
3917176,101.52,123.12,123.12,RUN1994_ANN_CONUS
3917178,86.04,128.16,128.16,RUN1994_ANN_CONUS
3917194,195.72,195.72,195.72,RUN1994_ANN_CONUS
3917198,9.24,102.6,102.6,RUN1994_ANN_CONUS
3917200,8.64,96.6,96.6,RUN1994_ANN_CONUS
3917230,7.8,7.8,7.8,RUN1994_ANN_CONUS
3917244,7.92,150.36,171.12,RUN1994_ANN_CONUS
3917912,55.44,132.72,132.72,RUN1994_ANN_CONUS
3917914,94.92,97.44,97.44,RUN1994_ANN_CONUS
3917916,118.32,148.56,148.56,RUN1994_ANN_CONUS
3917918,45.12,109.2,109.2,RUN1994_ANN_CONUS
3917920,9.48,9.96,9.96,RUN1994_ANN_CONUS
3917922,9,9,9,RUN1994_ANN_CONUS
3917946,8.04,147.12,168.48,RUN1994_ANN_CONUS
3917948,8.52,94.92,94.92,RUN1994_ANN_CONUS
3917950,8.16,152.88,173.16,RUN1994_ANN_CONUS
948010089,8.88,9,9,RUN1994_ANN_CONUS
