COMID,CAT_RUN1948_ANN,ACC_RUN1948_ANN,TOT_RUN1948_ANN,source
3917070,375.12,375.12,375.12,RUN1948_ANN_CONUS
3917072,348.96,348.96,348.96,RUN1948_ANN_CONUS
3917082,350.4,350.4,350.4,RUN1948_ANN_CONUS
3917084,386.76,386.76,386.76,RUN1948_ANN_CONUS
3917106,320.04,359.28,359.28,RUN1948_ANN_CONUS
3917114,310.8,310.8,310.8,RUN1948_ANN_CONUS
3917130,279.96,331.92,331.92,RUN1948_ANN_CONUS
3917136,289.32,289.32,289.32,RUN1948_ANN_CONUS
3917138,249.72,249.72,249.72,RUN1948_ANN_CONUS
3917154,335.52,342.72,342.72,RUN1948_ANN_CONUS
3917156,261.36,261.36,261.36,RUN1948_ANN_CONUS
3917158,55.32,55.32,55.32,RUN1948_ANN_CONUS
3917160,90.12,90.12,90.12,RUN1948_ANN_CONUS
3917162,241.56,323.88,323.88,RUN1948_ANN_CONUS
3917164,189.12,189.12,189.12,RUN1948_ANN_CONUS
3917172,260.4,260.4,260.4,RUN1948_ANN_CONUS
3917176,273,310.32,310.32,RUN1948_ANN_CONUS
3917178,260.76,315.6,315.6,RUN1948_ANN_CONUS
3917194,393.36,393.36,393.36,RUN1948_ANN_CONUS
3917198,42,273.84,273.84,RUN1948_ANN_CONUS
3917200,25.44,257.28,257.28,RUN1948_ANN_CONUS
3917230,13.56,13.56,13.56,RUN1948_ANN_CONUS
3917244,14.04,311.28,354.24,RUN1948_ANN_CONUS
3917912,235.56,320.76,320.76,RUN1948_ANN_CONUS
3917914,241.68,248.64,248.64,RUN1948_ANN_CONUS
3917916,287.4,325.8,325.8,RUN1948_ANN_CONUS
3917918,150.48,288.12,288.12,RUN1948_ANN_CONUS
3917920,52.68,73.2,73.2,RUN1948_ANN_CONUS
3917922,19.92,19.92,19.92,RUN1948_ANN_CONUS
3917946,15,304.68,348.72,RUN1948_ANN_CONUS
3917948,17.88,252.72,252.72,RUN1948_ANN_CONUS
3917950,14.28,316.56,358.56,RUN1948_ANN_CONUS
948010089,15,19.44,19.44,RUN1948_ANN_CONUS
