COMID,CAT_PPT1966_ANN,ACC_PPT1966_ANN,TOT_PPT1966_ANN,source
3917070,652.32,652.32,652.32,PPT1966_ANN_CONUS
3917072,633,633,633,PPT1966_ANN_CONUS
3917082,676.8,676.8,676.8,PPT1966_ANN_CONUS
3917084,657.72,657.72,657.72,PPT1966_ANN_CONUS
3917106,644.28,653.64,653.64,PPT1966_ANN_CONUS
3917114,589.08,589.08,589.08,PPT1966_ANN_CONUS
3917130,577.92,650.4,650.4,PPT1966_ANN_CONUS
3917136,607.44,607.44,607.44,PPT1966_ANN_CONUS
3917138,537.36,537.36,537.36,PPT1966_ANN_CONUS
3917154,616.32,622.92,622.92,PPT1966_ANN_CONUS
3917156,575.76,575.76,575.76,PPT1966_ANN_CONUS
3917158,374.64,374.64,374.64,PPT1966_ANN_CONUS
3917160,411.96,411.96,411.96,PPT1966_ANN_CONUS
3917162,572.4,642.36,642.36,PPT1966_ANN_CONUS
3917164,526.92,526.92,526.92,PPT1966_ANN_CONUS
3917172,573.6,573.6,573.6,PPT1966_ANN_CONUS
3917176,635.52,629.28,629.28,PPT1966_ANN_CONUS
3917178,615.96,633.12,633.12,PPT1966_ANN_CONUS
3917194,755.4,755.4,755.4,PPT1966_ANN_CONUS
3917198,363.96,595.2,595.2,PPT1966_ANN_CONUS
3917200,337.92,579.24,579.24,PPT1966_ANN_CONUS
3917230,295.08,295.08,295.08,PPT1966_ANN_CONUS
3917244,302.64,638.52,681.96,PPT1966_ANN_CONUS
3917912,557.76,636,636,PPT1966_ANN_CONUS
3917914,558.36,565.2,565.2,PPT1966_ANN_CONUS
3917916,607.2,664.56,664.56,PPT1966_ANN_CONUS
3917918,484.2,609.6,609.6,PPT1966_ANN_CONUS
3917920,372.72,394.08,394.08,PPT1966_ANN_CONUS
3917922,349.8,349.8,349.8,PPT1966_ANN_CONUS
3917946,308.28,631.2,675.84,PPT1966_ANN_CONUS
3917948,328.44,574.56,574.56,PPT1966_ANN_CONUS
3917950,314.52,644.52,686.88,PPT1966_ANN_CONUS
948010089,343.8,349.2,349.2,PPT1966_ANN_CONUS
