COMID,SINUOSITY,source
3917070,1.04,Sinuousity_CONUS
3917072,1,Sinuousity_CONUS
3917082,1,Sinuousity_CONUS
3917084,1.18,Sinuousity_CONUS
3917106,1.19,Sinuousity_CONUS
3917114,1.08,Sinuousity_CONUS
3917130,1.1,Sinuousity_CONUS
3917136,1.01,Sinuousity_CONUS
3917138,1.01,Sinuousity_CONUS
3917154,1.11,Sinuousity_CONUS
3917156,1.05,Sinuousity_CONUS
3917158,1.04,Sinuousity_CONUS
3917160,1.22,Sinuousity_CONUS
3917162,1.24,Sinuousity_CONUS
3917164,1.05,Sinuousity_CONUS
3917172,1.14,Sinuousity_CONUS
3917176,1.09,Sinuousity_CONUS
3917178,1.09,Sinuousity_CONUS
3917194,1.11,Sinuousity_CONUS
3917198,1.02,Sinuousity_CONUS
3917200,1.01,Sinuousity_CONUS
3917230,1.1,Sinuousity_CONUS
3917244,1.1,Sinuousity_CONUS
3917912,1.2,Sinuousity_CONUS
3917914,1.12,Sinuousity_CONUS
3917916,1.23,Sinuousity_CONUS
3917918,1.11,Sinuousity_CONUS
3917920,1.04,Sinuousity_CONUS
3917922,1.03,Sinuousity_CONUS
3917946,1.15,Sinuousity_CONUS
3917948,1.09,Sinuousity_CONUS
3917950,1.11,Sinuousity_CONUS
948010089,1.15,Sinuousity_CONUS
