COMID,CAT_RUN1980_ANN,ACC_RUN1980_ANN,TOT_RUN1980_ANN,source
3917070,446.4,446.4,446.4,RUN1980_ANN_CONUS
3917072,429.72,429.72,429.72,RUN1980_ANN_CONUS
3917082,424.68,424.68,424.68,RUN1980_ANN_CONUS
3917084,456.24,456.24,456.24,RUN1980_ANN_CONUS
3917106,384.96,427.2,427.2,RUN1980_ANN_CONUS
3917114,383.16,383.16,383.16,RUN1980_ANN_CONUS
3917130,330,371.76,371.76,RUN1980_ANN_CONUS
3917136,337.68,337.68,337.68,RUN1980_ANN_CONUS
3917138,274.2,274.2,274.2,RUN1980_ANN_CONUS
3917154,412.68,418.92,418.92,RUN1980_ANN_CONUS
3917156,335.64,335.64,335.64,RUN1980_ANN_CONUS
3917158,154.08,154.08,154.08,RUN1980_ANN_CONUS
3917160,171,171,171,RUN1980_ANN_CONUS
3917162,294.96,365.52,365.52,RUN1980_ANN_CONUS
3917164,231.12,231.12,231.12,RUN1980_ANN_CONUS
3917172,318,318,318,RUN1980_ANN_CONUS
3917176,309,358.56,358.56,RUN1980_ANN_CONUS
3917178,317.76,363.84,363.84,RUN1980_ANN_CONUS
3917194,400.68,400.68,400.68,RUN1980_ANN_CONUS
3917198,146.16,325.92,325.92,RUN1980_ANN_CONUS
3917200,122.16,314.16,314.16,RUN1980_ANN_CONUS
3917230,94.32,94.32,94.32,RUN1980_ANN_CONUS
3917244,98.04,339,367.32,RUN1980_ANN_CONUS
3917912,312.24,367.56,367.56,RUN1980_ANN_CONUS
3917914,269.04,279,279,RUN1980_ANN_CONUS
3917916,315.36,344.64,344.64,RUN1980_ANN_CONUS
3917918,216.12,337.56,337.56,RUN1980_ANN_CONUS
3917920,153.36,162.96,162.96,RUN1980_ANN_CONUS
3917922,145.56,145.56,145.56,RUN1980_ANN_CONUS
3917946,111,333.84,363.12,RUN1980_ANN_CONUS
3917948,116.52,310.44,310.44,RUN1980_ANN_CONUS
3917950,102.48,343.32,370.8,RUN1980_ANN_CONUS
948010089,141.36,145.2,145.2,RUN1980_ANN_CONUS
