COMID,CAT_TAV1995_ANN,ACC_TAV1995_ANN,TOT_TAV1995_ANN,source
3917070,8.66,8.66,8.66,TAV1995_ANN_CONUS
3917072,8.81,8.81,8.81,TAV1995_ANN_CONUS
3917082,8.28,8.28,8.28,TAV1995_ANN_CONUS
3917084,8.11,8.11,8.11,TAV1995_ANN_CONUS
3917106,8.41,8.23,8.23,TAV1995_ANN_CONUS
3917114,8.57,8.57,8.57,TAV1995_ANN_CONUS
3917130,8.65,8.57,8.57,TAV1995_ANN_CONUS
3917136,8.53,8.53,8.53,TAV1995_ANN_CONUS
3917138,8.68,8.68,8.68,TAV1995_ANN_CONUS
3917154,8.7,8.7,8.7,TAV1995_ANN_CONUS
3917156,9.06,9.06,9.06,TAV1995_ANN_CONUS
3917158,10.35,10.35,10.35,TAV1995_ANN_CONUS
3917160,10.12,10.12,10.12,TAV1995_ANN_CONUS
3917162,8.97,8.61,8.61,TAV1995_ANN_CONUS
3917164,9.66,9.66,9.66,TAV1995_ANN_CONUS
3917172,9.27,9.27,9.27,TAV1995_ANN_CONUS
3917176,9.47,8.76,8.76,TAV1995_ANN_CONUS
3917178,9.24,8.69,8.69,TAV1995_ANN_CONUS
3917194,8.73,8.73,8.73,TAV1995_ANN_CONUS
3917198,10.61,9.01,9.01,TAV1995_ANN_CONUS
3917200,10.99,9.12,9.12,TAV1995_ANN_CONUS
3917230,11.46,11.46,11.46,TAV1995_ANN_CONUS
3917244,11.41,9.12,9.06,TAV1995_ANN_CONUS
3917912,9.11,8.64,8.64,TAV1995_ANN_CONUS
3917914,8.97,8.9,8.9,TAV1995_ANN_CONUS
3917916,8.73,8.78,8.78,TAV1995_ANN_CONUS
3917918,9.95,8.92,8.92,TAV1995_ANN_CONUS
3917920,10.37,10.23,10.23,TAV1995_ANN_CONUS
3917922,10.71,10.71,10.71,TAV1995_ANN_CONUS
3917946,11.58,9.17,9.11,TAV1995_ANN_CONUS
3917948,11.06,9.16,9.16,TAV1995_ANN_CONUS
3917950,11.23,9.07,9.03,TAV1995_ANN_CONUS
948010089,10.79,10.72,10.72,TAV1995_ANN_CONUS
