COMID,CAT_PPT1983_ANN,ACC_PPT1983_ANN,TOT_PPT1983_ANN,source
3917070,1210.32,1210.32,1210.32,PPT1983_ANN_CONUS
3917072,1177.08,1177.08,1177.08,PPT1983_ANN_CONUS
3917082,1145.28,1145.28,1145.28,PPT1983_ANN_CONUS
3917084,1167,1167,1167,PPT1983_ANN_CONUS
3917106,1097.16,1139.16,1139.16,PPT1983_ANN_CONUS
3917114,1064.88,1064.88,1064.88,PPT1983_ANN_CONUS
3917130,1040.88,1112.76,1112.76,PPT1983_ANN_CONUS
3917136,1023.48,1023.48,1023.48,PPT1983_ANN_CONUS
3917138,924.72,924.72,924.72,PPT1983_ANN_CONUS
3917154,1134.24,1148.4,1148.4,PPT1983_ANN_CONUS
3917156,1036.8,1036.8,1036.8,PPT1983_ANN_CONUS
3917158,692.04,692.04,692.04,PPT1983_ANN_CONUS
3917160,740.04,740.04,740.04,PPT1983_ANN_CONUS
3917162,1006.2,1102.68,1102.68,PPT1983_ANN_CONUS
3917164,934.8,934.8,934.8,PPT1983_ANN_CONUS
3917172,1039.32,1039.32,1039.32,PPT1983_ANN_CONUS
3917176,1112.88,1093.2,1093.2,PPT1983_ANN_CONUS
3917178,1054.08,1096.32,1096.32,PPT1983_ANN_CONUS
3917194,1250.76,1250.76,1250.76,PPT1983_ANN_CONUS
3917198,672.72,1039.32,1039.32,PPT1983_ANN_CONUS
3917200,628.56,1014,1014,PPT1983_ANN_CONUS
3917230,525,525,525,PPT1983_ANN_CONUS
3917244,538.68,1183.68,1289.52,PPT1983_ANN_CONUS
3917912,991.32,1100.76,1100.76,PPT1983_ANN_CONUS
3917914,931.92,945.12,945.12,PPT1983_ANN_CONUS
3917916,1043.4,1111.68,1111.68,PPT1983_ANN_CONUS
3917918,864.84,1062.36,1062.36,PPT1983_ANN_CONUS
3917920,688.8,716.88,716.88,PPT1983_ANN_CONUS
3917922,650.16,650.16,650.16,PPT1983_ANN_CONUS
3917946,544.56,1169.4,1277.4,PPT1983_ANN_CONUS
3917948,613.32,1006.44,1006.44,PPT1983_ANN_CONUS
3917950,579.12,1195.2,1299.24,PPT1983_ANN_CONUS
948010089,640.68,649.2,649.2,PPT1983_ANN_CONUS
