COMID,CAT_TAV1991_ANN,ACC_TAV1991_ANN,TOT_TAV1991_ANN,source
3917070,8.05,8.05,8.05,TAV1991_ANN_CONUS
3917072,8.2,8.2,8.2,TAV1991_ANN_CONUS
3917082,7.67,7.67,7.67,TAV1991_ANN_CONUS
3917084,7.51,7.51,7.51,TAV1991_ANN_CONUS
3917106,7.79,7.63,7.63,TAV1991_ANN_CONUS
3917114,7.95,7.95,7.95,TAV1991_ANN_CONUS
3917130,8,7.93,7.93,TAV1991_ANN_CONUS
3917136,7.92,7.92,7.92,TAV1991_ANN_CONUS
3917138,8.07,8.07,8.07,TAV1991_ANN_CONUS
3917154,8.09,8.08,8.08,TAV1991_ANN_CONUS
3917156,8.42,8.42,8.42,TAV1991_ANN_CONUS
3917158,9.73,9.73,9.73,TAV1991_ANN_CONUS
3917160,9.52,9.52,9.52,TAV1991_ANN_CONUS
3917162,8.31,7.96,7.96,TAV1991_ANN_CONUS
3917164,9.03,9.03,9.03,TAV1991_ANN_CONUS
3917172,8.64,8.64,8.64,TAV1991_ANN_CONUS
3917176,8.84,8.12,8.12,TAV1991_ANN_CONUS
3917178,8.59,8.05,8.05,TAV1991_ANN_CONUS
3917194,8.05,8.05,8.05,TAV1991_ANN_CONUS
3917198,10.02,8.37,8.37,TAV1991_ANN_CONUS
3917200,10.44,8.49,8.49,TAV1991_ANN_CONUS
3917230,10.9,10.9,10.9,TAV1991_ANN_CONUS
3917244,10.85,8.62,8.63,TAV1991_ANN_CONUS
3917912,8.46,8,8,TAV1991_ANN_CONUS
3917914,8.29,8.24,8.24,TAV1991_ANN_CONUS
3917916,8.09,8.11,8.11,TAV1991_ANN_CONUS
3917918,9.33,8.29,8.29,TAV1991_ANN_CONUS
3917920,9.76,9.62,9.62,TAV1991_ANN_CONUS
3917922,10.12,10.12,10.12,TAV1991_ANN_CONUS
3917946,11.03,8.68,8.67,TAV1991_ANN_CONUS
3917948,10.5,8.53,8.53,TAV1991_ANN_CONUS
3917950,10.68,8.58,8.6,TAV1991_ANN_CONUS
948010089,10.21,10.13,10.13,TAV1991_ANN_CONUS
