COMID,CAT_RUN1954_ANN,ACC_RUN1954_ANN,TOT_RUN1954_ANN,source
3917070,394.08,394.08,394.08,RUN1954_ANN_CONUS
3917072,383.76,383.76,383.76,RUN1954_ANN_CONUS
3917082,368.88,368.88,368.88,RUN1954_ANN_CONUS
3917084,390.24,390.24,390.24,RUN1954_ANN_CONUS
3917106,340.2,369.84,369.84,RUN1954_ANN_CONUS
3917114,346.2,346.2,346.2,RUN1954_ANN_CONUS
3917130,307.8,352.32,352.32,RUN1954_ANN_CONUS
3917136,303,303,303,RUN1954_ANN_CONUS
3917138,253.56,253.56,253.56,RUN1954_ANN_CONUS
3917154,369.72,374.28,374.28,RUN1954_ANN_CONUS
3917156,322.8,322.8,322.8,RUN1954_ANN_CONUS
3917158,136.08,136.08,136.08,RUN1954_ANN_CONUS
3917160,176.76,176.76,176.76,RUN1954_ANN_CONUS
3917162,297.36,347.52,347.52,RUN1954_ANN_CONUS
3917164,264.48,264.48,264.48,RUN1954_ANN_CONUS
3917172,318,318,318,RUN1954_ANN_CONUS
3917176,369.36,345.84,345.84,RUN1954_ANN_CONUS
3917178,346.8,346.92,346.92,RUN1954_ANN_CONUS
3917194,425.52,425.52,425.52,RUN1954_ANN_CONUS
3917198,121.32,319.32,319.32,RUN1954_ANN_CONUS
3917200,80.64,306.12,306.12,RUN1954_ANN_CONUS
3917230,48.6,48.6,48.6,RUN1954_ANN_CONUS
3917244,47.28,396.24,457.2,RUN1954_ANN_CONUS
3917912,306.12,347.76,347.76,RUN1954_ANN_CONUS
3917914,255,261.96,261.96,RUN1954_ANN_CONUS
3917916,312.84,350.76,350.76,RUN1954_ANN_CONUS
3917918,237.84,330.84,330.84,RUN1954_ANN_CONUS
3917920,134.4,157.44,157.44,RUN1954_ANN_CONUS
3917922,116.64,116.64,116.64,RUN1954_ANN_CONUS
3917946,61.08,388.8,450.72,RUN1954_ANN_CONUS
3917948,70.44,301.68,301.68,RUN1954_ANN_CONUS
3917950,57.6,402.48,462.48,RUN1954_ANN_CONUS
948010089,108.84,115.92,115.92,RUN1954_ANN_CONUS
