COMID,CAT_RUN1958_ANN,ACC_RUN1958_ANN,TOT_RUN1958_ANN,source
3917070,547.56,547.56,547.56,RUN1958_ANN_CONUS
3917072,517.68,517.68,517.68,RUN1958_ANN_CONUS
3917082,734.04,734.04,734.04,RUN1958_ANN_CONUS
3917084,677.76,677.76,677.76,RUN1958_ANN_CONUS
3917106,667.8,677.16,677.16,RUN1958_ANN_CONUS
3917114,513.24,513.24,513.24,RUN1958_ANN_CONUS
3917130,505.08,625.56,625.56,RUN1958_ANN_CONUS
3917136,604.32,604.32,604.32,RUN1958_ANN_CONUS
3917138,469.8,469.8,469.8,RUN1958_ANN_CONUS
3917154,518.28,523.56,523.56,RUN1958_ANN_CONUS
3917156,427.68,427.68,427.68,RUN1958_ANN_CONUS
3917158,283.8,283.8,283.8,RUN1958_ANN_CONUS
3917160,292.44,292.44,292.44,RUN1958_ANN_CONUS
3917162,457.2,608.76,608.76,RUN1958_ANN_CONUS
3917164,351.36,351.36,351.36,RUN1958_ANN_CONUS
3917172,423.36,423.36,423.36,RUN1958_ANN_CONUS
3917176,530.76,567.36,567.36,RUN1958_ANN_CONUS
3917178,490.2,579.6,579.6,RUN1958_ANN_CONUS
3917194,725.04,725.04,725.04,RUN1958_ANN_CONUS
3917198,275.76,519.96,519.96,RUN1958_ANN_CONUS
3917200,251.52,502.8,502.8,RUN1958_ANN_CONUS
3917230,183.6,183.6,183.6,RUN1958_ANN_CONUS
3917244,197.28,654.24,736.68,RUN1958_ANN_CONUS
3917912,406.32,589.92,589.92,RUN1958_ANN_CONUS
3917914,494.04,509.76,509.76,RUN1958_ANN_CONUS
3917916,541.68,618.84,618.84,RUN1958_ANN_CONUS
3917918,378.6,536.4,536.4,RUN1958_ANN_CONUS
3917920,281.88,288,288,RUN1958_ANN_CONUS
3917922,256.44,256.44,256.44,RUN1958_ANN_CONUS
3917946,194.28,644.04,727.92,RUN1958_ANN_CONUS
3917948,240.96,497.88,497.88,RUN1958_ANN_CONUS
3917950,219.84,662.4,743.64,RUN1958_ANN_CONUS
948010089,253.56,256.2,256.2,RUN1958_ANN_CONUS
