COMID,CAT_PRSNOW,NODATA,ACC_PRSNOW,ACC_NODATA,TOT_PRSNOW,TOT_NODATA,source
3917070,39,0,39,0,39,0,PRSNOW_CONUS
3917072,39,0,39,0,39,0,PRSNOW_CONUS
3917082,39.6,0,39.6,0,39.6,0,PRSNOW_CONUS
3917084,39.87,0,39.87,0,39.87,0,PRSNOW_CONUS
3917106,38.01,0,39.14,0,39.14,0,PRSNOW_CONUS
3917114,37.51,0,37.51,0,37.51,0,PRSNOW_CONUS
3917130,37.62,0,38.23,0,38.23,0,PRSNOW_CONUS
3917136,37.86,0,37.86,0,37.86,0,PRSNOW_CONUS
3917138,38,0,38,0,38,0,PRSNOW_CONUS
3917154,38.56,0,38.64,0,38.64,0,PRSNOW_CONUS
3917156,37.71,0,37.71,0,37.71,0,PRSNOW_CONUS
3917158,30.78,0,30.78,0,30.78,0,PRSNOW_CONUS
3917160,30.29,0,30.29,0,30.29,0,PRSNOW_CONUS
3917162,37.42,0,38.15,0,38.15,0,PRSNOW_CONUS
3917164,32.85,0,32.85,0,32.85,0,PRSNOW_CONUS
3917172,37.53,0,37.53,0,37.53,0,PRSNOW_CONUS
3917176,37.68,0,38.07,0,38.07,0,PRSNOW_CONUS
3917178,37.9,0,38.13,0,38.13,0,PRSNOW_CONUS
3917194,37.96,0,37.96,0,37.96,0,PRSNOW_CONUS
3917198,28,0,36.97,0,36.97,0,PRSNOW_CONUS
3917200,28,0,36.43,0,36.43,0,PRSNOW_CONUS
3917230,23.66,0,23.66,0,23.66,0,PRSNOW_CONUS
3917244,23.71,0,39.94,0,40.21,0,PRSNOW_CONUS
3917912,37.51,0,38.16,0,38.16,0,PRSNOW_CONUS
3917914,36.72,0,36.9,0,36.9,0,PRSNOW_CONUS
3917916,38.58,0,37.77,0,37.77,0,PRSNOW_CONUS
3917918,35.25,0,37.48,0,37.48,0,PRSNOW_CONUS
3917920,28.11,0,29.85,0,29.85,0,PRSNOW_CONUS
3917922,28.64,0,28.64,0,28.64,0,PRSNOW_CONUS
3917946,23.11,0,39.57,0,39.93,0,PRSNOW_CONUS
3917948,27.75,0,36.26,0,36.26,0,PRSNOW_CONUS
3917950,25,0,40.23,0,40.42,0,PRSNOW_CONUS
948010089,28,0,28.58,0,28.58,0,PRSNOW_CONUS
