COMID,CAT_PPT1980_ANN,ACC_PPT1980_ANN,TOT_PPT1980_ANN,source
3917070,762.84,762.84,762.84,PPT1980_ANN_CONUS
3917072,753.6,753.6,753.6,PPT1980_ANN_CONUS
3917082,762.48,762.48,762.48,PPT1980_ANN_CONUS
3917084,765.72,765.72,765.72,PPT1980_ANN_CONUS
3917106,719.76,747.96,747.96,PPT1980_ANN_CONUS
3917114,690.84,690.84,690.84,PPT1980_ANN_CONUS
3917130,652.08,683.64,683.64,PPT1980_ANN_CONUS
3917136,658.08,658.08,658.08,PPT1980_ANN_CONUS
3917138,569.04,569.04,569.04,PPT1980_ANN_CONUS
3917154,729.72,735.96,735.96,PPT1980_ANN_CONUS
3917156,658.32,658.32,658.32,PPT1980_ANN_CONUS
3917158,433.32,433.32,433.32,PPT1980_ANN_CONUS
3917160,458.64,458.64,458.64,PPT1980_ANN_CONUS
3917162,623.4,678.72,678.72,PPT1980_ANN_CONUS
3917164,527.4,527.4,527.4,PPT1980_ANN_CONUS
3917172,627.48,627.48,627.48,PPT1980_ANN_CONUS
3917176,630.48,673.2,673.2,PPT1980_ANN_CONUS
3917178,637.08,678.48,678.48,PPT1980_ANN_CONUS
3917194,703.56,703.56,703.56,PPT1980_ANN_CONUS
3917198,417.84,636,636,PPT1980_ANN_CONUS
3917200,379.44,621.84,621.84,PPT1980_ANN_CONUS
3917230,339.48,339.48,339.48,PPT1980_ANN_CONUS
3917244,347.88,642.6,678.12,PPT1980_ANN_CONUS
3917912,636.72,681.72,681.72,PPT1980_ANN_CONUS
3917914,565.92,579.36,579.36,PPT1980_ANN_CONUS
3917916,626.04,648.6,648.6,PPT1980_ANN_CONUS
3917918,514.32,649.56,649.56,PPT1980_ANN_CONUS
3917920,432,446.52,446.52,PPT1980_ANN_CONUS
3917922,418.08,418.08,418.08,PPT1980_ANN_CONUS
3917946,360.48,636.24,672.84,PPT1980_ANN_CONUS
3917948,371.64,617.04,617.04,PPT1980_ANN_CONUS
3917950,354.24,647.88,682.32,PPT1980_ANN_CONUS
948010089,410.88,417.48,417.48,PPT1980_ANN_CONUS
