COMID,CAT_TAV1977_ANN,ACC_TAV1977_ANN,TOT_TAV1977_ANN,source
3917070,7.69,7.69,7.69,TAV1977_ANN_CONUS
3917072,7.84,7.84,7.84,TAV1977_ANN_CONUS
3917082,7.36,7.36,7.36,TAV1977_ANN_CONUS
3917084,7.18,7.18,7.18,TAV1977_ANN_CONUS
3917106,7.49,7.31,7.31,TAV1977_ANN_CONUS
3917114,7.59,7.59,7.59,TAV1977_ANN_CONUS
3917130,7.67,7.6,7.6,TAV1977_ANN_CONUS
3917136,7.6,7.6,7.6,TAV1977_ANN_CONUS
3917138,7.73,7.73,7.73,TAV1977_ANN_CONUS
3917154,7.73,7.72,7.72,TAV1977_ANN_CONUS
3917156,8.05,8.05,8.05,TAV1977_ANN_CONUS
3917158,9.25,9.25,9.25,TAV1977_ANN_CONUS
3917160,9.03,9.03,9.03,TAV1977_ANN_CONUS
3917162,7.96,7.63,7.63,TAV1977_ANN_CONUS
3917164,8.59,8.59,8.59,TAV1977_ANN_CONUS
3917172,8.24,8.24,8.24,TAV1977_ANN_CONUS
3917176,8.42,7.77,7.77,TAV1977_ANN_CONUS
3917178,8.2,7.7,7.7,TAV1977_ANN_CONUS
3917194,7.69,7.69,7.69,TAV1977_ANN_CONUS
3917198,9.55,8,8,TAV1977_ANN_CONUS
3917200,10,8.11,8.11,TAV1977_ANN_CONUS
3917230,10.56,10.56,10.56,TAV1977_ANN_CONUS
3917244,10.48,8.03,7.96,TAV1977_ANN_CONUS
3917912,8.09,7.66,7.66,TAV1977_ANN_CONUS
3917914,7.96,7.9,7.9,TAV1977_ANN_CONUS
3917916,7.75,7.77,7.77,TAV1977_ANN_CONUS
3917918,8.87,7.92,7.92,TAV1977_ANN_CONUS
3917920,9.28,9.14,9.14,TAV1977_ANN_CONUS
3917922,9.68,9.68,9.68,TAV1977_ANN_CONUS
3917946,10.72,8.09,8.01,TAV1977_ANN_CONUS
3917948,10.07,8.15,8.15,TAV1977_ANN_CONUS
3917950,10.27,7.99,7.93,TAV1977_ANN_CONUS
948010089,9.77,9.69,9.69,TAV1977_ANN_CONUS
