COMID,CAT_TAV2009_ANN,ACC_TAV2009_ANN,TOT_TAV2009_ANN,source
3917070,7.39,7.39,7.39,TAV2009_ANN_CONUS
3917072,7.52,7.52,7.52,TAV2009_ANN_CONUS
3917082,6.42,6.42,6.42,TAV2009_ANN_CONUS
3917084,6.92,6.92,6.92,TAV2009_ANN_CONUS
3917106,6.87,6.87,6.87,TAV2009_ANN_CONUS
3917114,8.08,8.08,8.08,TAV2009_ANN_CONUS
3917130,8.06,7.63,7.63,TAV2009_ANN_CONUS
3917136,7.37,7.37,7.37,TAV2009_ANN_CONUS
3917138,8.39,8.39,8.39,TAV2009_ANN_CONUS
3917154,7.73,7.66,7.66,TAV2009_ANN_CONUS
3917156,8.48,8.48,8.48,TAV2009_ANN_CONUS
3917158,10.69,10.69,10.69,TAV2009_ANN_CONUS
3917160,10.45,10.45,10.45,TAV2009_ANN_CONUS
3917162,8.5,7.72,7.72,TAV2009_ANN_CONUS
3917164,9.85,9.85,9.85,TAV2009_ANN_CONUS
3917172,8.81,8.81,8.81,TAV2009_ANN_CONUS
3917176,9.17,7.96,7.96,TAV2009_ANN_CONUS
3917178,8.83,7.85,7.85,TAV2009_ANN_CONUS
3917194,7.82,7.82,7.82,TAV2009_ANN_CONUS
3917198,10.78,8.43,8.43,TAV2009_ANN_CONUS
3917200,10.94,8.58,8.58,TAV2009_ANN_CONUS
3917230,11.17,11.17,11.17,TAV2009_ANN_CONUS
3917244,11.17,9.28,9.23,TAV2009_ANN_CONUS
3917912,8.7,7.76,7.76,TAV2009_ANN_CONUS
3917914,8.47,8.31,8.31,TAV2009_ANN_CONUS
3917916,8.13,8.04,8.04,TAV2009_ANN_CONUS
3917918,10.06,8.27,8.27,TAV2009_ANN_CONUS
3917920,10.7,10.56,10.56,TAV2009_ANN_CONUS
3917922,10.87,10.87,10.87,TAV2009_ANN_CONUS
3917946,11.23,9.33,9.27,TAV2009_ANN_CONUS
3917948,10.99,8.63,8.63,TAV2009_ANN_CONUS
3917950,11.1,9.25,9.21,TAV2009_ANN_CONUS
948010089,10.9,10.87,10.87,TAV2009_ANN_CONUS
